L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
0,0.8824,0.8807,0.8812,4.5797,61.7428,1.797,0.517,0.5175,0.5166,latvian_novels,kn,2000,898,sent
1200,0.8486,0.8478,0.8479,3.5846,46.0849,1.4793,0.6569,0.6555,0.6553,latvian_novels,kn,2000,243,sent
600,0.7454,0.7447,0.7447,3.2552,28.523,1.4041,0.8471,0.8476,0.8476,latvian_novels,kn,2000,142,sent
300,0.6191,0.6204,0.6204,3.0972,18.4946,1.3985,0.9489,0.9449,0.9449,latvian_novels,kn,2000,89,sent
150,0.4885,0.4962,0.4962,3.6652,15.5188,1.6101,0.9965,0.9874,0.9874,latvian_novels,kn,2000,61,sent
0,0.8776,0.8786,0.8788,0.7698,19.6315,0.796,0.5923,0.5838,0.5835,serbian_novels,kn,2000,608,sent
1200,0.8032,0.8033,0.8031,0.9443,24.8483,0.9919,0.7489,0.7462,0.7458,serbian_novels,kn,2000,192,sent
600,0.682,0.683,0.683,1.2197,24.2593,1.3183,0.8939,0.8914,0.8914,serbian_novels,kn,2000,113,sent
300,0.6247,0.6254,0.6254,1.1938,14.7057,1.264,0.9407,0.9432,0.9432,serbian_novels,kn,2000,74,sent
150,0.5657,0.5656,0.5656,1.1999,9.2912,1.2465,0.9809,0.9824,0.9824,serbian_novels,kn,2000,56,sent
