L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
0,0.9471,0.9486,0.9488,0.7902,13.6547,0.5,0.3552,0.3457,0.3456,american_dracor,kn,296,232,w10
1200,0.896,0.8957,0.8957,1.3475,23.1856,0.8469,0.5218,0.5246,0.5246,american_dracor,kn,296,69,w10
600,0.8702,0.8717,0.8717,1.2736,12.6196,0.7698,0.6049,0.6037,0.6037,american_dracor,kn,296,35,w10
300,0.7375,0.7444,0.7444,1.7923,11.1733,1.002,0.8213,0.8061,0.8061,american_dracor,kn,296,22,w10
150,0.6517,0.6521,0.6521,1.7451,7.0017,1.0421,0.9088,0.8989,0.8989,american_dracor,kn,296,16,w10
0,0.9498,0.9506,0.9509,0.766,13.0385,0.4835,0.3341,0.3334,0.3325,american_dracor,kn,296,222,w20
1200,0.9006,0.9001,0.9001,1.2981,22.2011,0.8179,0.513,0.5097,0.5097,american_dracor,kn,296,55,w20
600,0.8604,0.862,0.862,1.2981,12.7361,0.7843,0.6253,0.6211,0.6211,american_dracor,kn,296,32,w20
300,0.736,0.7424,0.7424,1.8241,11.486,1.008,0.8257,0.8162,0.8162,american_dracor,kn,296,20,w20
150,0.6778,0.6783,0.6783,1.6266,6.4434,0.9969,0.8971,0.876,0.876,american_dracor,kn,296,15,w20
0,0.9506,0.951,0.9512,0.7774,13.1661,0.4884,0.3407,0.3352,0.3346,american_dracor,kn,296,211,w30
1200,0.9055,0.9051,0.9051,1.1666,19.9595,0.743,0.4865,0.4901,0.4901,american_dracor,kn,296,55,w30
600,0.8794,0.88,0.88,1.1018,10.824,0.6942,0.5766,0.5767,0.5767,american_dracor,kn,296,33,w30
300,0.742,0.7493,0.7493,1.6459,10.1277,0.9527,0.8175,0.7981,0.7981,american_dracor,kn,296,20,w30
150,0.6747,0.676,0.676,1.6424,6.591,1.0067,0.8932,0.8783,0.8783,american_dracor,kn,296,15,w30
0,0.9138,0.9186,0.9191,1.3446,31.1381,0.9694,0.5137,0.4961,0.4937,dutch_dracor,kn,1268,993,w10
1200,0.8995,0.9054,0.9056,1.2383,27.3029,0.9317,0.5488,0.5374,0.5369,dutch_dracor,kn,1268,273,w10
600,0.8626,0.8707,0.8707,1.1806,14.6937,0.8524,0.6451,0.6265,0.6265,dutch_dracor,kn,1268,168,w10
300,0.7846,0.7882,0.7882,1.3306,10.2805,0.953,0.7871,0.7783,0.7783,dutch_dracor,kn,1268,107,w10
150,0.7076,0.7175,0.7175,1.3783,6.2478,0.9742,0.8805,0.8704,0.8704,dutch_dracor,kn,1268,69,w10
0,0.9134,0.918,0.9186,1.3564,31.5149,0.9795,0.5128,0.496,0.4941,dutch_dracor,kn,1268,874,w20
1200,0.9012,0.9069,0.9072,1.2459,27.5898,0.937,0.5497,0.5305,0.5298,dutch_dracor,kn,1268,249,w20
