# aligned companion of POSNoise_PatternList_Cs_v1.0.txt; evidence: UD_Czech-PDT (222835 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
a	CCONJ	CCONJ	72007	ud
a la	CCONJ	MWE	72007	ud
a priori	CCONJ	MWE	72007	ud
a sice	CCONJ	MWE	72007	ud
a sice že	CCONJ	MWE	72007	ud
a to	CCONJ	MWE	72007	ud
a to jako	CCONJ	MWE	72007	ud
a to protože	CCONJ	MWE	72007	ud
a to že	CCONJ	MWE	72007	ud
aby	SCONJ	SCONJ	7179	ud
akorát	PART	PART	214	ud
ale	CCONJ	CCONJ	11781	ud
alespoň	PART	PART	520	ud
anebo	CCONJ	CCONJ	320	ud
ani	PART	PART	3007	ud
aniž	SCONJ	SCONJ	235	ud
ano	PART	PART	2017	ud
apod	ADV	ADV	161	ud
asi	PART	PART	4074	ud
aspoň	PART	PART	237	ud
atd	ADV	ADV	145	ud
avšak	CCONJ	CCONJ	792	ud
ač	SCONJ	SCONJ	76	ud
ačkoli	SCONJ	SCONJ	377	ud
ačkoliv	SCONJ	SCONJ	200	ud
ať	SCONJ	SCONJ	391	ud
až	PART	PART	4754	ud
bez	ADP	ADP	1944	ud
bez ohledu na	ADP	MWE	1944	ud
blízko	ADV	ADV	332	ud
blízko k	ADV	MWE	332	ud
blíž k	ADV	MWE	36	ud
blíže k	ADV	MWE	62	ud
bohužel	PART	PART	542	ud
bok po boku s	NOUN	MWE	54	ud
brzy	ADV	ADV	470	ud
buď	CCONJ	CCONJ	432	ud
byť	SCONJ	SCONJ	152	ud
bát	VERB	LVERB	296	ud
být	AUX	AUX	148788	ud
bývat	AUX	AUX	533	ud
bývávat	AUX	AUX	15	ud
během	ADP	ADP	1329	ud
celkem	ADV	ADV	617	ud
chtít	VERB	LVERB	3709	ud
chtě nechtě	VERB	MWE	3	ud
chystat	VERB	LVERB	186	ud
co	PRON	PRON	9251	ud
co do	PRON	MWE	9251	ud
co možná	PRON	MWE	9251	ud
coby	SCONJ	SCONJ	121	ud
cokoli	PRON	PRON	89	ud
copak	PRON	PRON	125	ud
cosi	PRON	PRON	66	ud
což	PRON	PRON	2769	ud
daleko	ADV	ADV	787	ud
de facto	X	MWE	340	ud
dlouho	ADV	ADV	1004	ud
dnes	ADV	ADV	1902	ud
dneska	ADV	ADV	516	ud
do	ADP	ADP	17049	ud
do rukou	ADP	MWE	17049	ud
do čela	ADP	MWE	17049	ud
dobře	ADV	ADV	1854	ud
docela	ADV	ADV	510	ud
dodat	VERB	LVERB	725	ud
dodnes	ADV	ADV	198	ud
dodávat	VERB	LVERB	382	ud
dohromady	ADV	ADV	255	ud
dokonce	ADV	ADV	1158	ud
dokud	SCONJ	SCONJ	275	ud
dokázat	VERB	LVERB	793	ud
dole	ADV	ADV	185	ud
dolů	ADV	ADV	255	ud
doma	ADV	ADV	692	ud
domnívat	VERB	LVERB	485	ud
domů	ADV	ADV	606	ud
doporučovat	VERB	LVERB	179	ud
doslova	ADV	ADV	132	ud
dost	ADV	ADV	1231	ud
dosud	ADV	ADV	803	ud
doufat	VERB	LVERB	377	ud
dovolit	VERB	LVERB	273	ud
dovést	VERB	LVERB	184	ud
dozvědět	VERB	LVERB	228	ud
dvakrát	ADV	ADV	337	ud
dál	ADV	ADV	713	ud
dále	ADV	ADV	1041	ud
dát	VERB	LVERB	2608	ud
dávno	ADV	ADV	642	ud
díky	ADP	ADP	603	ud
dříve	ADV	ADV	1239	ud
hlavně	PART	PART	691	ud
hned	ADV	ADV	492	ud
hodlat	VERB	LVERB	333	ud
hodně	ADV	ADV	1547	ud
i	CCONJ	CCONJ	14020	ud
i když	CCONJ	MWE	14020	ud
i pokud	CCONJ	MWE	14020	ud
ihned	ADV	ADV	125	ud
jak	ADV	ADV	7078	ud
jakmile	SCONJ	SCONJ	200	ud
jako	SCONJ	SCONJ	8404	ud
jakožto	SCONJ	SCONJ	91	ud
jaký	DET	DET	1715	ud
jakýkoli	DET	DET	380	ud
jakýkoliv	DET	DET	192	ud
jakýsi	DET	DET	243	ud
jednak	CCONJ	CCONJ	233	ud
jednoduše	ADV	ADV	97	ud
jednou	ADV	ADV	1031	ud
jeho	DET	DET	11220	ud
jehož	DET	DET	1308	ud
jelikož	SCONJ	SCONJ	267	ud
jen	PART	PART	4298	ud
jenom	PART	PART	1496	ud
jenomže	CCONJ	CCONJ	107	ud
jenž	PRON	PRON	3245	ud
jenže	CCONJ	CCONJ	342	ud
jestli	SCONJ	SCONJ	745	ud
jestliže	SCONJ	SCONJ	381	ud
ještě	PART	PART	5678	ud
jinak	ADV	ADV	836	ud
jinde	ADV	ADV	211	ud
jistě	PART	PART	386	ud
již	ADV	ADV	2567	ud
já	PRON	PRON	8672	ud
k	ADP	ADP	14306	ud
kam	ADV	ADV	499	ud
každý	DET	DET	2813	ud
kde	ADV	ADV	3420	ud
kdežto	CCONJ	CCONJ	68	ud
kdo	PRON	PRON	1997	ud
kdy	ADV	ADV	2731	ud
kdysi	ADV	ADV	245	ud
když	SCONJ	SCONJ	8464	ud
kolem	ADP	ADP	1259	ud
kolem dokola	ADP	MWE	1259	ud
kolik	DET	DET	855	ud
koncem	ADP	ADP	365	ud
konstatovat	VERB	LVERB	179	ud
kromě	ADP	ADP	848	ud
krátce	ADV	ADV	294	ud
který	DET	DET	25951	ud
kvůli	ADP	ADP	903	ud
letos	ADV	ADV	945	ud
li	SCONJ	SCONJ	1215	ud
loni	ADV	ADV	608	ud
lépe	ADV	ADV	479	ud
mezi	ADP	ADP	3318	ud
mezitím	ADV	ADV	226	ud
mimo	ADP	ADP	680	ud
mj	ADV	ADV	154	ud
mnohem	ADV	ADV	499	ud
mnoho	DET	DET	1387	ud
moc	ADV	ADV	1869	ud
moci	VERB	LVERB	10445	ud
možná	PART	PART	1174	ud
muset	VERB	LVERB	5078	ud
my	PRON	PRON	5944	ud
myslit	VERB	LVERB	1872	ud
málo	ADV	ADV	680	ud
méně	ADV	ADV	1317	ud
méně než	ADV	MWE	1317	ud
měsíc co měsíc	NOUN	MWE	2494	ud
můj	DET	DET	4007	ud
na	ADP	ADP	58701	ud
na místo	ADP	MWE	58701	ud
na počest	ADP	MWE	58701	ud
na rozdíl od	ADP	MWE	58701	ud
na rozdíl ode	ADP	MWE	58701	ud
na téma	ADP	MWE	58701	ud
na vrub	ADP	MWE	58701	ud
na způsob	ADP	MWE	58701	ud
na základě	ADP	MWE	58701	ud
na závěr	ADP	MWE	58701	ud
na úkor	ADP	MWE	58701	ud
na úrovni	ADP	MWE	58701	ud
na účet	ADP	MWE	58701	ud
nad	ADP	ADP	1683	ud
nadále	ADV	ADV	566	ud
nahoru	ADV	ADV	187	ud
nahoře	ADV	ADV	162	ud
najednou	ADV	ADV	231	ud
najevo	ADV	ADV	120	ud
nakonec	ADV	ADV	706	ud
namísto	ADP	ADP	122	ud
naopak	PART	PART	549	ud
naposledy	ADV	ADV	112	ud
naprosto	ADV	ADV	204	ud
naproti	ADP	ADP	137	ud
napsat	VERB	LVERB	357	ud
například	PART	PART	2160	ud
narozdíl od	ADP	MWE	18	ud
natolik	ADV	ADV	154	ud
naučit	VERB	LVERB	284	ud
navrhovat	VERB	LVERB	211	ud
navzdory	ADP	ADP	260	ud
navíc	ADV	ADV	880	ud
naznačovat	VERB	LVERB	198	ud
naštěstí	PART	PART	128	ud
ne	PART	PART	2363	ud
nebo	CCONJ	CCONJ	5807	ud
nebo li	CCONJ	MWE	5807	ud
neboli	CCONJ	CCONJ	878	ud
neboť	CCONJ	CCONJ	561	ud
nechat	VERB	LVERB	693	ud
nedaleko	ADP	ADP	83	ud
nehledě k	ADP	MWE	28	ud
nehledě na	ADP	MWE	28	ud
nejen	ADV	ADV	655	ud
nejen že	ADV	MWE	655	ud
nejprve	ADV	ADV	192	ud
nejspíš	PART	PART	70	ud
neustále	ADV	ADV	155	ud
nezávisle na	ADV	MWE	71	ud
než	SCONJ	SCONJ	5640	ud
nic	PRON	PRON	1488	ud
nicméně	CCONJ	CCONJ	363	ud
nijak	ADV	ADV	211	ud
nikde	ADV	ADV	97	ud
nikdo	PRON	PRON	936	ud
nikdy	ADV	ADV	838	ud
nikoli	PART	PART	290	ud
nikoliv	PART	PART	178	ud
nyní	ADV	ADV	1649	ud
následkem	ADP	ADP	69	ud
náš	DET	DET	3561	ud
nízko	ADV	ADV	224	ud
nýbrž	CCONJ	CCONJ	142	ud
něco	PRON	PRON	2245	ud
nějak	ADV	ADV	450	ud
nějaký	DET	DET	3023	ud
někam	ADV	ADV	236	ud
někde	ADV	ADV	426	ud
někdo	PRON	PRON	943	ud
někdy	ADV	ADV	901	ud
několik	DET	DET	1990	ud
několikrát	ADV	ADV	169	ud
některý	DET	DET	3051	ud
o	ADP	ADP	22505	ud
obvykle	ADV	ADV	383	ud
obávat	VERB	LVERB	229	ud
občas	ADV	ADV	267	ud
od	ADP	ADP	7423	ud
odhadovat	VERB	LVERB	259	ud
odkud	ADV	ADV	305	ud
odmítat	VERB	LVERB	248	ud
odmítnout	VERB	LVERB	689	ud
odpoledne	ADV	ADV	255	ud
odpovědět	VERB	LVERB	265	ud
ohledně	ADP	ADP	469	ud
okolo	ADP	ADP	334	ud
