# aligned companion of POSNoise_PatternList_De_v3.0.txt; evidence: UD_German-GSD (15589 sentences)
# entry	upos	class	evidence_count
'm	PROPN	OTH	1
'n	-	UNK	0
'ne	-	UNK	0
'nem	-	UNK	0
'nen	-	UNK	0
'ner	-	UNK	0
's	X	OTH	41
ab	ADP	ADP	296
ab dem	ADP	MWE	296
ab und an	ADP	MWE	296
ab und zu	ADP	MWE	296
abends	ADV	ADV	10
aber	ADV	ADV	440
aber auch	ADV	MWE	440
abermals	ADV	ADV	3
abgesehen davon	VERB	MWE	4
abgesehen von	VERB	MWE	4
abschliessend	-	UNK	0
abschließend	ADJ	OTH	6
abseits	ADP	ADP	4
absichtlich	ADJ	OTH	1
absolut	ADJ	OTH	33
abwärts	ADV	ADV	3
ach	INTJ	INTJ	1
ach so	INTJ	MWE	1
achso	-	UNK	0
acht	NUM	NUM	56
achte	ADJ	OTH	2
achteinhalb	-	UNK	0
achtel	NOUN	OTH	1
achten	VERB	LVERB	12
achtens	-	UNK	0
achter	ADJ	OTH	2
achtes	-	UNK	0
achtzehnte	-	UNK	0
achtzig	-	UNK	0
ah	-	UNK	0
aha	-	UNK	0
aktuell	ADJ	OTH	20
all	PROPN	OTH	16
all das was	PROPN	MWE	16
all und jeder	PROPN	MWE	16
alldieweil	-	UNK	0
alle	DET	DET	469
alledem	-	UNK	0
allein	ADV	ADV	27
allem	DET	DET	119
allem anschein nach	DET	MWE	119
allemal	ADV	ADV	1
allen	DET	DET	48
allenfalls	ADV	ADV	3
allenthalben	-	UNK	0
aller	DET	DET	46
aller wahrscheinlichkeit nach	DET	MWE	46
allerart	-	UNK	0
allerdings	ADV	ADV	132
allerhand	-	UNK	0
allerlei	-	UNK	0
allermeisten	DET	DET	2
allerorten	-	UNK	0
allerorts	-	UNK	0
alles	DET	DET	93
alles in allem	DET	MWE	93
alles mögliche	DET	MWE	93
alles was	DET	MWE	93
allesamt	ADV	ADV	1
allesmögliche	-	UNK	0
alleweil	-	UNK	0
allgemeinen	ADJ	OTH	17
alltäglich	ADJ	OTH	1
allzeit	ADV	ADV	1
allzu	ADV	ADV	1
allzu viele	ADV	MWE	1
allzuviel	-	UNK	0
als	ADP	ADP	1659
als auch	ADP	MWE	1659
als bald	ADP	MWE	1659
als beispielsweise	ADP	MWE	1659
als folge	ADP	MWE	1659
als konsequenz	ADP	MWE	1659
als ob	ADP	MWE	1659
als wenn	ADP	MWE	1659
