# aligned companion of POSNoise_PatternList_El_v1.0.txt; evidence: UD_Greek-GDT (2521 sentences)
# entry	upos	class	evidence_count
άλλος	DET	DET	121
έναντι	ADP	ADP	8
ένας	DET	DET	532
έξω	ADV	ADV	10
έτσι	ADV	ADV	33
έτσι ώστε	ADV	MWE	33
έχω	AUX	AUX	406
έως	ADP	ADP	9
έως ότου	ADP	MWE	9
ή	CCONJ	CCONJ	87
ήδη	ADV	ADV	42
ακόμα	ADV	ADV	66
αλλά	CCONJ	CCONJ	122
αν	SCONJ	SCONJ	115
αν και	SCONJ	MWE	115
ανά	ADP	ADP	4
αναγκάζω	VERB	LVERB	14
αναγνωρίζω	VERB	LVERB	18
ανακοινώνω	VERB	LVERB	19
αναφέρω	VERB	LVERB	90
αντί	ADP	ADP	8
απ' ότι	ADP	MWE	19
απέναντι	ADV	ADV	7
απαγορεύω	VERB	LVERB	10
αποδεικνύω	VERB	LVERB	10
αποφασίζω	VERB	LVERB	17
από	ADP	ADP	720
αρκετός	DET	DET	15
αρχίζω	VERB	LVERB	24
ας	AUX	AUX	8
αυτός	DET	DET	558
αφήνω	VERB	LVERB	21
αφετέρου	ADV	ADV	6
αφού	SCONJ	SCONJ	10
αύριο	ADV	ADV	8
βάσει	ADP	ADP	9
για	ADP	ADP	784
γιατί	SCONJ	SCONJ	16
γνωρίζω	VERB	LVERB	22
γύρω	ADV	ADV	9
δε	ADV	ADV	13
δείχνω	VERB	LVERB	23
δεδομένο	ADV	ADV	12
δεδομένου ότι	ADV	MWE	6
δεν	PART	PART	344
δηλαδή	ADV	ADV	22
δηλώνω	VERB	LVERB	70
διαπιστώνω	VERB	LVERB	13
διότι	SCONJ	SCONJ	24
είμαι	AUX	AUX	599
είτε	CCONJ	CCONJ	12
εγώ	PRON	PRON	301
εδώ	ADV	ADV	61
εις	ADP	ADP	4
εκ	ADP	ADP	35
εκεί	ADV	ADV	18
εκείνος	PRON	PRON	18
εκτός	ADV	ADV	20
ελπίζω	VERB	LVERB	21
εν	ADP	ADP	42
εναντίον	ADP	ADP	20
ενόψει	ADP	ADP	3
ενώ	SCONJ	SCONJ	95
ενώπιον	ADP	ADP	3
εξάλλου	ADV	ADV	7
εξαιτίας	ADP	ADP	14
εξακολουθώ	VERB	LVERB	14
επί	ADP	ADP	15
επίσης	ADV	ADV	110
επειδή	SCONJ	SCONJ	20
επιδιώκω	VERB	LVERB	10
επιθυμώ	VERB	LVERB	20
επιπλέον	ADV	ADV	10
επισημαίνω	VERB	LVERB	29
επιτρέπω	VERB	LVERB	47
εφόσον	SCONJ	SCONJ	14
ζητώ	VERB	LVERB	33
θέλω	VERB	LVERB	91
θα	AUX	AUX	512
θεωρώ	VERB	LVERB	70
ιδιαίτερα	ADV	ADV	23
κάθε	DET	DET	35
κάποιος	DET	DET	36
κάτι	PRON	PRON	24
κάτω	ADV	ADV	10
καθένας	PRON	PRON	5
καθίσταμαι	VERB	LVERB	20
καθιστώ	VERB	LVERB	14
καθότι	SCONJ	SCONJ	3
καθώς	ADV	ADV	84
και	CCONJ	CCONJ	1688
καλώ	VERB	LVERB	12
