# aligned companion of POSNoise_PatternList_El_v1.0.txt; evidence: UD_Greek-GDT (2521 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
άλλος	DET	DET	121	ud
έναντι	ADP	ADP	8	ud
ένας	DET	DET	532	ud
έξω	ADV	ADV	10	ud
έτσι	ADV	ADV	33	ud
έτσι ώστε	ADV	MWE	33	ud
έχω	AUX	AUX	406	ud
έως	ADP	ADP	9	ud
έως ότου	ADP	MWE	9	ud
ή	CCONJ	CCONJ	87	ud
ήδη	ADV	ADV	42	ud
ακόμα	ADV	ADV	66	ud
αλλά	CCONJ	CCONJ	122	ud
αν	SCONJ	SCONJ	115	ud
αν και	SCONJ	MWE	115	ud
ανά	ADP	ADP	4	ud
αναγκάζω	VERB	LVERB	14	ud
αναγνωρίζω	VERB	LVERB	18	ud
ανακοινώνω	VERB	LVERB	19	ud
αναφέρω	VERB	LVERB	90	ud
αντί	ADP	ADP	8	ud
απ' ότι	ADP	MWE	19	ud
απέναντι	ADV	ADV	7	ud
απαγορεύω	VERB	LVERB	10	ud
αποδεικνύω	VERB	LVERB	10	ud
αποφασίζω	VERB	LVERB	17	ud
από	ADP	ADP	720	ud
αρκετός	DET	DET	15	ud
αρχίζω	VERB	LVERB	24	ud
ας	AUX	AUX	8	ud
αυτός	DET	DET	558	ud
αφήνω	VERB	LVERB	21	ud
αφετέρου	ADV	ADV	6	ud
αφού	SCONJ	SCONJ	10	ud
αύριο	ADV	ADV	8	ud
βάσει	ADP	ADP	9	ud
για	ADP	ADP	784	ud
γιατί	SCONJ	SCONJ	16	ud
γνωρίζω	VERB	LVERB	22	ud
γύρω	ADV	ADV	9	ud
δε	ADV	ADV	13	ud
δείχνω	VERB	LVERB	23	ud
δεδομένο	ADV	ADV	12	ud
δεδομένου ότι	ADV	MWE	6	ud
δεν	PART	PART	344	ud
δηλαδή	ADV	ADV	22	ud
δηλώνω	VERB	LVERB	70	ud
διαπιστώνω	VERB	LVERB	13	ud
διότι	SCONJ	SCONJ	24	ud
είμαι	AUX	AUX	599	ud
είτε	CCONJ	CCONJ	12	ud
εγώ	PRON	PRON	301	ud
εδώ	ADV	ADV	61	ud
εις	ADP	ADP	4	ud
εκ	ADP	ADP	35	ud
εκεί	ADV	ADV	18	ud
εκείνος	PRON	PRON	18	ud
εκτός	ADV	ADV	20	ud
ελπίζω	VERB	LVERB	21	ud
εν	ADP	ADP	42	ud
εναντίον	ADP	ADP	20	ud
ενόψει	ADP	ADP	3	ud
ενώ	SCONJ	SCONJ	95	ud
ενώπιον	ADP	ADP	3	ud
εξάλλου	ADV	ADV	7	ud
εξαιτίας	ADP	ADP	14	ud
εξακολουθώ	VERB	LVERB	14	ud
επί	ADP	ADP	15	ud
επίσης	ADV	ADV	110	ud
επειδή	SCONJ	SCONJ	20	ud
επιδιώκω	VERB	LVERB	10	ud
επιθυμώ	VERB	LVERB	20	ud
επιπλέον	ADV	ADV	10	ud
επισημαίνω	VERB	LVERB	29	ud
επιτρέπω	VERB	LVERB	47	ud
εφόσον	SCONJ	SCONJ	14	ud
ζητώ	VERB	LVERB	33	ud
θέλω	VERB	LVERB	91	ud
θα	AUX	AUX	512	ud
θεωρώ	VERB	LVERB	70	ud
ιδιαίτερα	ADV	ADV	23	ud
κάθε	DET	DET	35	ud
κάποιος	DET	DET	36	ud
κάτι	PRON	PRON	24	ud
κάτω	ADV	ADV	10	ud
καθένας	PRON	PRON	5	ud
καθίσταμαι	VERB	LVERB	20	ud
καθιστώ	VERB	LVERB	14	ud
καθότι	SCONJ	SCONJ	3	ud
καθώς	ADV	ADV	84	ud
και	CCONJ	CCONJ	1688	ud
καλώ	VERB	LVERB	12	ud
κανένας	DET	DET	40	ud
κατά	ADP	ADP	184	ud
καταλήγω	VERB	LVERB	14	ud
καταφέρνω	VERB	LVERB	16	ud
κατόπιν	ADP	ADP	9	ud
κηρύσσω	VERB	LVERB	11	ud
λέγω	VERB	LVERB	66	ud
λίγο	ADV	ADV	15	ud
λοιπόν	ADV	ADV	11	ud
λόγω	ADP	ADP	34	ud
μάλιστα	ADV	ADV	21	ud
μένω	VERB	LVERB	16	ud
μέσω	ADP	ADP	34	ud
μέχρι	ADP	ADP	63	ud
μέχρι που	ADP	MWE	63	ud
μαζί	ADV	ADV	20	ud
με	ADP	ADP	761	ud
μεν	ADV	ADV	8	ud
μερικοί	DET	DET	14	ud
μετά	ADP	ADP	84	ud
μεταξύ	ADP	ADP	82	ud
μην	PART	PART	43	ud
μου	PRON	PRON	649	ud
μπορώ	VERB	LVERB	186	ud
μόλις	ADV	ADV	15	ud
μόνο	ADV	ADV	72	ud
να	AUX	AUX	1435	ud
ο	DET	DET	11046	ud
οποίος	PRON	PRON	350	ud
οποιοσδήποτε	DET	DET	14	ud
οπότε	CCONJ	CCONJ	4	ud
οτιδήποτε	DET	DET	3	ud
οφείλω	VERB	LVERB	28	ud
ούτε	CCONJ	CCONJ	21	ud
ούτως ή άλλως	ADV	MWE	5	ud
ούτως ώστε	ADV	MWE	5	ud
πάλι	ADV	ADV	8	ud
πάνω	ADV	ADV	16	ud
πέρυσι	ADV	ADV	11	ud
πίσω	ADV	ADV	6	ud
παρά	ADP	ADP	20	ud
παραμένω	VERB	LVERB	27	ud
παρόλο	ADV	ADV	10	ud
παρόλο που	ADV	MWE	10	ud
περί	ADP	ADP	6	ud
περίπου	ADV	ADV	22	ud
περαιτέρω	ADV	ADV	18	ud
περιμένω	VERB	LVERB	13	ud
πιο	ADV	ADV	50	ud
πιστεύω	VERB	LVERB	50	ud
πλέον	ADV	ADV	27	ud
ποιος	PRON	PRON	6	ud
πολύ	ADV	ADV	77	ud
ποτέ	ADV	ADV	10	ud
που	PRON	PRON	665	ud
πράγματι	ADV	ADV	8	ud
πριν	ADV	ADV	35	ud
προ	ADP	ADP	4	ud
προκειμένου	SCONJ	SCONJ	42	ud
προς	ADP	ADP	110	ud
προσθέτω	VERB	LVERB	11	ud
προσπαθώ	VERB	LVERB	23	ud
προτείνω	VERB	LVERB	19	ud
πρώην	ADV	ADV	14	ud
πρώτον	ADV	ADV	6	ud
πως	SCONJ	SCONJ	30	ud
πότε	ADV	ADV	6	ud
σήμερα	ADV	ADV	73	ud
σαν	ADV	ADV	8	ud
σε	ADP	ADP	2195	ud
σημαίνω	VERB	LVERB	13	ud
συνιστώ	VERB	LVERB	13	ud
σχεδόν	ADV	ADV	8	ud
σχετικά	ADV	ADV	83	ud
σύμφωνα	ADV	ADV	52	ud
τέτοιος	DET	DET	28	ud
τίποτα	PRON	PRON	8	ud
τι	PRON	PRON	15	ud
τονίζω	VERB	LVERB	16	ud
τουλάχιστο	ADV	ADV	18	ud
τούτος	PRON	PRON	15	ud
τόσο	ADV	ADV	32	ud
τότε	ADV	ADV	22	ud
τώρα	ADV	ADV	41	ud
υπέρ	ADP	ADP	25	ud
υπενθυμίζω	VERB	LVERB	11	ud
υπογραμμίζω	VERB	LVERB	15	ud
υποχρεώνω	VERB	LVERB	11	ud
υπό	ADP	ADP	34	ud
υπόψη	ADV	ADV	22	ud
χάρη	ADV	ADV	10	ud
χαρακτηρίζω	VERB	LVERB	16	ud
χωρίς	ADP	ADP	29	ud
ως	ADV	ADV	130	ud
ως εκ τούτου	ADV	MWE	130	ud
ως προς	ADV	MWE	130	ud
ωστόσο	CCONJ	CCONJ	58	ud
ό,τι	PRON	PRON	7	ud
όλο	ADV	ADV	14	ud
όμως	CCONJ	CCONJ	62	ud
όπου	ADV	ADV	34	ud
όπως	ADV	ADV	110	ud
όσο	ADV	ADV	83	ud
όσο για	ADV	MWE	83	ud
όσον αφορά	ADV	MWE	44	ud
όσος	PRON	PRON	23	ud
όταν	SCONJ	SCONJ	47	ud
ότι	SCONJ	SCONJ	535	ud
όχι	PART	PART	36	ud
ώς	ADP	ADP	6	ud
ώστε	SCONJ	SCONJ	38	ud
