# aligned companion of POSNoise_PatternList_En_v2.1.txt; evidence: UD_English-EWT (33244 sentences)
# entry	upos	class	evidence_count
a	DET	DET	10818
a bit of	DET	MWE	10818
a couple of	DET	MWE	10818
a few	DET	MWE	10818
a good many	DET	MWE	10818
a great many	DET	MWE	10818
a lack of	DET	MWE	10818
a little	DET	MWE	10818
a little bit of	DET	MWE	10818
a majority of	DET	MWE	10818
a minority of	DET	MWE	10818
a number of	DET	MWE	10818
a plethora of	DET	MWE	10818
a quantity of	DET	MWE	10818
aboard	ADV	ADV	12
about	ADP	ADP	1088
above	ADV	ADV	104
above all	ADV	MWE	104
absent	VERB	LVERB	4
actually	ADV	ADV	172
according	VERB	LVERB	94
according to	VERB	MWE	94
accordingly	ADV	ADV	18
across	ADP	ADP	76
additionally	ADV	ADV	6
adjacent	ADJ	OTH	2
adjacent to	ADJ	MWE	2
admittedly	ADV	ADV	2
after	ADP	ADP	546
after all	ADP	MWE	546
afterward	ADV	ADV	4
afterwards	ADV	ADV	2
again	ADV	ADV	306
against	ADP	ADP	192
ahead	ADV	ADV	42
ahead of	ADV	MWE	42
albeit	SCONJ	SCONJ	2
all	DET	DET	1310
all in all	DET	MWE	1310
all of a sudden	DET	MWE	1310
all over	DET	MWE	1310
all things considered	DET	MWE	1310
almost	ADV	ADV	98
alone	ADV	ADV	56
along	ADP	ADP	114
along the edge	ADP	MWE	114
alongside	-	UNK	0
already	ADV	ADV	208
also	ADV	ADV	788
although	SCONJ	SCONJ	104
although this may be true	SCONJ	MWE	104
altogether	ADV	ADV	8
always	ADV	ADV	268
am	AUX	AUX	828
am not	AUX	MWE	828
amid	ADP	ADP	2
amidst	ADP	ADP	2
among	ADP	ADP	84
amongst	ADP	ADP	4
an	DET	DET	1244
an additional	DET	MWE	1244
an amount of	DET	MWE	1244
analogous to	-	MWE	0
and	CCONJ	CCONJ	12250
and so	CCONJ	MWE	12250
and still	CCONJ	MWE	12250
and yet	CCONJ	MWE	12250
another	DET	DET	298
another key point	DET	MWE	298
any	DET	DET	832
anybody	PRON	PRON	24
anyhow	INTJ	INTJ	2
anyone	PRON	PRON	244
anything	PRON	PRON	198
anyway	INTJ	INTJ	62
apart from	ADV	MWE	20
apart from this	ADV	MWE	20
are	AUX	AUX	2836
aren't	-	UNK	0
around	ADP	ADP	306
as	ADP	ADP	2270
as a consequence	ADP	MWE	2270
as a matter of fact	ADP	MWE	2270
as a result	ADP	MWE	2270
as a result of	ADP	MWE	2270
as a rule	ADP	MWE	2270
as an example	ADP	MWE	2270
as an illustration	ADP	MWE	2270
as can be seen	ADP	MWE	2270
as has been noted	ADP	MWE	2270
as long as	ADP	MWE	2270
as much as	ADP	MWE	2270
as of	ADP	MWE	2270
as previously stated	ADP	MWE	2270
as shown above	ADP	MWE	2270
as soon as	ADP	MWE	2270
as to	ADP	MWE	2270
as usual	ADP	MWE	2270
as well	ADP	MWE	2270
as well as	ADP	MWE	2270
as well as that	ADP	MWE	2270
aside	ADV	ADV	16
ask	VERB	LVERB	328
asked	VERB	LVERB	152
asking	VERB	LVERB	34
asks	VERB	LVERB	6
astraddle	-	UNK	0
astride	ADP	ADP	2
at	ADP	ADP	2082
at any rate	ADP	MWE	2082
at first	ADP	MWE	2082
at last	ADP	MWE	2082
at least	ADP	MWE	2082
at length	ADP	MWE	2082
at the bottom	ADP	MWE	2082
at the front	ADP	MWE	2082
at the left	ADP	MWE	2082
at the present time	ADP	MWE	2082
at the rear	ADP	MWE	2082
at the right	ADP	MWE	2082
at the same time	ADP	MWE	2082
at the top	ADP	MWE	2082
at this instant	ADP	MWE	2082
away	ADV	ADV	186
away from	ADV	MWE	186
barring	VERB	LVERB	2
be	AUX	AUX	19002
be able to	AUX	MWE	19002
be that as it may	AUX	MWE	19002
became	VERB	LVERB	32
because	SCONJ	SCONJ	530
because of	SCONJ	MWE	530
because the	SCONJ	MWE	530
become	VERB	LVERB	166
becomes	VERB	LVERB	10
becoming	VERB	LVERB	14
been	AUX	AUX	868
before	SCONJ	SCONJ	430
began	VERB	LVERB	36
begin	VERB	LVERB	114
beginning	NOUN	OTH	40
begins	VERB	LVERB	8
begun	VERB	LVERB	18
behind	ADP	ADP	72
being	AUX	AUX	354
being that	AUX	MWE	354
below	ADV	ADV	132
beneath	ADP	ADP	4
beside	ADP	ADP	4
besides	ADP	ADP	24
besides that	ADP	MWE	24
besides this	ADP	MWE	24
between	ADP	ADP	228
beyond	ADP	ADP	44
both	CCONJ	CCONJ	254
both-and	-	UNK	0
briefly	ADV	ADV	4
but	CCONJ	CCONJ	1842
but also	CCONJ	MWE	1842
by	ADP	ADP	1566
by all means	ADP	MWE	1566
by and large	ADP	MWE	1566
by comparison	ADP	MWE	1566
by means of	ADP	MWE	1566
by the time	ADP	MWE	1566
by the time of	ADP	MWE	1566
by the way	ADP	MWE	1566
call	VERB	LVERB	762
called	VERB	LVERB	276
came	VERB	LVERB	192
can	AUX	AUX	1778
can't	-	UNK	0
centrally	ADV	ADV	2
certain	ADJ	OTH	72
certainly	ADV	ADV	62
chiefly	-	UNK	0
circa	ADP	ADP	2
close by	ADJ	MWE	188
close to	ADJ	MWE	188
come	VERB	LVERB	644
comes	VERB	LVERB	82
coming	VERB	LVERB	96
comparatively	-	UNK	0
compared to	VERB	MWE	24
conceding that	-	MWE	0
concerning	VERB	LVERB	24
conclusion	NOUN	OTH	16
concurrently	-	UNK	0
consequently	ADV	ADV	4
considering	VERB	LVERB	28
contrarily	-	UNK	0
contrary to	ADJ	MWE	2
conversely	-	UNK	0
correspondingly	-	UNK	0
could	AUX	AUX	720
couldn't	-	UNK	0
could've	-	UNK	0
coupled with	VERB	MWE	6
critically	-	UNK	0
currently	ADV	ADV	80
dare	VERB	LVERB	2
a day	DET	MWE	10818
definitely	ADV	ADV	102
despite	ADP	ADP	34
did	AUX	AUX	694
didn't	-	UNK	0
different from	ADJ	MWE	158
differing from	VERB	MWE	2
do	AUX	AUX	3622
does	AUX	AUX	400
doesn't	-	UNK	0
doing	VERB	LVERB	208
done	VERB	LVERB	224
don't	-	UNK	0
down	ADP	ADP	284
due	ADJ	OTH	136
due to	ADJ	MWE	136
during	ADP	ADP	178
during the morning	ADP	MWE	178
each	DET	DET	184
each other	DET	MWE	184
earlier	ADV	ADV	90
either	CCONJ	CCONJ	114
enough	ADV	ADV	152
equally	ADV	ADV	8
equally important	ADV	MWE	8
especially	ADV	ADV	94
etc.	NOUN	OTH	142
even	ADV	ADV	544
even if	ADV	MWE	544
even more	ADV	MWE	544
even so	ADV	MWE	544
even though	ADV	MWE	544
even when	ADV	MWE	544
eventually	ADV	ADV	26
every	DET	DET	236
everybody	PRON	PRON	26
everyone	PRON	PRON	122
everything	PRON	PRON	152
everywhere	ADV	ADV	10
exactly	ADV	ADV	46
except	ADP	ADP	50
except for	ADP	MWE	50
excepting	-	UNK	0
excluding	VERB	LVERB	4
exclusively	ADV	ADV	2
explicitly	ADV	ADV	2
expressly	-	UNK	0
ever	ADV	ADV	244
failing	VERB	LVERB	6
feel	VERB	LVERB	356
felt	VERB	LVERB	68
few	ADJ	OTH	290
fewer	ADJ	OTH	4
finally	ADV	ADV	84
find	VERB	LVERB	552
finds	VERB	LVERB	4
first	ADJ	OTH	410
first and foremost	ADJ	MWE	410
first of all	ADJ	MWE	410
first thing to remember	ADJ	MWE	410
first, firstly	-	MWE	0
firstly	ADV	ADV	4
following	VERB	LVERB	126
for	ADP	ADP	4590
for a minute	ADP	MWE	4590
for all	ADP	MWE	4590
for example	ADP	MWE	4590
for fear that	ADP	MWE	4590
for instance	ADP	MWE	4590
for now	ADP	MWE	4590
for one thing	ADP	MWE	4590
for that reason	ADP	MWE	4590
for the most part	ADP	MWE	4590
for the purpose of	ADP	MWE	4590
for the time being	ADP	MWE	4590
for this purpose	ADP	MWE	4590
for this reason	ADP	MWE	4590
formerly	-	UNK	0
forthwith	-	UNK	0
found	VERB	LVERB	192
foundationally	-	UNK	0
four	NUM	NUM	94
frequently	ADV	ADV	20
from	ADP	ADP	1652
from time to time	ADP	MWE	1652
further	ADV	ADV	90
furthermore	ADV	ADV	4
gave	VERB	LVERB	112
generally	ADV	ADV	12
generally speaking	ADV	MWE	12
get	VERB	LVERB	1570
gets	VERB	LVERB	40
getting	VERB	LVERB	184
give	VERB	LVERB	642
given	VERB	LVERB	98
given that	VERB	MWE	98
given these points	VERB	MWE	98
gives	VERB	LVERB	46
giving	VERB	LVERB	56
go	VERB	LVERB	1528
goes	VERB	LVERB	56
going	VERB	LVERB	492
gone	VERB	LVERB	68
got	VERB	LVERB	316
gotten	VERB	LVERB	18
granted	VERB	LVERB	12
granted that	VERB	MWE	12
had	VERB	LVERB	1188
had better	VERB	MWE	1188
hadn't	-	UNK	0
hardly	ADV	ADV	6
has	AUX	AUX	1318
hasn't	-	UNK	0
have	VERB	LVERB	6540
have to	VERB	MWE	6540
haven't	-	UNK	0
having	VERB	LVERB	166
he	PRON	PRON	2538
heaps of	-	MWE	0
hear	VERB	LVERB	186
heard	VERB	LVERB	82
hears	VERB	LVERB	2
he'd	-	UNK	0
he'll	-	UNK	0
help	VERB	LVERB	504
helped	VERB	LVERB	42
helping	VERB	LVERB	32
helps	VERB	LVERB	34
hence	ADV	ADV	14
henceforth	-	UNK	0
hencefrom	-	UNK	0
her	PRON	PRON	522
here	ADV	ADV	488
here and there	ADV	MWE	488
hereabout	-	UNK	0
hereabouts	-	UNK	0
hereafter	-	UNK	0
hereat	-	UNK	0
