# aligned companion of POSNoise_PatternList_Fr_v1.0.txt; evidence: UD_French-GSD (16342 sentences)
# entry	upos	class	evidence_count
-ce	PRON	PRON	27
-elle	PRON	PRON	18
-il	PRON	PRON	52
-ils	PRON	PRON	22
-je	PRON	PRON	8
-nous	PRON	PRON	7
-on	PRON	PRON	14
-t-elle	PRON	PRON	18
-t-il	PRON	PRON	59
-t-on	PRON	PRON	6
-vous	PRON	PRON	19
a	AUX	AUX	2339
absolument	ADV	ADV	14
actuellement	ADV	ADV	39
ailleurs	ADV	ADV	115
ainsi	ADV	ADV	376
ainsi qu'	ADV	MWE	376
ainsi que	ADV	MWE	376
aller	VERB	LVERB	264
alors	ADV	ADV	376
alors qu'	ADV	MWE	376
alors que	ADV	MWE	376
après	ADP	ADP	491
assez	ADV	ADV	60
aucun	DET	DET	125
aucune	DET	DET	58
auparavant	ADV	ADV	30
aussi	ADV	ADV	409
aussi bien	ADV	MWE	409
aussitôt	ADV	ADV	10
autant	ADV	ADV	50
autour	ADV	ADV	70
autre	ADJ	OTH	545
autrement	ADV	ADV	11
autres	ADJ	OTH	337
autrui	PRON	PRON	5
av.	ADP	ADP	21
avant	ADP	ADP	279
avec	ADP	ADP	1361
avoir	AUX	AUX	4233
beaucoup	ADV	ADV	118
bel et bien	ADJ	MWE	8
bien	ADV	ADV	384
bien entendu	ADV	MWE	384
bien qu'	ADV	MWE	384
bien que	ADV	MWE	384
bien sûr	ADV	MWE	384
bientôt	ADV	ADV	17
c'	PRON	PRON	554
c' est pourquoi	PRON	MWE	554
c'est-à-dire	CCONJ	CCONJ	52
c'est-à-dire qu'	CCONJ	MWE	52
c'est-à-dire que	CCONJ	MWE	52
car	CCONJ	CCONJ	132
ce	DET	DET	3193
ceci	PRON	PRON	25
cela	PRON	PRON	142
celle	PRON	PRON	100
celle-ci	PRON	PRON	37
celles	PRON	PRON	40
celles-ci	PRON	PRON	13
celui	PRON	PRON	312
celui-ci	PRON	PRON	131
cependant	ADV	ADV	117
certain	ADJ	OTH	62
certaines	DET	DET	67
certains	DET	DET	181
ces	DET	DET	407
cet	DET	DET	192
cette	DET	DET	865
ceux	PRON	PRON	81
ceux-ci	PRON	PRON	26
chacun	PRON	PRON	46
chacune	PRON	PRON	14
chaque	DET	DET	133
chez	ADP	ADP	171
combien	ADV	ADV	10
comme	ADP	ADP	718
comment	ADV	ADV	51
complètement	ADV	ADV	15
compte tenu	NOUN	MWE	138
concernant	ADP	ADP	37
contre	ADP	ADP	300
d	ADP	ADP	15
d'	ADP	ADP	5028
d' abord	ADP	MWE	5028
d' ailleurs	ADP	MWE	5028
d' après	ADP	MWE	5028
d' autant plus	ADP	MWE	5028
d' autant que	ADP	MWE	5028
d' avance	ADP	MWE	5028
d' emblée	ADP	MWE	5028
d' entre	ADP	MWE	5028
d' ici	ADP	MWE	5028
d' où	ADP	MWE	5028
dans	ADP	ADP	3137
davantage	ADV	ADV	26
de	ADP	ADP	31887
de ce fait	ADP	MWE	31887
de fait	ADP	MWE	31887
de le fait	ADP	MWE	31887
de le tout	ADP	MWE	31887
de même	ADP	MWE	31887
de nouveau	ADP	MWE	31887
de par	ADP	MWE	31887
de plus	ADP	MWE	31887
de plus en plus	ADP	MWE	31887
de temps en temps	ADP	MWE	31887
dehors	NOUN	OTH	11
depuis	ADP	ADP	355
derrière	ADP	ADP	33
des	DET	DET	1788
dessous	NOUN	OTH	6
dessus	NOUN	OTH	12
devant	ADP	ADP	80
devenir	VERB	LVERB	282
devoir	VERB	LVERB	367
di	X	OTH	25
différentes	ADJ	OTH	57
différents	ADJ	OTH	87
dire	VERB	LVERB	217
divers	DET	DET	63
diverses	ADJ	OTH	26
donc	ADV	ADV	189
donner	VERB	LVERB	247
dont	PRON	PRON	380
du	DET	DET	108
durant	ADP	ADP	139
dès	ADP	ADP	126
dès lors	ADP	MWE	126
déjà	ADV	ADV	102
désormais	ADV	ADV	37
elle	PRON	PRON	957
elle-même	PRON	PRON	24
elles	PRON	PRON	119
en	ADP	ADP	6143
en bas	ADP	MWE	6143
en commun	ADP	MWE	6143
en effet	ADP	MWE	6143
en face	ADP	MWE	6143
en fait	ADP	MWE	6143
en général	ADP	MWE	6143
en haut	ADP	MWE	6143
en outre	ADP	MWE	6143
en particulier	ADP	MWE	6143
en plus	ADP	MWE	6143
en raison	ADP	MWE	6143
en tant qu'	ADP	MWE	6143
en tant que	ADP	MWE	6143
en tout	ADP	MWE	6143
en tête	ADP	MWE	6143
en vain	ADP	MWE	6143
en vue	ADP	MWE	6143
encore	ADV	ADV	206
enfin	ADV	ADV	57
ensuite	ADV	ADV	123
entièrement	ADV	ADV	18
entre	ADP	ADP	497
entre-temps	ADV	ADV	1
envers	ADP	ADP	18
environ	ADV	ADV	106
essentiellement	ADV	ADV	31
et	CCONJ	CCONJ	8134
et puis	CCONJ	MWE	8134
eux	PRON	PRON	72
eux-mêmes	PRON	PRON	19
exactement	ADV	ADV	10
excepté	ADP	ADP	6
extrêmement	ADV	ADV	17
faire	VERB	LVERB	1005
falloir	VERB	LVERB	120
fort	ADJ	OTH	98
guère	ADV	ADV	7
généralement	ADV	ADV	48
habituellement	ADV	ADV	8
hors	ADV	ADV	33
ici	ADV	ADV	47
il	PRON	PRON	3616
il y a	PRON	MWE	3616
ils	PRON	PRON	491
j'	PRON	PRON	237
jamais	ADV	ADV	90
je	PRON	PRON	326
jusqu'	ADP	ADP	245
jusque	ADP	ADP	253
justement	ADV	ADV	4
l	DET	DET	17
l'	DET	DET	7384
l'on	PRON	PRON	71
la	DET	DET	11095
la plus	DET	MWE	11095
laisser	VERB	LVERB	89
laquelle	PRON	PRON	72
le	DET	DET	43616
le long	DET	MWE	43616
le moins	DET	MWE	43616
le plus	DET	MWE	43616
