# aligned companion of POSNoise_PatternList_Fr_v1.0.txt; evidence: UD_French-GSD (16342 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
-ce	PRON	PRON	27	ud
-elle	PRON	PRON	18	ud
-il	PRON	PRON	52	ud
-ils	PRON	PRON	22	ud
-je	PRON	PRON	8	ud
-nous	PRON	PRON	7	ud
-on	PRON	PRON	14	ud
-t-elle	PRON	PRON	18	ud
-t-il	PRON	PRON	59	ud
-t-on	PRON	PRON	6	ud
-vous	PRON	PRON	19	ud
a	AUX	AUX	2339	ud
absolument	ADV	ADV	14	ud
actuellement	ADV	ADV	39	ud
ailleurs	ADV	ADV	115	ud
ainsi	ADV	ADV	376	ud
ainsi qu'	ADV	MWE	376	ud
ainsi que	ADV	MWE	376	ud
aller	VERB	LVERB	264	ud
alors	ADV	ADV	376	ud
alors qu'	ADV	MWE	376	ud
alors que	ADV	MWE	376	ud
après	ADP	ADP	491	ud
assez	ADV	ADV	60	ud
aucun	DET	DET	125	ud
aucune	DET	DET	58	ud
auparavant	ADV	ADV	30	ud
aussi	ADV	ADV	409	ud
aussi bien	ADV	MWE	409	ud
aussitôt	ADV	ADV	10	ud
autant	ADV	ADV	50	ud
autour	ADV	ADV	70	ud
autre	ADJ	OTH	545	ud
autrement	ADV	ADV	11	ud
autres	ADJ	OTH	337	ud
autrui	PRON	PRON	5	ud
av.	ADP	ADP	21	ud
avant	ADP	ADP	279	ud
avec	ADP	ADP	1361	ud
avoir	AUX	AUX	4233	ud
beaucoup	ADV	ADV	118	ud
bel et bien	ADJ	MWE	8	ud
bien	ADV	ADV	384	ud
bien entendu	ADV	MWE	384	ud
bien qu'	ADV	MWE	384	ud
bien que	ADV	MWE	384	ud
bien sûr	ADV	MWE	384	ud
bientôt	ADV	ADV	17	ud
c'	PRON	PRON	554	ud
c' est pourquoi	PRON	MWE	554	ud
c'est-à-dire	CCONJ	CCONJ	52	ud
c'est-à-dire qu'	CCONJ	MWE	52	ud
c'est-à-dire que	CCONJ	MWE	52	ud
car	CCONJ	CCONJ	132	ud
ce	DET	DET	3193	ud
ceci	PRON	PRON	25	ud
cela	PRON	PRON	142	ud
celle	PRON	PRON	100	ud
celle-ci	PRON	PRON	37	ud
celles	PRON	PRON	40	ud
celles-ci	PRON	PRON	13	ud
celui	PRON	PRON	312	ud
celui-ci	PRON	PRON	131	ud
cependant	ADV	ADV	117	ud
certain	ADJ	OTH	62	ud
certaines	DET	DET	67	ud
certains	DET	DET	181	ud
ces	DET	DET	407	ud
cet	DET	DET	192	ud
cette	DET	DET	865	ud
ceux	PRON	PRON	81	ud
ceux-ci	PRON	PRON	26	ud
chacun	PRON	PRON	46	ud
chacune	PRON	PRON	14	ud
chaque	DET	DET	133	ud
chez	ADP	ADP	171	ud
combien	ADV	ADV	10	ud
comme	ADP	ADP	718	ud
comment	ADV	ADV	51	ud
complètement	ADV	ADV	15	ud
compte tenu	NOUN	MWE	138	ud
concernant	ADP	ADP	37	ud
contre	ADP	ADP	300	ud
d	ADP	ADP	15	ud
d'	ADP	ADP	5028	ud
d' abord	ADP	MWE	5028	ud
d' ailleurs	ADP	MWE	5028	ud
d' après	ADP	MWE	5028	ud
d' autant plus	ADP	MWE	5028	ud
d' autant que	ADP	MWE	5028	ud
d' avance	ADP	MWE	5028	ud
d' emblée	ADP	MWE	5028	ud
d' entre	ADP	MWE	5028	ud
d' ici	ADP	MWE	5028	ud
d' où	ADP	MWE	5028	ud
dans	ADP	ADP	3137	ud
davantage	ADV	ADV	26	ud
de	ADP	ADP	31887	ud
de ce fait	ADP	MWE	31887	ud
de fait	ADP	MWE	31887	ud
de le fait	ADP	MWE	31887	ud
de le tout	ADP	MWE	31887	ud
de même	ADP	MWE	31887	ud
de nouveau	ADP	MWE	31887	ud
de par	ADP	MWE	31887	ud
de plus	ADP	MWE	31887	ud
de plus en plus	ADP	MWE	31887	ud
de temps en temps	ADP	MWE	31887	ud
dehors	NOUN	OTH	11	ud
depuis	ADP	ADP	355	ud
derrière	ADP	ADP	33	ud
des	DET	DET	1788	ud
dessous	NOUN	OTH	6	ud
dessus	NOUN	ADV	12	ud
devant	ADP	ADP	80	ud
devenir	VERB	LVERB	282	ud
devoir	VERB	LVERB	367	ud
di	X	ADP	25	ud
différentes	ADJ	OTH	57	ud
différents	ADJ	OTH	87	ud
dire	VERB	LVERB	217	ud
divers	DET	DET	63	ud
diverses	ADJ	OTH	26	ud
donc	ADV	ADV	189	ud
donner	VERB	LVERB	247	ud
dont	PRON	PRON	380	ud
du	DET	DET	108	ud
durant	ADP	ADP	139	ud
dès	ADP	ADP	126	ud
dès lors	ADP	MWE	126	ud
déjà	ADV	ADV	102	ud
désormais	ADV	ADV	37	ud
elle	PRON	PRON	957	ud
elle-même	PRON	PRON	24	ud
elles	PRON	PRON	119	ud
en	ADP	ADP	6143	ud
en bas	ADP	MWE	6143	ud
en commun	ADP	MWE	6143	ud
en effet	ADP	MWE	6143	ud
en face	ADP	MWE	6143	ud
en fait	ADP	MWE	6143	ud
en général	ADP	MWE	6143	ud
en haut	ADP	MWE	6143	ud
en outre	ADP	MWE	6143	ud
en particulier	ADP	MWE	6143	ud
en plus	ADP	MWE	6143	ud
en raison	ADP	MWE	6143	ud
en tant qu'	ADP	MWE	6143	ud
en tant que	ADP	MWE	6143	ud
