# aligned companion of POSNoise_PatternList_Hu_v1.0.txt; evidence: UD_Hungarian-Szeged+UD_Hungarian-POUD (1800 sentences)
# entry	upos	class	evidence_count
-e	ADV	ADV	20
a	DET	DET	3541
ahogy	ADV	ADV	7
ahol	ADV	ADV	29
akar	VERB	LVERB	19
aki	PRON	PRON	98
akkor	ADV	ADV	41
akár	ADV	ADV	12
alatt	ADP	ADP	35
alig	ADV	ADV	14
alá	ADP	ADP	14
alól	ADP	ADP	7
amely	PRON	PRON	117
amelyik	PRON	PRON	3
ami	PRON	PRON	70
amikor	ADV	ADV	35
amint	ADV	ADV	6
amúgy	ADV	ADV	5
annyi	PRON	PRON	7
az	DET	DET	1675
azaz	CCONJ	CCONJ	9
azonban	CCONJ	CCONJ	53
azonnal	ADV	ADV	7
azért	ADV	ADV	30
be	ADV	ADV	38
belül	ADP	ADP	19
bár	SCONJ	SCONJ	17
bármelyik	DET	DET	3
csak	ADV	ADV	115
csaknem	ADV	ADV	5
de	CCONJ	CCONJ	118
e	PRON	PRON	13
eddig	ADV	ADV	13
egy	DET	DET	165
egyaránt	ADV	ADV	6
egyelőre	ADV	ADV	20
egyik	PRON	PRON	58
egymás	PRON	PRON	15
egyre	ADV	ADV	21
egyszer	ADV	ADV	11
egyéb	PRON	PRON	6
egyébként	ADV	ADV	20
együtt	ADP	ADP	18
ekkor	ADV	ADV	6
el	ADV	ADV	79
ellen	ADP	ADP	27
ellentétben	ADP	ADP	7
ellenére	ADP	ADP	19
elé	ADP	ADP	12
elébe	PRON	PRON	4
elő	ADV	ADV	14
elől	ADP	ADP	5
először	ADV	ADV	16
előtt	ADP	ADP	25
emiatt	ADV	ADV	6
este	ADV	ADV	18
ez	PRON	PRON	252
ezelőtt	ADP	ADP	9
ezért	ADV	ADV	33
ezúttal	ADV	ADV	10
fel	ADV	ADV	53
felett	ADP	ADP	3
felé	ADP	ADP	6
fog	AUX	AUX	21
fölé	ADP	ADP	6
fölött	ADP	ADP	3
főként	ADV	ADV	8
ha	SCONJ	SCONJ	80
hanem	CCONJ	CCONJ	40
helyett	ADP	ADP	13
hiszen	CCONJ	CCONJ	44
hogy	SCONJ	SCONJ	460
holott	SCONJ	SCONJ	3
hozzá	PRON	PRON	13
idén	ADV	ADV	27
illetve	CCONJ	CCONJ	36
ilyen	ADJ	OTH	23
immár	ADV	ADV	9
inkább	ADV	ADV	18
is	CCONJ	CCONJ	465
ismét	ADV	ADV	17
itt	ADV	ADV	11
jelenleg	ADV	ADV	13
jelez	VERB	LVERB	11
jól	ADV	ADV	26
jóllehet	SCONJ	SCONJ	9
jóval	ADV	ADV	10
jövőre	ADV	ADV	16
kell	VERB	LVERB	104
keresztül	ADP	ADP	6
kevesebb	NUM	NUM	10
kevés	DET	DET	5
kevésbé	ADV	ADV	8
kezd	VERB	LVERB	12
ki	ADV	ADV	88
kizárólag	ADV	ADV	9
korán	ADV	ADV	27
korántsem	ADV	ADV	5
képest	ADP	ADP	6
kíván	VERB	LVERB	19
kívül	ADP	ADP	6
körül	ADP	ADP	4
körülbelül	ADV	ADV	7
következtében	ADP	ADP	5
közel	ADV	ADV	12
közt	PRON	PRON	5
közé	ADP	ADP	4
közöl	VERB	LVERB	15
között	ADP	ADP	55
közül	ADP	ADP	27
le	ADV	ADV	16
legalább	ADV	ADV	19
legalábbis	ADV	ADV	7
legfeljebb	ADV	ADV	7
legtöbb	DET	DET	5
lehet	VERB	LVERB	55
lesz	AUX	AUX	114
ma	ADV	ADV	39
maga	PRON	PRON	57
majd	ADV	ADV	49
meg	PART	PART	114
mellett	ADP	ADP	27
mely	PRON	PRON	23
mert	SCONJ	SCONJ	42
merthogy	SCONJ	SCONJ	3
mi	PRON	PRON	28
miatt	ADP	ADP	49
mikor	ADV	ADV	6
milyen	PRON	PRON	8
mind	CCONJ	CCONJ	13
mindazonáltal	CCONJ	CCONJ	5
minden	DET	DET	45
mindenesetre	ADV	ADV	5
mindenki	PRON	PRON	13
mindez	PRON	PRON	8
mindig	ADV	ADV	17
mindkét	DET	DET	6
mindössze	ADV	ADV	11
mint	SCONJ	SCONJ	90
mintegy	ADV	ADV	25
mintha	SCONJ	SCONJ	3
minél	ADV	ADV	6
miután	SCONJ	SCONJ	20
mivel	SCONJ	SCONJ	10
miért	ADV	ADV	9
most	ADV	ADV	36
már	ADV	ADV	135
máris	ADV	ADV	7
márpedig	CCONJ	CCONJ	3
más	PRON	PRON	29
másik	DET	DET	19
még	ADV	ADV	129
mégis	ADV	ADV	13
míg	ADV	ADV	18
mögé	ADP	ADP	3
mögött	ADP	ADP	6
múlva	ADP	ADP	5
nagyon	ADV	ADV	21
ne	ADV	ADV	17
neki	PRON	PRON	8
nem	ADV	ADV	358
nemcsak	CCONJ	CCONJ	16
nemrég	ADV	ADV	8
néhány	DET	DET	28
nélkül	ADP	ADP	16
olyan	ADJ	OTH	43
ott	ADV	ADV	19
pedig	CCONJ	CCONJ	78
persze	ADV	ADV	15
pár	DET	DET	3
például	ADV	ADV	45
rajta	PRON	PRON	3
rá	PRON	PRON	12
révén	ADP	ADP	7
s	CCONJ	CCONJ	170
saját	PRON	PRON	18
sem	ADV	ADV	76
semmi	PRON	PRON	15
senki	PRON	PRON	5
sikerül	VERB	LVERB	14
sok	DET	DET	30
sokkal	ADV	ADV	6
szemben	ADP	ADP	26
szeret	VERB	LVERB	27
szerint	ADP	ADP	152
szinte	ADV	ADV	7
szintén	CCONJ	CCONJ	8
számos	NUM	NUM	12
számára	ADP	ADP	26
sőt	CCONJ	CCONJ	16
tavaly	ADV	ADV	31
tegnap	ADV	ADV	22
tehát	CCONJ	CCONJ	16
tovább	ADV	ADV	12
továbbá	ADV	ADV	6
tud	VERB	LVERB	61
több	DET	DET	94
túl	ADV	ADV	10
tőle	PRON	PRON	3
ugyan	SCONJ	SCONJ	25
ugyanakkor	ADV	ADV	17
ugyanaz	PRON	PRON	3
ugyancsak	CCONJ	CCONJ	9
ugyanis	CCONJ	CCONJ	28
után	ADP	ADP	68
utóbb	ADV	ADV	5
vagy	CCONJ	CCONJ	41
vagyis	CCONJ	CCONJ	8
valaki	PRON	PRON	6
valamennyi	DET	DET	7
valami	PRON	PRON	4
valamint	CCONJ	CCONJ	24
van	AUX	AUX	216
vele	PRON	PRON	14
viszont	CCONJ	CCONJ	21
végre	ADV	ADV	8
végül	ADV	ADV	7
állítólag	ADV	ADV	5
által	ADP	ADP	52
általa	PRON	PRON	3
ám	CCONJ	CCONJ	36
át	ADV	ADV	30
én	PRON	PRON	28
