# aligned companion of POSNoise_PatternList_Hu_v1.0.txt; evidence: UD_Hungarian-Szeged+UD_Hungarian-POUD (1800 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
-e	ADV	ADV	20	ud
a	DET	DET	3541	ud
ahogy	ADV	ADV	7	ud
ahol	ADV	ADV	29	ud
akar	VERB	LVERB	19	ud
aki	PRON	PRON	98	ud
akkor	ADV	ADV	41	ud
akár	ADV	ADV	12	ud
alatt	ADP	ADP	35	ud
alig	ADV	ADV	14	ud
alá	ADP	ADP	14	ud
alól	ADP	ADP	7	ud
amely	PRON	PRON	117	ud
amelyik	PRON	PRON	3	ud
ami	PRON	PRON	70	ud
amikor	ADV	ADV	35	ud
amint	ADV	ADV	6	ud
amúgy	ADV	ADV	5	ud
annyi	PRON	PRON	7	ud
az	DET	DET	1675	ud
azaz	CCONJ	CCONJ	9	ud
azonban	CCONJ	CCONJ	53	ud
azonnal	ADV	ADV	7	ud
azért	ADV	ADV	30	ud
be	ADV	ADV	38	ud
belül	ADP	ADP	19	ud
bár	SCONJ	SCONJ	17	ud
bármelyik	DET	DET	3	ud
csak	ADV	ADV	115	ud
csaknem	ADV	ADV	5	ud
de	CCONJ	CCONJ	118	ud
e	PRON	PRON	13	ud
eddig	ADV	ADV	13	ud
egy	DET	DET	165	ud
egyaránt	ADV	ADV	6	ud
egyelőre	ADV	ADV	20	ud
egyik	PRON	PRON	58	ud
egymás	PRON	PRON	15	ud
egyre	ADV	ADV	21	ud
egyszer	ADV	ADV	11	ud
egyéb	PRON	PRON	6	ud
egyébként	ADV	ADV	20	ud
együtt	ADP	ADP	18	ud
ekkor	ADV	ADV	6	ud
el	ADV	ADV	79	ud
ellen	ADP	ADP	27	ud
ellentétben	ADP	ADP	7	ud
ellenére	ADP	ADP	19	ud
elé	ADP	ADP	12	ud
elébe	PRON	PRON	4	ud
elő	ADV	ADV	14	ud
elől	ADP	ADP	5	ud
először	ADV	ADV	16	ud
előtt	ADP	ADP	25	ud
emiatt	ADV	ADV	6	ud
este	ADV	ADV	18	ud
ez	PRON	PRON	252	ud
ezelőtt	ADP	ADP	9	ud
ezért	ADV	ADV	33	ud
ezúttal	ADV	ADV	10	ud
fel	ADV	ADV	53	ud
felett	ADP	ADP	3	ud
felé	ADP	ADP	6	ud
fog	AUX	AUX	21	ud
fölé	ADP	ADP	6	ud
fölött	ADP	ADP	3	ud
főként	ADV	ADV	8	ud
ha	SCONJ	SCONJ	80	ud
hanem	CCONJ	CCONJ	40	ud
helyett	ADP	ADP	13	ud
hiszen	CCONJ	CCONJ	44	ud
hogy	SCONJ	SCONJ	460	ud
holott	SCONJ	SCONJ	3	ud
hozzá	PRON	PRON	13	ud
idén	ADV	ADV	27	ud
illetve	CCONJ	CCONJ	36	ud
ilyen	ADJ	OTH	23	ud
immár	ADV	ADV	9	ud
inkább	ADV	ADV	18	ud
is	CCONJ	CCONJ	465	ud
ismét	ADV	ADV	17	ud
