# aligned companion of POSNoise_PatternList_It_v1.0.txt; evidence: UD_Italian-ISDT (14167 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
's	PART	PART	26	ud
a	ADP	ADP	7710	ud
a che	ADP	MWE	7710	ud
abbastanza	ADV	ADV	22	ud
accanto a	ADV	MWE	19	ud
ad	ADP	ADP	470	ud
adesso	ADV	ADV	55	ud
affatto	ADV	ADV	3	ud
affinché	SCONJ	SCONJ	16	ud
alcun	DET	DET	28	ud
alcuna	DET	DET	35	ud
alcune	DET	DET	47	ud
alcuni	DET	DET	155	ud
alcuno	DET	DET	262	ud
allora	ADV	ADV	48	ud
alquanto	ADV	ADV	2	ud
altra	ADJ	OTH	129	ud
altre	ADJ	OTH	139	ud
altri	ADJ	OTH	240	ud
altrimenti	ADV	ADV	14	ud
altro	ADJ	OTH	691	ud
altrove	ADV	ADV	6	ud
altrui	DET	DET	28	ud
anche	ADV	ADV	784	ud
anche se	ADV	MWE	784	ud
ancora	ADV	ADV	180	ud
and	CCONJ	CCONJ	9	ud
andare	VERB	LVERB	231	ud
anzi	ADV	ADV	21	ud
appena	ADV	ADV	36	ud
assai	ADV	ADV	10	ud
assieme a	ADV	MWE	15	ud
attorno a	ADV	MWE	19	ud
attorno ad	ADV	MWE	19	ud
attraverso	ADP	ADP	56	ud
attualmente	ADV	ADV	19	ud
avere	AUX	AUX	3078	ud
benché	SCONJ	SCONJ	6	ud
bene	ADV	ADV	205	ud
bensì	CCONJ	CCONJ	5	ud
c'	PRON	PRON	168	ud
ce	PROPN	OTH	37	ud
certe	DET	DET	13	ud
certi	DET	DET	15	ud
certo	ADV	ADV	104	ud
che	PRON	PRON	3950	ud
chi	PRON	PRON	470	ud
chiunque	PRON	PRON	12	ud
ci	PRON	PRON	580	ud
ciascun	DET	DET	18	ud
ciascuna	DET	DET	19	ud
ciascuno	DET	DET	62	ud
cioè	CCONJ	CCONJ	99	ud
circa	ADV	ADV	60	ud
ciò	PRON	PRON	103	ud
coloro	PRON	PRON	28	ud
colui	PRON	PRON	8	ud
come	ADP	ADP	926	ud
come a	ADP	MWE	926	ud
come da	ADP	MWE	926	ud
come in	ADP	MWE	926	ud
completamente	ADV	ADV	12	ud
comunque	ADV	ADV	54	ud
con	ADP	ADP	1466	ud
contro	ADP	ADP	170	ud
contro di	ADP	MWE	170	ud
cos'	PRON	PRON	59	ud
cosa	NOUN	OTH	385	ud
così	ADV	ADV	158	ud
cui	PRON	PRON	410	ud
c’	PRON	PRON	19	ud
d'	ADP	ADP	387	ud
da	ADP	ADP	3218	ud
da quando	ADP	MWE	3218	ud
dare	VERB	LVERB	197	ud
davanti	ADV	ADV	38	ud
davanti a	ADV	MWE	38	ud
davvero	ADV	ADV	32	ud
de	PROPN	ADP	106	ud
degli	DET	DET	12	ud
dei	DET	DET	37	ud
delle	DET	DET	28	ud
dentro	ADV	ADV	13	ud
determinate	DET	DET	14	ud
di	ADP	ADP	19611	ud
di come	ADP	MWE	19611	ud
di nuovo	ADP	MWE	19611	ud
di per sé	ADP	MWE	19611	ud
dietro	ADP	ADP	24	ud
dietro a	ADP	MWE	24	ud
dinanzi a	ADV	MWE	10	ud
dire	VERB	LVERB	269	ud
diversa	ADJ	OTH	22	ud
diverse	ADJ	OTH	36	ud
diversi	DET	DET	63	ud
diverso	ADJ	OTH	146	ud
dopo	ADP	ADP	323	ud
dopo che	ADP	MWE	323	ud
dove	ADV	ADV	315	ud
dovere	AUX	AUX	610	ud
dunque	ADV	ADV	21	ud
durante	ADP	ADP	133	ud
d’	ADP	ADP	56	ud
e	CCONJ	CCONJ	5911	ud
ed	CCONJ	CCONJ	297	ud
egli	PRON	PRON	42	ud
entrambe	DET	DET	7	ud
entrambi	DET	DET	23	ud
entro	ADP	ADP	62	ud
eppure	ADV	ADV	19	ud
esattamente	ADV	ADV	8	ud
essa	PRON	PRON	46	ud
esse	PRON	PRON	27	ud
essere	AUX	AUX	7775	ud
essi	PRON	PRON	40	ud
esso	PRON	PRON	127	ud
fare	VERB	LVERB	863	ud
fin	ADV	ADV	15	ud
fin da	ADV	MWE	15	ud
finalmente	ADV	ADV	17	ud
finché	SCONJ	SCONJ	20	ud
fino a	ADV	MWE	137	ud
fino a quando	ADV	MWE	137	ud
fino ad	ADV	MWE	137	ud
forse	ADV	ADV	83	ud
fra	ADP	ADP	104	ud
fuori	ADV	ADV	54	ud
fuori da	ADV	MWE	54	ud
fuori di	ADV	MWE	54	ud
generalmente	ADV	ADV	10	ud
