# aligned companion of POSNoise_PatternList_Lt_v1.0.txt; evidence: UD_Lithuanian-ALKSNIS+UD_Lithuanian-HSE (3905 sentences)
# entry	upos	class	evidence_count
abu	NUM	NUM	16
aiškiai	ADV	ADV	24
anksčiau ar vėliau	ADV	MWE	13
anot	ADP	ADP	23
ant	ADP	ADP	48
antai	PART	PART	3
apie	ADP	ADP	230
ar	CCONJ	CCONJ	356
arba	CCONJ	CCONJ	123
atsisakyti	VERB	LVERB	17
aš	PRON	PRON	346
bandyti	VERB	LVERB	21
be	ADP	ADP	73
bei	CCONJ	CCONJ	183
beje	PART	PART	25
bene	PART	PART	7
bent	PART	PART	30
bet	CCONJ	CCONJ	194
bet ir	CCONJ	MWE	194
beveik	ADV	ADV	33
būtent	PART	PART	13
būti	AUX	AUX	1041
dabar	ADV	ADV	66
dar	PART	PART	131
daug	ADV	ADV	155
dažnai	ADV	ADV	57
derėti	VERB	LVERB	12
drauge	ADV	ADV	7
dėka	ADP	ADP	4
dėl	ADP	ADP	194
dėl to	ADP	MWE	194
dėl viso pikto	ADP	MWE	194
gal	PART	PART	52
galbūt	PART	PART	8
galvoti	VERB	LVERB	14
galėti	VERB	LVERB	305
gana	ADV	ADV	21
gerai	ADV	ADV	66
gi	PART	PART	7
greitai	ADV	ADV	24
greta	ADP	ADP	12
iki	ADP	ADP	113
imti	VERB	LVERB	36
ir	CCONJ	CCONJ	2495
irgi	ADV	ADV	22
itin	ADV	ADV	22
iš	ADP	ADP	318
iš viso	ADP	MWE	318
jau	ADV	ADV	121
jei	SCONJ	SCONJ	97
jeigu	SCONJ	SCONJ	84
ji	PRON	PRON	77
jie	PRON	PRON	126
jis	PRON	PRON	936
jo	PRON	PRON	100
jog	SCONJ	SCONJ	66
joks	DET	DET	36
jos	PRON	PRON	123
juk	PART	PART	33
juo	PRON	PRON	21
jūs	PRON	PRON	13
jų	PRON	PRON	190
kad	SCONJ	SCONJ	619
kad ir kiek	SCONJ	MWE	619
kad ir kokia	SCONJ	MWE	619
kad ir kokias	SCONJ	MWE	619
kad ir kokios	SCONJ	MWE	619
kad ir ką	SCONJ	MWE	619
kada	ADV	ADV	16
kadangi	CCONJ	CCONJ	13
kai	SCONJ	SCONJ	133
kaip	SCONJ	SCONJ	317
kaip tik	SCONJ	MWE	317
kartais	ADV	ADV	26
kartu	ADV	ADV	31
kas	PRON	PRON	204
kasdien	ADV	ADV	11
kasmet	ADV	ADV	6
kažkas	PRON	PRON	16
kažkoks	PRON	PRON	9
kažkur	ADV	ADV	6
keletas	PRON	PRON	17
keli	PRON	PRON	30
ketinti	VERB	LVERB	11
kiek	ADV	ADV	49
kiekvienas	DET	DET	39
kita	ADV	ADV	30
kitaip	ADV	ADV	24
kitas	PRON	PRON	275
kitoks	PRON	PRON	24
ko	PRON	PRON	22
kodėl	ADV	ADV	14
koks	DET	DET	87
kol	ADV	ADV	25
kuo	PRON	PRON	34
kur	ADV	ADV	51
kuris	DET	DET	473
labai	ADV	ADV	160
leisti	VERB	LVERB	27
ligi	ADP	ADP	10
link	ADP	ADP	4
lyg	SCONJ	SCONJ	16
mano	PRON	PRON	68
manyti	VERB	LVERB	38
mat	PART	PART	5
matyt	PART	PART	8
mažai	ADV	ADV	62
mes	PRON	PRON	55
mūsų	PRON	PRON	63
n-tas	PRON	PRON	3
ne	PART	PART	245
ne tik	PART	MWE	245
nebent	SCONJ	SCONJ	5
negalėti	VERB	LVERB	42
negu	SCONJ	SCONJ	22
nei	SCONJ	SCONJ	80
nenorėti	VERB	LVERB	12
nereikėti	VERB	LVERB	21
nes	SCONJ	SCONJ	97
net	PART	PART	89
netgi	PART	PART	23
netrukus	ADV	ADV	5
nežinoti	VERB	LVERB	20
niekad	ADV	ADV	5
niekada	ADV	ADV	14
niekas	PRON	PRON	53
nors	SCONJ	SCONJ	98
nors ir	SCONJ	MWE	98
norėti	VERB	LVERB	47
nuo	ADP	ADP	170
nuolat	ADV	ADV	19
nuspręsti	VERB	LVERB	11
nė	PART	PART	24
o	CCONJ	CCONJ	301
padėti	VERB	LVERB	50
pagal	ADP	ADP	76
pagaliau	ADV	ADV	10
pamažu	ADV	ADV	5
parodyti	VERB	LVERB	12
pas	ADP	ADP	12
pasak	ADP	ADP	16
pasakoti	VERB	LVERB	10
pasakyti	VERB	LVERB	17
pasiūlyti	VERB	LVERB	14
pastebėti	VERB	LVERB	25
pat	X	OTH	112
pats	DET	DET	119
pavykti	VERB	LVERB	12
per	ADP	ADP	136
pernelyg	ADV	ADV	11
pirma	ADV	ADV	26
planuoti	VERB	LVERB	28
po	ADP	ADP	82
pradėti	VERB	LVERB	59
prašyti	VERB	LVERB	11
prie	ADP	ADP	85
prieš	ADP	ADP	55
priminti	VERB	LVERB	12
prisiminti	VERB	LVERB	12
privalėti	VERB	LVERB	29
pro	ADP	ADP	9
pusiau	ADV	ADV	5
regis	PART	PART	4
reikėti	VERB	LVERB	85
reikšti	VERB	LVERB	17
rodyti	VERB	LVERB	40
sakyti	VERB	LVERB	77
savaime	ADV	ADV	7
savas	PRON	PRON	7
savo	PRON	PRON	184
savęs	PRON	PRON	209
siekti	VERB	LVERB	93
siūlyti	VERB	LVERB	30
staiga	ADV	ADV	6
stengtis	VERB	LVERB	16
su	ADP	ADP	360
suprasti	VERB	LVERB	36
t.	ADV	ADV	26
tad	ADV	ADV	35
tada	ADV	ADV	28
tai	DET	DET	301
taigi	PART	PART	27
taip	ADV	ADV	194
taip pat ir	ADV	MWE	194
tam	PRON	PRON	65
tarp	ADP	ADP	53
tarsi	PART	PART	31
tas	DET	DET	475
tavo	PRON	PRON	22
tačiau	CCONJ	CCONJ	137
tegul	PART	PART	3
teigti	VERB	LVERB	37
tekti	VERB	LVERB	20
ten	ADV	ADV	16
tiek	ADV	ADV	75
tiesiog	ADV	ADV	24
tik	PART	PART	224
tikrai	ADV	ADV	43
tiktai	PART	PART	9
tikėtis	VERB	LVERB	21
todėl	ADV	ADV	76
toks	DET	DET	197
toli	ADV	ADV	49
tu	PRON	PRON	133
tuo	DET	DET	50
tuo tarpu	DET	MWE	50
tuoj	ADV	ADV	6
tuojau	ADV	ADV	5
tuomet	ADV	ADV	8
turbūt	PART	PART	15
turėti	VERB	LVERB	246
tvirtinti	VERB	LVERB	13
už	ADP	ADP	103
užuot	SCONJ	SCONJ	4
vakar	ADV	ADV	19
vargu	PART	PART	5
vien	PART	PART	11
vienas	PRON	PRON	180
vietoj	ADP	ADP	8
vietoje	NOUN	OTH	13
virš	ADP	ADP	5
vis	ADV	ADV	72
visa	PRON	PRON	23
visada	ADV	ADV	21
visai	ADV	ADV	29
visas	DET	DET	215
visgi	CCONJ	CCONJ	6
visiškai	ADV	ADV	26
viskas	PRON	PRON	36
visoks	PRON	PRON	6
visuomet	ADV	ADV	9
visų	DET	DET	44
vos	PART	PART	10
vėl	ADV	ADV	22
ypač	ADV	ADV	39
čia	ADV	ADV	40
į	ADP	ADP	454
įsivaizduoti	VERB	LVERB	10
šalia	ADP	ADP	15
šiandien	ADV	ADV	19
šiek	ADV	ADV	9
šis	DET	DET	369
šitas	DET	DET	11
štai	PART	PART	17
