# aligned companion of POSNoise_PatternList_Lt_v1.0.txt; evidence: UD_Lithuanian-ALKSNIS+UD_Lithuanian-HSE (3905 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
abu	NUM	NUM	16	ud
aiškiai	ADV	ADV	24	ud
anksčiau ar vėliau	ADV	MWE	13	ud
anot	ADP	ADP	23	ud
ant	ADP	ADP	48	ud
antai	PART	PART	3	ud
apie	ADP	ADP	230	ud
ar	CCONJ	CCONJ	356	ud
arba	CCONJ	CCONJ	123	ud
atsisakyti	VERB	LVERB	17	ud
aš	PRON	PRON	346	ud
bandyti	VERB	LVERB	21	ud
be	ADP	ADP	73	ud
bei	CCONJ	CCONJ	183	ud
beje	PART	PART	25	ud
bene	PART	PART	7	ud
bent	PART	PART	30	ud
bet	CCONJ	CCONJ	194	ud
bet ir	CCONJ	MWE	194	ud
beveik	ADV	ADV	33	ud
būtent	PART	PART	13	ud
būti	AUX	AUX	1041	ud
dabar	ADV	ADV	66	ud
dar	PART	PART	131	ud
daug	ADV	ADV	155	ud
dažnai	ADV	ADV	57	ud
derėti	VERB	LVERB	12	ud
drauge	ADV	ADV	7	ud
dėka	ADP	ADP	4	ud
dėl	ADP	ADP	194	ud
dėl to	ADP	MWE	194	ud
dėl viso pikto	ADP	MWE	194	ud
gal	PART	PART	52	ud
galbūt	PART	PART	8	ud
galvoti	VERB	LVERB	14	ud
galėti	VERB	LVERB	305	ud
gana	ADV	ADV	21	ud
gerai	ADV	ADV	66	ud
gi	PART	PART	7	ud
greitai	ADV	ADV	24	ud
greta	ADP	ADP	12	ud
iki	ADP	ADP	113	ud
imti	VERB	LVERB	36	ud
ir	CCONJ	CCONJ	2495	ud
irgi	ADV	ADV	22	ud
itin	ADV	ADV	22	ud
iš	ADP	ADP	318	ud
iš viso	ADP	MWE	318	ud
jau	ADV	ADV	121	ud
jei	SCONJ	SCONJ	97	ud
jeigu	SCONJ	SCONJ	84	ud
ji	PRON	PRON	77	ud
jie	PRON	PRON	126	ud
jis	PRON	PRON	936	ud
jo	PRON	PRON	100	ud
jog	SCONJ	SCONJ	66	ud
joks	DET	DET	36	ud
jos	PRON	PRON	123	ud
juk	PART	PART	33	ud
juo	PRON	PRON	21	ud
jūs	PRON	PRON	13	ud
jų	PRON	PRON	190	ud
kad	SCONJ	SCONJ	619	ud
kad ir kiek	SCONJ	MWE	619	ud
kad ir kokia	SCONJ	MWE	619	ud
kad ir kokias	SCONJ	MWE	619	ud
kad ir kokios	SCONJ	MWE	619	ud
kad ir ką	SCONJ	MWE	619	ud
kada	ADV	ADV	16	ud
kadangi	CCONJ	CCONJ	13	ud
kai	SCONJ	SCONJ	133	ud
kaip	SCONJ	SCONJ	317	ud
kaip tik	SCONJ	MWE	317	ud
kartais	ADV	ADV	26	ud
kartu	ADV	ADV	31	ud
kas	PRON	PRON	204	ud
kasdien	ADV	ADV	11	ud
kasmet	ADV	ADV	6	ud
kažkas	PRON	PRON	16	ud
kažkoks	PRON	PRON	9	ud
kažkur	ADV	ADV	6	ud
keletas	PRON	PRON	17	ud
keli	PRON	PRON	30	ud
ketinti	VERB	LVERB	11	ud
kiek	ADV	ADV	49	ud
kiekvienas	DET	DET	39	ud
kita	ADV	ADV	30	ud
kitaip	ADV	ADV	24	ud
kitas	PRON	PRON	275	ud
kitoks	PRON	PRON	24	ud
ko	PRON	PRON	22	ud
kodėl	ADV	ADV	14	ud
koks	DET	DET	87	ud
kol	ADV	ADV	25	ud
kuo	PRON	PRON	34	ud
kur	ADV	ADV	51	ud
kuris	DET	DET	473	ud
labai	ADV	ADV	160	ud
leisti	VERB	LVERB	27	ud
ligi	ADP	ADP	10	ud
link	ADP	ADP	4	ud
lyg	SCONJ	SCONJ	16	ud
mano	PRON	PRON	68	ud
manyti	VERB	LVERB	38	ud
mat	PART	PART	5	ud
matyt	PART	PART	8	ud
mažai	ADV	ADV	62	ud
mes	PRON	PRON	55	ud
mūsų	PRON	PRON	63	ud
n-tas	PRON	PRON	3	ud
ne	PART	PART	245	ud
ne tik	PART	MWE	245	ud
nebent	SCONJ	SCONJ	5	ud
negalėti	VERB	LVERB	42	ud
negu	SCONJ	SCONJ	22	ud
nei	SCONJ	SCONJ	80	ud
nenorėti	VERB	LVERB	12	ud
nereikėti	VERB	LVERB	21	ud
nes	SCONJ	SCONJ	97	ud
net	PART	PART	89	ud
netgi	PART	PART	23	ud
netrukus	ADV	ADV	5	ud
nežinoti	VERB	LVERB	20	ud
niekad	ADV	ADV	5	ud
niekada	ADV	ADV	14	ud
niekas	PRON	PRON	53	ud
nors	SCONJ	SCONJ	98	ud
nors ir	SCONJ	MWE	98	ud
norėti	VERB	LVERB	47	ud
nuo	ADP	ADP	170	ud
nuolat	ADV	ADV	19	ud
nuspręsti	VERB	LVERB	11	ud
nė	PART	PART	24	ud
o	CCONJ	CCONJ	301	ud
padėti	VERB	LVERB	50	ud
pagal	ADP	ADP	76	ud
pagaliau	ADV	ADV	10	ud
pamažu	ADV	ADV	5	ud
parodyti	VERB	LVERB	12	ud
pas	ADP	ADP	12	ud
pasak	ADP	ADP	16	ud
pasakoti	VERB	LVERB	10	ud
pasakyti	VERB	LVERB	17	ud
pasiūlyti	VERB	LVERB	14	ud
pastebėti	VERB	LVERB	25	ud
pat	X	OTH	112	ud
pats	DET	DET	119	ud
pavykti	VERB	LVERB	12	ud
per	ADP	ADP	136	ud
pernelyg	ADV	ADV	11	ud
pirma	ADV	ADV	26	ud
planuoti	VERB	LVERB	28	ud
po	ADP	ADP	82	ud
pradėti	VERB	LVERB	59	ud
prašyti	VERB	LVERB	11	ud
prie	ADP	ADP	85	ud
prieš	ADP	ADP	55	ud
priminti	VERB	LVERB	12	ud
prisiminti	VERB	LVERB	12	ud
privalėti	VERB	LVERB	29	ud
pro	ADP	ADP	9	ud
pusiau	ADV	ADV	5	ud
regis	PART	PART	4	ud
reikėti	VERB	LVERB	85	ud
reikšti	VERB	LVERB	17	ud
rodyti	VERB	LVERB	40	ud
sakyti	VERB	LVERB	77	ud
savaime	ADV	ADV	7	ud
savas	PRON	PRON	7	ud
savo	PRON	PRON	184	ud
savęs	PRON	PRON	209	ud
siekti	VERB	LVERB	93	ud
siūlyti	VERB	LVERB	30	ud
staiga	ADV	ADV	6	ud
stengtis	VERB	LVERB	16	ud
su	ADP	ADP	360	ud
suprasti	VERB	LVERB	36	ud
t.	ADV	ADV	26	ud
tad	ADV	ADV	35	ud
tada	ADV	ADV	28	ud
tai	DET	DET	301	ud
taigi	PART	PART	27	ud
taip	ADV	ADV	194	ud
taip pat ir	ADV	MWE	194	ud
tam	PRON	PRON	65	ud
tarp	ADP	ADP	53	ud
tarsi	PART	PART	31	ud
tas	DET	DET	475	ud
tavo	PRON	PRON	22	ud
tačiau	CCONJ	CCONJ	137	ud
tegul	PART	PART	3	ud
teigti	VERB	LVERB	37	ud
tekti	VERB	LVERB	20	ud
ten	ADV	ADV	16	ud
tiek	ADV	ADV	75	ud
tiesiog	ADV	ADV	24	ud
tik	PART	PART	224	ud
tikrai	ADV	ADV	43	ud
tiktai	PART	PART	9	ud
tikėtis	VERB	LVERB	21	ud
todėl	ADV	ADV	76	ud
toks	DET	DET	197	ud
toli	ADV	ADV	49	ud
tu	PRON	PRON	133	ud
tuo	DET	DET	50	ud
tuo tarpu	DET	MWE	50	ud
tuoj	ADV	ADV	6	ud
tuojau	ADV	ADV	5	ud
tuomet	ADV	ADV	8	ud
turbūt	PART	PART	15	ud
turėti	VERB	LVERB	246	ud
tvirtinti	VERB	LVERB	13	ud
už	ADP	ADP	103	ud
užuot	SCONJ	SCONJ	4	ud
vakar	ADV	ADV	19	ud
vargu	PART	PART	5	ud
vien	PART	PART	11	ud
vienas	PRON	PRON	180	ud
vietoj	ADP	ADP	8	ud
vietoje	NOUN	ADV	13	ud
virš	ADP	ADP	5	ud
vis	ADV	ADV	72	ud
visa	PRON	PRON	23	ud
visada	ADV	ADV	21	ud
visai	ADV	ADV	29	ud
visas	DET	DET	215	ud
visgi	CCONJ	CCONJ	6	ud
visiškai	ADV	ADV	26	ud
viskas	PRON	PRON	36	ud
visoks	PRON	PRON	6	ud
visuomet	ADV	ADV	9	ud
visų	DET	DET	44	ud
vos	PART	PART	10	ud
vėl	ADV	ADV	22	ud
ypač	ADV	ADV	39	ud
čia	ADV	ADV	40	ud
į	ADP	ADP	454	ud
įsivaizduoti	VERB	LVERB	10	ud
šalia	ADP	ADP	15	ud
šiandien	ADV	ADV	19	ud
šiek	ADV	ADV	9	ud
šis	DET	DET	369	ud
šitas	DET	DET	11	ud
štai	PART	PART	17	ud
