# aligned companion of POSNoise_PatternList_Lv_v1.0.txt; evidence: UD_Latvian-LVTB (19580 sentences)
# entry	upos	class	evidence_count
abas	DET	DET	71
abi	DET	DET	130
acīmredzot	PART	PART	11
aicināt	VERB	LVERB	125
aiz	ADP	ADP	110
aizliegt	VERB	LVERB	37
aizmirst	VERB	LVERB	70
aizvien	ADV	ADV	35
allaž	ADV	ADV	16
ap	ADP	ADP	104
apgalvot	VERB	LVERB	44
apkārt	ADV	ADV	32
apliecināt	VERB	LVERB	39
apmēram	ADV	ADV	46
apsolīt	VERB	LVERB	16
apzināties	VERB	LVERB	36
ar	ADP	ADP	3221
arvien	ADV	ADV	91
arī	PART	PART	2147
atcerēties	VERB	LVERB	124
atgādināt	VERB	LVERB	57
atkal	ADV	ADV	177
atklāt	VERB	LVERB	153
atpakaļ	ADV	ADV	72
atteikties	VERB	LVERB	40
atzīmēt	VERB	LVERB	46
atzīt	VERB	LVERB	156
atļaut	VERB	LVERB	43
atļauties	VERB	LVERB	23
augstu	ADV	ADV	27
augšā	ADV	ADV	21
baidīties	VERB	LVERB	52
beidzot	ADV	ADV	62
bet	CCONJ	CCONJ	1669
bet arī	CCONJ	MWE	1669
bet gan	CCONJ	MWE	1669
bez	ADP	ADP	219
bieži	ADV	ADV	156
blakus	ADV	ADV	77
bojā	ADV	ADV	28
brīnīties	VERB	LVERB	26
būt	AUX	AUX	10055
caur	ADP	ADP	54
censties	VERB	LVERB	120
cerēt	VERB	LVERB	74
ceturtdien	ADV	ADV	17
cik	ADV	ADV	173
cita	DET	DET	277
cits	DET	DET	405
citur	ADV	ADV	23
daudz	ADV	ADV	653
daudzi	DET	DET	205
daža	DET	DET	60
dažkārt	ADV	ADV	19
dažreiz	ADV	ADV	23
dažs	DET	DET	101
diemžēl	PART	PART	50
diez	PART	PART	11
diezgan	ADV	ADV	52
diezin	PART	PART	4
domāt	VERB	LVERB	302
draudēt	VERB	LVERB	25
droši	PART	PART	55
drusku	ADV	ADV	27
drīkstēt	VERB	LVERB	76
drīz	ADV	ADV	63
dēvēt	VERB	LVERB	19
dēļ	ADP	ADP	169
es	PRON	PRON	2119
fon	PART	PART	7
galvenokārt	ADV	ADV	34
gan	CCONJ	CCONJ	782
gan arī	CCONJ	MWE	782
gandrīz	ADV	ADV	113
gar	ADP	ADP	37
garām	ADV	ADV	46
gatavoties	VERB	LVERB	40
grasīties	VERB	LVERB	18
gribēt	VERB	LVERB	254
gribēties	VERB	LVERB	57
grūti	ADV	ADV	114
i	NUM	NUM	23
iecerēt	VERB	LVERB	29
iedomāties	VERB	LVERB	63
iekšā	ADV	ADV	26
iemācīties	VERB	LVERB	30
iepriekš	ADV	ADV	102
ierosināt	VERB	LVERB	17
iesacīt	VERB	LVERB	29
ieteikt	VERB	LVERB	31
ik	PART	PART	60
ikviena	DET	DET	18
ikviens	DET	DET	64
informēt	VERB	LVERB	109
it	PART	PART	124
it kā	PART	MWE	124
itin	PART	PART	8
izdomāt	VERB	LVERB	28
izdoties	VERB	LVERB	121
izlemt	VERB	LVERB	35
izrādīties	VERB	LVERB	52
izskatīties	VERB	LVERB	72
izteikties	VERB	LVERB	22
iztēloties	VERB	LVERB	16
ja	SCONJ	SCONJ	819
jau	ADV	ADV	923
jautāt	VERB	LVERB	47
jeb	CCONJ	CCONJ	77
jebkas	PRON	PRON	5
jebkura	DET	DET	29
jebkurš	DET	DET	46
jebkāda	DET	DET	12
jebkāds	DET	DET	10
jo	SCONJ	SCONJ	756
joprojām	ADV	ADV	89
just	VERB	LVERB	64
justies	VERB	LVERB	88
jā	PART	PART	96
jūs	PRON	PRON	256
ka	SCONJ	SCONJ	3102
kad	ADV	ADV	741
kamēr	SCONJ	SCONJ	106
kas	PRON	PRON	2704
katra	DET	DET	164
katrs	DET	DET	154
kaut	PART	PART	323
kaut arī	PART	MWE	323
kaut gan	PART	MWE	323
klāt	ADV	ADV	71
kopā	ADV	ADV	225
kopš	ADP	ADP	125
kur	ADV	ADV	444
kura	DET	DET	759
kurš	DET	DET	976
kā	SCONJ	SCONJ	1958
kā ari	SCONJ	MWE	1958
kā arī	SCONJ	MWE	1958
kāda	DET	DET	332
kādreiz	ADV	ADV	42
kāds	DET	DET	489
kādēļ	ADV	ADV	25
kāpēc	ADV	ADV	115
kļūt	VERB	LVERB	257
labi	ADV	ADV	299
labprāt	ADV	ADV	25
lai	SCONJ	SCONJ	1085
lai arī	SCONJ	MWE	1085
lai gan	SCONJ	MWE	1085
lai vai	SCONJ	MWE	1085
laikam	PART	PART	79
lejā	ADV	ADV	23
liecināt	VERB	LVERB	103
liegt	VERB	LVERB	21
likt	VERB	LVERB	184
likties	VERB	LVERB	80
lēnām	ADV	ADV	19
līdz	ADP	ADP	649
līdzko	SCONJ	SCONJ	8
līdzās	ADV	ADV	21
lūgt	VERB	LVERB	65
mana	DET	DET	159
mans	DET	DET	122
manuprāt	ADV	ADV	31
manējs	DET	DET	4
maz	ADV	ADV	85
mazliet	ADV	ADV	63
mācēt	VERB	LVERB	24
mācīt	VERB	LVERB	18
mēgt	VERB	LVERB	53
mēs	PRON	PRON	1143
mēģināt	VERB	LVERB	138
mūsējs	DET	DET	6
ne	PART	PART	581
ne jau	PART	MWE	581
ne tikai	PART	MWE	581
ne tikvien	PART	MWE	581
ne vien	PART	MWE	581
nedaudz	ADV	ADV	51
nedz	CCONJ	CCONJ	20
nekad	ADV	ADV	107
nekas	PRON	PRON	183
nekur	ADV	ADV	19
nekā	SCONJ	SCONJ	231
nekāda	DET	DET	52
nekāds	DET	DET	52
nemaz	ADV	ADV	70
nesen	ADV	ADV	43
netālu	ADV	ADV	21
neviena	DET	DET	38
neviens	DET	DET	150
nevis	CCONJ	CCONJ	111
nez	PART	PART	15
nezin	PART	PART	5
no	ADP	ADP	2430
nodomāt	VERB	LVERB	17
nolemt	VERB	LVERB	75
noliegt	VERB	LVERB	29
norādīt	VERB	LVERB	206
noskaidrot	VERB	LVERB	50
nost	ADV	ADV	24
nozīmēt	VERB	LVERB	81
nr.	ADV	ADV	21
nu	PART	PART	298
nākties	VERB	LVERB	58
nē	PART	PART	65
otrkārt	ADV	ADV	19
otrpus	ADP	ADP	4
pa	ADP	ADP	449
padarīt	VERB	LVERB	64
padomāt	VERB	LVERB	24
pagaidām	ADV	ADV	46
pajautāt	VERB	LVERB	20
palikt	VERB	LVERB	183
palīdzēt	VERB	LVERB	135
pamazām	ADV	ADV	24
papildus	ADV	ADV	23
par	ADP	ADP	2625
parasti	ADV	ADV	89
paredzēt	VERB	LVERB	188
parādīt	VERB	LVERB	72
pasacīt	VERB	LVERB	19
paskaidrot	VERB	LVERB	24
paspēt	VERB	LVERB	34
pastāstīt	VERB	LVERB	70
pat	PART	PART	380
pateikt	VERB	LVERB	60
pati	DET	DET	222
patiesi	ADV	ADV	21
patiešām	PART	PART	39
patlaban	ADV	ADV	54
pats	DET	DET	427
paust	VERB	LVERB	59
pavisam	ADV	ADV	80
paziņot	VERB	LVERB	85
pašlaik	ADV	ADV	84
pie	ADP	ADP	683
piebilst	VERB	LVERB	46
piektdien	ADV	ADV	20
pieprasīt	VERB	LVERB	48
pierādīt	VERB	LVERB	58
piespiest	VERB	LVERB	21
pieļaut	VERB	LVERB	51
pirmkārt	ADV	ADV	25
pirmoreiz	ADV	ADV	18
pirms	ADP	ADP	265
plkst.	ADV	ADV	27
plānot	VERB	LVERB	103
prast	VERB	LVERB	76
pret	ADP	ADP	274
pretī	ADV	ADV	34
priecāties	VERB	LVERB	30
priekš	ADP	ADP	6
priekšā	NOUN	OTH	56
prognozēt	VERB	LVERB	37
prom	ADV	ADV	52
protams	PART	PART	144
proti	PART	PART	46
pulksten	ADV	ADV	17
pār	ADP	ADP	47
pāri	ADV	ADV	73
pārliecināt	VERB	LVERB	54
pārliecināties	VERB	LVERB	22
pārāk	ADV	ADV	80
pēc	ADP	ADP	968
pērn	ADV	ADV	50
rakstīt	VERB	LVERB	96
reiz	ADV	ADV	59
reizēm	ADV	ADV	33
rosināt	VERB	LVERB	16
rīt	ADV	ADV	21
sacīt	VERB	LVERB	266
saprast	VERB	LVERB	225
saukt	VERB	LVERB	108
sava	DET	DET	677
savs	DET	DET	474
savukārt	ADV	ADV	213
savulaik	ADV	ADV	17
