# aligned companion of POSNoise_PatternList_Lv_v1.0.txt; evidence: UD_Latvian-LVTB (19580 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
abas	DET	DET	71	ud
abi	DET	DET	130	ud
acīmredzot	PART	PART	11	ud
aicināt	VERB	LVERB	125	ud
aiz	ADP	ADP	110	ud
aizliegt	VERB	LVERB	37	ud
aizmirst	VERB	LVERB	70	ud
aizvien	ADV	ADV	35	ud
allaž	ADV	ADV	16	ud
ap	ADP	ADP	104	ud
apgalvot	VERB	LVERB	44	ud
apkārt	ADV	ADV	32	ud
apliecināt	VERB	LVERB	39	ud
apmēram	ADV	ADV	46	ud
apsolīt	VERB	LVERB	16	ud
apzināties	VERB	LVERB	36	ud
ar	ADP	ADP	3221	ud
arvien	ADV	ADV	91	ud
arī	PART	PART	2147	ud
atcerēties	VERB	LVERB	124	ud
atgādināt	VERB	LVERB	57	ud
atkal	ADV	ADV	177	ud
atklāt	VERB	LVERB	153	ud
atpakaļ	ADV	ADV	72	ud
atteikties	VERB	LVERB	40	ud
atzīmēt	VERB	LVERB	46	ud
atzīt	VERB	LVERB	156	ud
atļaut	VERB	LVERB	43	ud
atļauties	VERB	LVERB	23	ud
augstu	ADV	ADV	27	ud
augšā	ADV	ADV	21	ud
baidīties	VERB	LVERB	52	ud
beidzot	ADV	ADV	62	ud
bet	CCONJ	CCONJ	1669	ud
bet arī	CCONJ	MWE	1669	ud
bet gan	CCONJ	MWE	1669	ud
bez	ADP	ADP	219	ud
bieži	ADV	ADV	156	ud
blakus	ADV	ADV	77	ud
bojā	ADV	ADV	28	ud
brīnīties	VERB	LVERB	26	ud
būt	AUX	AUX	10055	ud
caur	ADP	ADP	54	ud
censties	VERB	LVERB	120	ud
cerēt	VERB	LVERB	74	ud
ceturtdien	ADV	ADV	17	ud
cik	ADV	ADV	173	ud
cita	DET	DET	277	ud
cits	DET	DET	405	ud
citur	ADV	ADV	23	ud
daudz	ADV	ADV	653	ud
daudzi	DET	DET	205	ud
daža	DET	DET	60	ud
dažkārt	ADV	ADV	19	ud
dažreiz	ADV	ADV	23	ud
dažs	DET	DET	101	ud
diemžēl	PART	PART	50	ud
diez	PART	PART	11	ud
diezgan	ADV	ADV	52	ud
diezin	PART	PART	4	ud
domāt	VERB	LVERB	302	ud
draudēt	VERB	LVERB	25	ud
droši	PART	PART	55	ud
drusku	ADV	ADV	27	ud
drīkstēt	VERB	LVERB	76	ud
drīz	ADV	ADV	63	ud
dēvēt	VERB	LVERB	19	ud
dēļ	ADP	ADP	169	ud
es	PRON	PRON	2119	ud
fon	PART	PART	7	ud
galvenokārt	ADV	ADV	34	ud
gan	CCONJ	CCONJ	782	ud
gan arī	CCONJ	MWE	782	ud
gandrīz	ADV	ADV	113	ud
gar	ADP	ADP	37	ud
garām	ADV	ADV	46	ud
gatavoties	VERB	LVERB	40	ud
grasīties	VERB	LVERB	18	ud
gribēt	VERB	LVERB	254	ud
gribēties	VERB	LVERB	57	ud
grūti	ADV	ADV	114	ud
i	NUM	NUM	23	ud
iecerēt	VERB	LVERB	29	ud
iedomāties	VERB	LVERB	63	ud
iekšā	ADV	ADV	26	ud
iemācīties	VERB	LVERB	30	ud
iepriekš	ADV	ADV	102	ud
ierosināt	VERB	LVERB	17	ud
iesacīt	VERB	LVERB	29	ud
ieteikt	VERB	LVERB	31	ud
ik	PART	PART	60	ud
ikviena	DET	DET	18	ud
ikviens	DET	DET	64	ud
informēt	VERB	LVERB	109	ud
it	PART	PART	124	ud
it kā	PART	MWE	124	ud
itin	PART	PART	8	ud
izdomāt	VERB	LVERB	28	ud
izdoties	VERB	LVERB	121	ud
izlemt	VERB	LVERB	35	ud
izrādīties	VERB	LVERB	52	ud
izskatīties	VERB	LVERB	72	ud
izteikties	VERB	LVERB	22	ud
iztēloties	VERB	LVERB	16	ud
ja	SCONJ	SCONJ	819	ud
jau	ADV	ADV	923	ud
jautāt	VERB	LVERB	47	ud
jeb	CCONJ	CCONJ	77	ud
jebkas	PRON	PRON	5	ud
jebkura	DET	DET	29	ud
jebkurš	DET	DET	46	ud
jebkāda	DET	DET	12	ud
jebkāds	DET	DET	10	ud
jo	SCONJ	SCONJ	756	ud
joprojām	ADV	ADV	89	ud
just	VERB	LVERB	64	ud
justies	VERB	LVERB	88	ud
jā	PART	PART	96	ud
jūs	PRON	PRON	256	ud
ka	SCONJ	SCONJ	3102	ud
kad	ADV	ADV	741	ud
kamēr	SCONJ	SCONJ	106	ud
kas	PRON	PRON	2704	ud
katra	DET	DET	164	ud
katrs	DET	DET	154	ud
kaut	PART	PART	323	ud
kaut arī	PART	MWE	323	ud
kaut gan	PART	MWE	323	ud
klāt	ADV	ADV	71	ud
kopā	ADV	ADV	225	ud
kopš	ADP	ADP	125	ud
kur	ADV	ADV	444	ud
kura	DET	DET	759	ud
kurš	DET	DET	976	ud
kā	SCONJ	SCONJ	1958	ud
kā ari	SCONJ	MWE	1958	ud
kā arī	SCONJ	MWE	1958	ud
kāda	DET	DET	332	ud
kādreiz	ADV	ADV	42	ud
kāds	DET	DET	489	ud
kādēļ	ADV	ADV	25	ud
kāpēc	ADV	ADV	115	ud
kļūt	VERB	LVERB	257	ud
labi	ADV	ADV	299	ud
labprāt	ADV	ADV	25	ud
lai	SCONJ	SCONJ	1085	ud
lai arī	SCONJ	MWE	1085	ud
lai gan	SCONJ	MWE	1085	ud
lai vai	SCONJ	MWE	1085	ud
laikam	PART	PART	79	ud
lejā	ADV	ADV	23	ud
liecināt	VERB	LVERB	103	ud
liegt	VERB	LVERB	21	ud
likt	VERB	LVERB	184	ud
likties	VERB	LVERB	80	ud
lēnām	ADV	ADV	19	ud
līdz	ADP	ADP	649	ud
līdzko	SCONJ	SCONJ	8	ud
līdzās	ADV	ADV	21	ud
lūgt	VERB	LVERB	65	ud
mana	DET	DET	159	ud
mans	DET	DET	122	ud
manuprāt	ADV	ADV	31	ud
manējs	DET	DET	4	ud
maz	ADV	ADV	85	ud
mazliet	ADV	ADV	63	ud
mācēt	VERB	LVERB	24	ud
mācīt	VERB	LVERB	18	ud
mēgt	VERB	LVERB	53	ud
mēs	PRON	PRON	1143	ud
mēģināt	VERB	LVERB	138	ud
mūsējs	DET	DET	6	ud
ne	PART	PART	581	ud
ne jau	PART	MWE	581	ud
ne tikai	PART	MWE	581	ud
ne tikvien	PART	MWE	581	ud
ne vien	PART	MWE	581	ud
nedaudz	ADV	ADV	51	ud
nedz	CCONJ	CCONJ	20	ud
nekad	ADV	ADV	107	ud
nekas	PRON	PRON	183	ud
nekur	ADV	ADV	19	ud
nekā	SCONJ	SCONJ	231	ud
nekāda	DET	DET	52	ud
nekāds	DET	DET	52	ud
nemaz	ADV	ADV	70	ud
nesen	ADV	ADV	43	ud
netālu	ADV	ADV	21	ud
neviena	DET	DET	38	ud
neviens	DET	DET	150	ud
nevis	CCONJ	CCONJ	111	ud
nez	PART	PART	15	ud
nezin	PART	PART	5	ud
no	ADP	ADP	2430	ud
nodomāt	VERB	LVERB	17	ud
nolemt	VERB	LVERB	75	ud
noliegt	VERB	LVERB	29	ud
norādīt	VERB	LVERB	206	ud
noskaidrot	VERB	LVERB	50	ud
nost	ADV	ADV	24	ud
nozīmēt	VERB	LVERB	81	ud
nr.	ADV	ADV	21	ud
nu	PART	PART	298	ud
nākties	VERB	LVERB	58	ud
nē	PART	PART	65	ud
otrkārt	ADV	ADV	19	ud
otrpus	ADP	ADP	4	ud
pa	ADP	ADP	449	ud
padarīt	VERB	LVERB	64	ud
padomāt	VERB	LVERB	24	ud
pagaidām	ADV	ADV	46	ud
pajautāt	VERB	LVERB	20	ud
palikt	VERB	LVERB	183	ud
palīdzēt	VERB	LVERB	135	ud
pamazām	ADV	ADV	24	ud
papildus	ADV	ADV	23	ud
par	ADP	ADP	2625	ud
parasti	ADV	ADV	89	ud
paredzēt	VERB	LVERB	188	ud
parādīt	VERB	LVERB	72	ud
pasacīt	VERB	LVERB	19	ud
paskaidrot	VERB	LVERB	24	ud
paspēt	VERB	LVERB	34	ud
pastāstīt	VERB	LVERB	70	ud
pat	PART	PART	380	ud
pateikt	VERB	LVERB	60	ud
pati	DET	DET	222	ud
patiesi	ADV	ADV	21	ud
patiešām	PART	PART	39	ud
patlaban	ADV	ADV	54	ud
pats	DET	DET	427	ud
paust	VERB	LVERB	59	ud
pavisam	ADV	ADV	80	ud
paziņot	VERB	LVERB	85	ud
pašlaik	ADV	ADV	84	ud
pie	ADP	ADP	683	ud
piebilst	VERB	LVERB	46	ud
piektdien	ADV	ADV	20	ud
pieprasīt	VERB	LVERB	48	ud
pierādīt	VERB	LVERB	58	ud
piespiest	VERB	LVERB	21	ud
pieļaut	VERB	LVERB	51	ud
pirmkārt	ADV	ADV	25	ud
pirmoreiz	ADV	ADV	18	ud
pirms	ADP	ADP	265	ud
plkst.	ADV	ADV	27	ud
plānot	VERB	LVERB	103	ud
prast	VERB	LVERB	76	ud
pret	ADP	ADP	274	ud
pretī	ADV	ADV	34	ud
priecāties	VERB	LVERB	30	ud
priekš	ADP	ADP	6	ud
priekšā	NOUN	OTH	56	ud
prognozēt	VERB	LVERB	37	ud
prom	ADV	ADV	52	ud
protams	PART	PART	144	ud
proti	PART	PART	46	ud
pulksten	ADV	ADV	17	ud
pār	ADP	ADP	47	ud
pāri	ADV	ADV	73	ud
