# aligned companion of POSNoise_PatternList_Nl_v1.0.txt; evidence: UD_Dutch-Alpino+UD_Dutch-LassySmall (30723 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
's nachts	DET	MWE	69	ud
's werelds	DET	MWE	69	ud
1/2	DET	DET	21	ud
2 1/2	NUM	MWE	186	ud
3 1/2	NUM	MWE	155	ud
aan	ADP	ADP	2645	ud
aan de hand van	ADP	MWE	2645	ud
aan de vooravond van	ADP	MWE	2645	ud
aan het	ADP	MWE	2645	ud
aan het adres van	ADP	MWE	2645	ud
aan toe	ADP	MWE	2645	ud
aan_geven	VERB	LVERB	26	ud
aan_kondigen	VERB	LVERB	39	ud
aan_stellen	VERB	LVERB	37	ud
aangaande	ADP	ADP	10	ud
aangezien	SCONJ	SCONJ	45	ud
achten	VERB	LVERB	50	ud
achter	ADP	ADP	137	ud
achteraf	ADV	ADV	9	ud
af	ADP	ADP	299	ud
af aan	ADP	MWE	299	ud
af en toe	ADP	MWE	299	ud
af_vragen	VERB	LVERB	26	ud
al	ADV	ADV	1277	ud
aldaar	ADV	ADV	10	ud
aldus	ADV	ADV	92	ud
alhoewel	SCONJ	SCONJ	14	ud
allang	ADV	ADV	7	ud
allebei	PRON	PRON	14	ud
alleen	ADV	ADV	313	ud
allemaal	ADV	ADV	79	ud
aller_eerst	ADV	ADV	10	ud
allerlei	DET	DET	39	ud
alles	PRON	PRON	145	ud
als	SCONJ	SCONJ	2137	ud
als gevolg van	SCONJ	MWE	2137	ud
als wel	SCONJ	MWE	2137	ud
alsmede	CCONJ	CCONJ	15	ud
alsnog	ADV	ADV	17	ud
alsof	SCONJ	SCONJ	26	ud
alsook	CCONJ	CCONJ	8	ud
altijd	ADV	ADV	209	ud
alvast	ADV	ADV	13	ud
alvorens	SCONJ	SCONJ	10	ud
anno	ADP	ADP	8	ud
bedoelen	VERB	LVERB	38	ud
begrijpen	VERB	LVERB	40	ud
behalve	SCONJ	SCONJ	44	ud
beide	DET	DET	198	ud
bekend_staan	VERB	LVERB	30	ud
beloven	VERB	LVERB	47	ud
beneden	ADP	ADP	27	ud
beschouwen	VERB	LVERB	73	ud
besluiten	VERB	LVERB	163	ud
betekenen	VERB	LVERB	108	ud
beweren	VERB	LVERB	29	ud
bewijzen	VERB	LVERB	34	ud
bij	ADP	ADP	1544	ud
bij gebrek aan	ADP	MWE	1544	ud
bij monde van	ADP	MWE	1544	ud
bij wijze van	ADP	MWE	1544	ud
bijgevolg	ADV	ADV	9	ud
bijna	ADV	ADV	128	ud
bijvoorbeeld	ADV	ADV	114	ud
binnen	ADP	ADP	247	ud
binnenkort	ADV	ADV	15	ud
