# aligned companion of POSNoise_PatternList_No_v1.0.txt; evidence: UD_Norwegian-Bokmaal (20044 sentences)
# entry	upos	class	evidence_count
&	CCONJ	CCONJ	11
135a	DET	DET	5
akkurat	ADV	ADV	72
aldri	ADV	ADV	175
alene	ADV	ADV	60
all	DET	DET	479
alle	DET	DET	543
allerede	ADV	ADV	133
allikevel	ADV	ADV	7
alltid	ADV	ADV	83
alt	PRON	PRON	235
altfor	ADV	ADV	30
altså	ADV	ADV	70
an	ADV	ADV	48
anbefale	VERB	LVERB	56
angående	ADP	ADP	8
annen	DET	DET	854
anse	VERB	LVERB	23
anta	VERB	LVERB	29
at	SCONJ	SCONJ	3780
attpåtil	ADV	ADV	5
av	ADP	ADP	3722
avgjøre	VERB	LVERB	30
avslutte	VERB	LVERB	28
avvise	VERB	LVERB	22
bak	ADP	ADP	78
bare	ADV	ADV	498
begge	DET	DET	82
begynne	VERB	LVERB	152
bekrefte	VERB	LVERB	35
beskrive	VERB	LVERB	37
bety	VERB	LVERB	91
bl.	ADP	ADP	5
bl.a.	ADV	ADV	18
blant	ADP	ADP	201
bli	AUX	AUX	2148
bort	ADV	ADV	81
borte	ADP	ADP	39
brutto	ADV	ADV	3
burde	AUX	AUX	227
både	CCONJ	CCONJ	306
ca.	ADV	ADV	24
cirka	ADV	ADV	8
da	SCONJ	SCONJ	656
de	PRON	PRON	3015
den	PRON	PRON	8605
denne	DET	DET	374
der	SCONJ	SCONJ	462
dere	PRON	PRON	81
deres	PRON	PRON	107
derfor	ADV	ADV	186
derfra	ADV	ADV	6
derimot	ADV	ADV	27
dermed	ADV	ADV	105
dernest	ADV	ADV	5
dersom	SCONJ	SCONJ	95
dessuten	ADV	ADV	54
dessverre	ADV	ADV	27
desto	ADV	ADV	15
dette	PRON	PRON	758
din	PRON	PRON	95
disse	DET	DET	227
dit	ADV	ADV	12
du	PRON	PRON	800
dvs.	ADV	ADV	12
egen	DET	DET	240
eller	CCONJ	CCONJ	594
en	DET	DET	6271
enda	ADV	ADV	78
engang	ADV	ADV	18
enhver	DET	DET	34
enn	ADP	ADP	429
ennå	ADV	ADV	45
enten	CCONJ	CCONJ	32
erkjenne	VERB	LVERB	17
erklære	VERB	LVERB	38
etc.	ADV	ADV	4
etter	ADP	ADP	813
etterhvert	ADV	ADV	4
etterpå	ADV	ADV	29
ettersom	SCONJ	SCONJ	16
f	ADP	ADP	5
f.eks.	ADV	ADV	9
fastslå	VERB	LVERB	17
for	ADP	ADP	3965
foran	ADP	ADP	99
forbi	ADP	ADP	24
fordi	SCONJ	SCONJ	245
foreslå	VERB	LVERB	39
forklare	VERB	LVERB	47
forlengst	ADV	ADV	3
forresten	ADV	ADV	11
forrige	DET	DET	48
forstå	VERB	LVERB	90
forsøke	VERB	LVERB	53
fortelle	VERB	LVERB	201
fortsatt	ADV	ADV	146
fortsette	VERB	LVERB	87
forutsette	VERB	LVERB	17
forvente	VERB	LVERB	33
forøvrig	ADV	ADV	9
fra	ADP	ADP	1386
fram	ADV	ADV	108
framfor	ADP	ADP	7
framover	ADP	ADP	9
frem	ADV	ADV	103
fremfor	ADP	ADP	11
fremover	ADP	ADP	19
fremstå	VERB	LVERB	24
frykte	VERB	LVERB	46
få	VERB	LVERB	1297
føle	VERB	LVERB	95
føles	VERB	LVERB	16
følgelig	ADV	ADV	6
før	SCONJ	SCONJ	357
føre	VERB	LVERB	139
først	ADV	ADV	141
ganske	ADV	ADV	74
gjennom	ADP	ADP	267
gjerne	ADV	ADV	79
glemme	VERB	LVERB	39
grunnet	ADP	ADP	7
ha	AUX	AUX	4652
han	PRON	PRON	2245
hans	PRON	PRON	253
heller	ADV	ADV	137
helst	ADV	ADV	39
hen	ADV	ADV	4
hennes	PRON	PRON	69
her	ADV	ADV	370
herfra	ADV	ADV	7
herunder	ADP	ADP	9
hete	VERB	LVERB	44
hevde	VERB	LVERB	58
hindre	VERB	LVERB	27
hit	ADV	ADV	20
hittil	ADV	ADV	14
hjem	ADV	ADV	95
hjemme	ADP	ADP	105
hos	ADP	ADP	111
hun	PRON	PRON	899
huske	VERB	LVERB	98
hva	PRON	PRON	401
hvem	PRON	PRON	81
hver	DET	DET	218
hverandre	PRON	PRON	70
hverken	CCONJ	CCONJ	25
hvilken	DET	DET	104
hvis	SCONJ	SCONJ	240
hvor	ADV	ADV	298
hvorav	ADV	ADV	5
hvordan	ADV	ADV	232
hvorfor	ADV	ADV	99
hvorvidt	SCONJ	SCONJ	10
håpe	VERB	LVERB	77
høres	VERB	LVERB	18
høyst	ADV	ADV	6
i	ADP	ADP	8644
iblant	ADV	ADV	3
idet	SCONJ	SCONJ	5
ifølge	ADP	ADP	133
igjen	ADV	ADV	222
igjennom	ADP	ADP	9
ii	DET	DET	5
ikke	PART	PART	2687
imellom	ADP	ADP	7
imidlertid	ADV	ADV	75
