# aligned companion of POSNoise_PatternList_No_v1.0.txt; evidence: UD_Norwegian-Bokmaal (20044 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
&	CCONJ	CCONJ	11	ud
135a	DET	DET	5	ud
akkurat	ADV	ADV	72	ud
aldri	ADV	ADV	175	ud
alene	ADV	ADV	60	ud
all	DET	DET	479	ud
alle	DET	DET	543	ud
allerede	ADV	ADV	133	ud
allikevel	ADV	ADV	7	ud
alltid	ADV	ADV	83	ud
alt	PRON	PRON	235	ud
altfor	ADV	ADV	30	ud
altså	ADV	ADV	70	ud
an	ADV	ADV	48	ud
anbefale	VERB	LVERB	56	ud
angående	ADP	ADP	8	ud
annen	DET	DET	854	ud
anse	VERB	LVERB	23	ud
anta	VERB	LVERB	29	ud
at	SCONJ	SCONJ	3780	ud
attpåtil	ADV	ADV	5	ud
av	ADP	ADP	3722	ud
avgjøre	VERB	LVERB	30	ud
avslutte	VERB	LVERB	28	ud
avvise	VERB	LVERB	22	ud
bak	ADP	ADP	78	ud
bare	ADV	ADV	498	ud
begge	DET	DET	82	ud
begynne	VERB	LVERB	152	ud
bekrefte	VERB	LVERB	35	ud
beskrive	VERB	LVERB	37	ud
bety	VERB	LVERB	91	ud
bl.	ADP	ADP	5	ud
bl.a.	ADV	ADV	18	ud
blant	ADP	ADP	201	ud
bli	AUX	AUX	2148	ud
bort	ADV	ADV	81	ud
borte	ADP	ADP	39	ud
brutto	ADV	ADV	3	ud
burde	AUX	AUX	227	ud
både	CCONJ	CCONJ	306	ud
ca.	ADV	ADV	24	ud
cirka	ADV	ADV	8	ud
da	SCONJ	SCONJ	656	ud
de	PRON	PRON	3015	ud
den	PRON	PRON	8605	ud
denne	DET	DET	374	ud
der	SCONJ	SCONJ	462	ud
dere	PRON	PRON	81	ud
deres	PRON	PRON	107	ud
derfor	ADV	ADV	186	ud
derfra	ADV	ADV	6	ud
derimot	ADV	ADV	27	ud
dermed	ADV	ADV	105	ud
dernest	ADV	ADV	5	ud
dersom	SCONJ	SCONJ	95	ud
dessuten	ADV	ADV	54	ud
dessverre	ADV	ADV	27	ud
desto	ADV	ADV	15	ud
dette	PRON	PRON	758	ud
din	PRON	PRON	95	ud
disse	DET	DET	227	ud
dit	ADV	ADV	12	ud
du	PRON	PRON	800	ud
dvs.	ADV	ADV	12	ud
egen	DET	DET	240	ud
eller	CCONJ	CCONJ	594	ud
en	DET	DET	6271	ud
enda	ADV	ADV	78	ud
engang	ADV	ADV	18	ud
enhver	DET	DET	34	ud
enn	ADP	ADP	429	ud
ennå	ADV	ADV	45	ud
enten	CCONJ	CCONJ	32	ud
erkjenne	VERB	LVERB	17	ud
erklære	VERB	LVERB	38	ud
etc.	ADV	ADV	4	ud
etter	ADP	ADP	813	ud
etterhvert	ADV	ADV	4	ud
etterpå	ADV	ADV	29	ud
ettersom	SCONJ	SCONJ	16	ud
f	ADP	ADP	5	ud
f.eks.	ADV	ADV	9	ud
fastslå	VERB	LVERB	17	ud
for	ADP	ADP	3965	ud
foran	ADP	ADP	99	ud
forbi	ADP	ADP	24	ud
fordi	SCONJ	SCONJ	245	ud
foreslå	VERB	LVERB	39	ud
forklare	VERB	LVERB	47	ud
forlengst	ADV	ADV	3	ud
forresten	ADV	ADV	11	ud
forrige	DET	DET	48	ud
forstå	VERB	LVERB	90	ud
forsøke	VERB	LVERB	53	ud
fortelle	VERB	LVERB	201	ud
fortsatt	ADV	ADV	146	ud
fortsette	VERB	LVERB	87	ud
forutsette	VERB	LVERB	17	ud
forvente	VERB	LVERB	33	ud
forøvrig	ADV	ADV	9	ud
fra	ADP	ADP	1386	ud
fram	ADV	ADV	108	ud
framfor	ADP	ADP	7	ud
framover	ADP	ADP	9	ud
frem	ADV	ADV	103	ud
fremfor	ADP	ADP	11	ud
fremover	ADP	ADP	19	ud
fremstå	VERB	LVERB	24	ud
frykte	VERB	LVERB	46	ud
få	VERB	LVERB	1297	ud
føle	VERB	LVERB	95	ud
føles	VERB	LVERB	16	ud
følgelig	ADV	ADV	6	ud
før	SCONJ	SCONJ	357	ud
føre	VERB	LVERB	139	ud
først	ADV	ADV	141	ud
ganske	ADV	ADV	74	ud
gjennom	ADP	ADP	267	ud
gjerne	ADV	ADV	79	ud
glemme	VERB	LVERB	39	ud
grunnet	ADP	ADP	7	ud
ha	AUX	AUX	4652	ud
han	PRON	PRON	2245	ud
hans	PRON	PRON	253	ud
heller	ADV	ADV	137	ud
helst	ADV	ADV	39	ud
hen	ADV	ADV	4	ud
hennes	PRON	PRON	69	ud
her	ADV	ADV	370	ud
herfra	ADV	ADV	7	ud
herunder	ADP	ADP	9	ud
hete	VERB	LVERB	44	ud
hevde	VERB	LVERB	58	ud
hindre	VERB	LVERB	27	ud
hit	ADV	ADV	20	ud
hittil	ADV	ADV	14	ud
hjem	ADV	ADV	95	ud
hjemme	ADP	ADP	105	ud
hos	ADP	ADP	111	ud
hun	PRON	PRON	899	ud
huske	VERB	LVERB	98	ud
hva	PRON	PRON	401	ud
hvem	PRON	PRON	81	ud
hver	DET	DET	218	ud
hverandre	PRON	PRON	70	ud
hverken	CCONJ	CCONJ	25	ud
hvilken	DET	DET	104	ud
hvis	SCONJ	SCONJ	240	ud
hvor	ADV	ADV	298	ud
hvorav	ADV	ADV	5	ud
hvordan	ADV	ADV	232	ud
hvorfor	ADV	ADV	99	ud
hvorvidt	SCONJ	SCONJ	10	ud
håpe	VERB	LVERB	77	ud
høres	VERB	LVERB	18	ud
høyst	ADV	ADV	6	ud
i	ADP	ADP	8644	ud
iblant	ADV	ADV	3	ud
idet	SCONJ	SCONJ	5	ud
ifølge	ADP	ADP	133	ud
igjen	ADV	ADV	222	ud
igjennom	ADP	ADP	9	ud
ii	DET	DET	5	ud
ikke	PART	PART	2687	ud
imellom	ADP	ADP	7	ud
