# aligned companion of POSNoise_PatternList_Pl_v1.0.txt; evidence: UD_Polish-PDB (22152 sentences)
# entry	upos	class	evidence_count
a	CCONJ	CCONJ	1542
a i	CCONJ	MWE	1542
a mianowicie	CCONJ	MWE	1542
a także	CCONJ	MWE	1542
a więc	CCONJ	MWE	1542
aby	SCONJ	SCONJ	265
akurat	PART	PART	20
albo	CCONJ	CCONJ	130
albowiem	SCONJ	SCONJ	6
ale	CCONJ	CCONJ	946
ale i	CCONJ	MWE	946
ale również	CCONJ	MWE	946
ale także	CCONJ	MWE	946
ale też	CCONJ	MWE	946
ani	CCONJ	CCONJ	125
aniżeli	SCONJ	SCONJ	5
aż	PART	PART	99
bardzo	ADV	ADV	573
bez	ADP	ADP	248
bez względu na	ADP	MWE	248
bez wątpienia	ADP	MWE	248
blisko	ADV	ADV	45
bo	SCONJ	SCONJ	354
bowiem	SCONJ	SCONJ	74
brać	VERB	LVERB	75
by	AUX	AUX	890
byle	SCONJ	SCONJ	7
bynajmniej	PART	PART	2
bywać	VERB	LVERB	29
być	AUX	AUX	7774
być może	AUX	MWE	7774
bądź	CCONJ	CCONJ	32
całkiem	ADV	ADV	20
całkowicie	ADV	ADV	21
chcieć	VERB	LVERB	530
chociaż	SCONJ	SCONJ	44
choć	SCONJ	SCONJ	101
choćby	PART	PART	18
chyba	PART	PART	84
ci	PRON	PRON	172
ci sami	PRON	MWE	172
ciebie	PRON	PRON	44
cię	PRON	PRON	100
co	PRON	PRON	953
co do	PRON	MWE	953
co najmniej	PRON	MWE	953
co prawda	PRON	MWE	953
co więcej	PRON	MWE	953
cokolwiek	PRON	PRON	8
coraz to	ADV	MWE	99
coś	PRON	PRON	237
czego	PRON	PRON	74
czegoś	PRON	PRON	23
czemu	ADV	ADV	21
czy	PART	PART	671
czyli	CCONJ	CCONJ	63
czym	PRON	PRON	92
czymś	PRON	PRON	18
czyż	PART	PART	6
czyżby	PART	PART	6
często	ADV	ADV	153
cóż	PRON	PRON	22
daleko	ADV	ADV	90
dawać	VERB	LVERB	69
dać	VERB	LVERB	140
dla	ADP	ADP	745
dlaczego	ADV	ADV	111
dlatego	ADV	ADV	174
do	ADP	ADP	3681
do celów	ADP	MWE	3681
do spraw	ADP	MWE	3681
do tego	ADP	MWE	3681
dokoła	ADV	ADV	2
dokąd	ADV	ADV	9
dokładnie	ADV	ADV	35
dopiero	PART	PART	105
dopóki	SCONJ	SCONJ	21
dosyć	PART	PART	8
dosłownie	PART	PART	5
dotychczas	ADV	ADV	25
dość	PART	PART	53
ds	ADP	ADP	13
dużo	ADV	ADV	116
dzięki	ADP	ADP	94
gdy	ADV	ADV	443
gdyby	SCONJ	SCONJ	108
gdyż	SCONJ	SCONJ	46
gdzie	ADV	ADV	184
gdzie indziej	ADV	MWE	184
gdzieś	ADV	ADV	42
generalnie	PART	PART	9
go	PRON	PRON	441
głównie	PART	PART	33
i	CCONJ	CCONJ	6404
i tak	CCONJ	MWE	6404
i tak dalej	CCONJ	MWE	6404
i to	CCONJ	MWE	6404
ich	PRON	PRON	481
ile	DET	DET	138
ilu	DET	DET	6
im	PRON	PRON	179
inaczej	ADV	ADV	45
inny	ADJ	OTH	575
innymi słowy	ADJ	MWE	40
istotnie	PART	PART	7
iść	VERB	LVERB	215
iż	SCONJ	SCONJ	90
ja	PRON	PRON	1007
jak	SCONJ	SCONJ	1392
jak gdyby	SCONJ	MWE	1392
jak i	SCONJ	MWE	1392
jak również	SCONJ	MWE	1392
jaka	DET	DET	21
jakaś	DET	DET	20
jakby	SCONJ	SCONJ	95
jaki	DET	DET	299
jakich	DET	DET	22
jakichkolwiek	DET	DET	8
jakichś	DET	DET	9
jakie	DET	DET	96
jakiego	DET	DET	9
jakiegokolwiek	DET	DET	6
jakiegoś	DET	DET	25
jakiej	DET	DET	20
jakiejkolwiek	DET	DET	7
jakiejś	DET	DET	7
jakiekolwiek	DET	DET	5
jakieś	DET	DET	53
jakim	DET	DET	34
jakimi	DET	DET	7
jakimś	DET	DET	19
jakiś	DET	DET	228
jako	SCONJ	SCONJ	568
jako tako	SCONJ	MWE	568
jako że	SCONJ	MWE	568
jakoby	SCONJ	SCONJ	18
jaką	DET	DET	25
jakąś	DET	DET	24
je	PRON	PRON	202
jednak	PART	PART	386
jednakże	CCONJ	CCONJ	38
jedynie	PART	PART	86
jego	PRON	PRON	536
jej	PRON	PRON	450
jemu	PRON	PRON	7
jeszcze	PART	PART	376
jeśli	SCONJ	SCONJ	265
jeżeli	SCONJ	SCONJ	134
już	PART	PART	609
ją	PRON	PRON	223
każda	DET	DET	27
każde	DET	DET	24
każdego	DET	DET	48
każdej	DET	DET	29
każdemu	DET	DET	5
każdy	DET	DET	291
każdym	DET	DET	53
każdą	DET	DET	19
kiedy	ADV	ADV	509
kiedy indziej	ADV	MWE	509
kiedyś	ADV	ADV	53
kilka	DET	DET	261
kilkadziesiąt	DET	DET	22
kilkanaście	DET	DET	43
kilkaset	DET	DET	16
kilkoma	DET	DET	7
kilku	DET	DET	82
kilkudziesięciu	DET	DET	7
kilkunastu	DET	DET	15
kilkuset	DET	DET	8
kim	PRON	PRON	39
kimś	PRON	PRON	13
kogo	PRON	PRON	33
kogoś	PRON	PRON	27
komu	PRON	PRON	18
komuś	PRON	PRON	11
konkretnie	PART	PART	10
koło	NOUN	OTH	73
kto	PRON	PRON	251
ktokolwiek	PRON	PRON	9
ktoś	PRON	PRON	165
która	DET	DET	214
które	DET	DET	403
którego	DET	DET	115
której	DET	DET	115
któremu	DET	DET	18
który	DET	DET	1901
których	DET	DET	194
którym	DET	DET	180
którymi	DET	DET	20
któryś	DET	DET	16
którzy	DET	DET	209
którą	DET	DET	86
ku	ADP	ADP	38
kłaść	VERB	LVERB	12
lecz	CCONJ	CCONJ	94
lecz także	CCONJ	MWE	94
lub	CCONJ	CCONJ	385
mało	ADV	ADV	125
mego	DET	DET	7
mi	PRON	PRON	325
mianowicie	PART	PART	7
mieć	VERB	LVERB	1616
mimo	ADP	ADP	87
