# aligned companion of POSNoise_PatternList_Pl_v1.0.txt; evidence: UD_Polish-PDB (22152 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
a	CCONJ	CCONJ	1542	ud
a i	CCONJ	MWE	1542	ud
a mianowicie	CCONJ	MWE	1542	ud
a także	CCONJ	MWE	1542	ud
a więc	CCONJ	MWE	1542	ud
aby	SCONJ	SCONJ	265	ud
akurat	PART	PART	20	ud
albo	CCONJ	CCONJ	130	ud
albowiem	SCONJ	SCONJ	6	ud
ale	CCONJ	CCONJ	946	ud
ale i	CCONJ	MWE	946	ud
ale również	CCONJ	MWE	946	ud
ale także	CCONJ	MWE	946	ud
ale też	CCONJ	MWE	946	ud
ani	CCONJ	CCONJ	125	ud
aniżeli	SCONJ	SCONJ	5	ud
aż	PART	PART	99	ud
bardzo	ADV	ADV	573	ud
bez	ADP	ADP	248	ud
bez względu na	ADP	MWE	248	ud
bez wątpienia	ADP	MWE	248	ud
blisko	ADV	ADV	45	ud
bo	SCONJ	SCONJ	354	ud
bowiem	SCONJ	SCONJ	74	ud
brać	VERB	LVERB	75	ud
by	AUX	AUX	890	ud
byle	SCONJ	SCONJ	7	ud
bynajmniej	PART	PART	2	ud
bywać	VERB	LVERB	29	ud
być	AUX	AUX	7774	ud
być może	AUX	MWE	7774	ud
bądź	CCONJ	CCONJ	32	ud
całkiem	ADV	ADV	20	ud
całkowicie	ADV	ADV	21	ud
chcieć	VERB	LVERB	530	ud
chociaż	SCONJ	SCONJ	44	ud
choć	SCONJ	SCONJ	101	ud
choćby	PART	PART	18	ud
chyba	PART	PART	84	ud
ci	PRON	PRON	172	ud
ci sami	PRON	MWE	172	ud
ciebie	PRON	PRON	44	ud
cię	PRON	PRON	100	ud
co	PRON	PRON	953	ud
co do	PRON	MWE	953	ud
co najmniej	PRON	MWE	953	ud
co prawda	PRON	MWE	953	ud
co więcej	PRON	MWE	953	ud
cokolwiek	PRON	PRON	8	ud
coraz to	ADV	MWE	99	ud
coś	PRON	PRON	237	ud
czego	PRON	PRON	74	ud
czegoś	PRON	PRON	23	ud
czemu	ADV	ADV	21	ud
czy	PART	PART	671	ud
czyli	CCONJ	CCONJ	63	ud
czym	PRON	PRON	92	ud
czymś	PRON	PRON	18	ud
czyż	PART	PART	6	ud
czyżby	PART	PART	6	ud
często	ADV	ADV	153	ud
cóż	PRON	PRON	22	ud
daleko	ADV	ADV	90	ud
dawać	VERB	LVERB	69	ud
dać	VERB	LVERB	140	ud
dla	ADP	ADP	745	ud
dlaczego	ADV	ADV	111	ud
dlatego	ADV	ADV	174	ud
do	ADP	ADP	3681	ud
do celów	ADP	MWE	3681	ud
do spraw	ADP	MWE	3681	ud
do tego	ADP	MWE	3681	ud
dokoła	ADV	ADV	2	ud
dokąd	ADV	ADV	9	ud
dokładnie	ADV	ADV	35	ud
dopiero	PART	PART	105	ud
dopóki	SCONJ	SCONJ	21	ud
dosyć	PART	PART	8	ud
dosłownie	PART	PART	5	ud
dotychczas	ADV	ADV	25	ud
dość	PART	PART	53	ud
ds	ADP	ADP	13	ud
dużo	ADV	ADV	116	ud
dzięki	ADP	ADP	94	ud
gdy	ADV	ADV	443	ud
gdyby	SCONJ	SCONJ	108	ud
gdyż	SCONJ	SCONJ	46	ud
gdzie	ADV	ADV	184	ud
gdzie indziej	ADV	MWE	184	ud
gdzieś	ADV	ADV	42	ud
generalnie	PART	PART	9	ud
go	PRON	PRON	441	ud
głównie	PART	PART	33	ud
i	CCONJ	CCONJ	6404	ud
i tak	CCONJ	MWE	6404	ud
i tak dalej	CCONJ	MWE	6404	ud
i to	CCONJ	MWE	6404	ud
ich	PRON	PRON	481	ud
ile	DET	DET	138	ud
ilu	DET	DET	6	ud
im	PRON	PRON	179	ud
inaczej	ADV	ADV	45	ud
inny	ADJ	OTH	575	ud
innymi słowy	ADJ	MWE	40	ud
istotnie	PART	PART	7	ud
iść	VERB	LVERB	215	ud
iż	SCONJ	SCONJ	90	ud
ja	PRON	PRON	1007	ud
jak	SCONJ	SCONJ	1392	ud
jak gdyby	SCONJ	MWE	1392	ud
jak i	SCONJ	MWE	1392	ud
jak również	SCONJ	MWE	1392	ud
jaka	DET	DET	21	ud
jakaś	DET	DET	20	ud
jakby	SCONJ	SCONJ	95	ud
jaki	DET	DET	299	ud
jakich	DET	DET	22	ud
jakichkolwiek	DET	DET	8	ud
jakichś	DET	DET	9	ud
jakie	DET	DET	96	ud
jakiego	DET	DET	9	ud
jakiegokolwiek	DET	DET	6	ud
jakiegoś	DET	DET	25	ud
jakiej	DET	DET	20	ud
jakiejkolwiek	DET	DET	7	ud
jakiejś	DET	DET	7	ud
jakiekolwiek	DET	DET	5	ud
jakieś	DET	DET	53	ud
jakim	DET	DET	34	ud
jakimi	DET	DET	7	ud
jakimś	DET	DET	19	ud
jakiś	DET	DET	228	ud
jako	SCONJ	SCONJ	568	ud
jako tako	SCONJ	MWE	568	ud
jako że	SCONJ	MWE	568	ud
jakoby	SCONJ	SCONJ	18	ud
jaką	DET	DET	25	ud
jakąś	DET	DET	24	ud
je	PRON	PRON	202	ud
jednak	PART	PART	386	ud
jednakże	CCONJ	CCONJ	38	ud
jedynie	PART	PART	86	ud
jego	PRON	PRON	536	ud
jej	PRON	PRON	450	ud
jemu	PRON	PRON	7	ud
jeszcze	PART	PART	376	ud
jeśli	SCONJ	SCONJ	265	ud
jeżeli	SCONJ	SCONJ	134	ud
już	PART	PART	609	ud
ją	PRON	PRON	223	ud
każda	DET	DET	27	ud
każde	DET	DET	24	ud
każdego	DET	DET	48	ud
każdej	DET	DET	29	ud
każdemu	DET	DET	5	ud
każdy	DET	DET	291	ud
każdym	DET	DET	53	ud
każdą	DET	DET	19	ud
kiedy	ADV	ADV	509	ud
kiedy indziej	ADV	MWE	509	ud
kiedyś	ADV	ADV	53	ud
kilka	DET	DET	261	ud
kilkadziesiąt	DET	DET	22	ud
kilkanaście	DET	DET	43	ud
kilkaset	DET	DET	16	ud
kilkoma	DET	DET	7	ud
kilku	DET	DET	82	ud
kilkudziesięciu	DET	DET	7	ud
kilkunastu	DET	DET	15	ud
kilkuset	DET	DET	8	ud
kim	PRON	PRON	39	ud
kimś	PRON	PRON	13	ud
kogo	PRON	PRON	33	ud
kogoś	PRON	PRON	27	ud
komu	PRON	PRON	18	ud
komuś	PRON	PRON	11	ud
konkretnie	PART	PART	10	ud
koło	NOUN	ADP	73	ud
kto	PRON	PRON	251	ud
ktokolwiek	PRON	PRON	9	ud
ktoś	PRON	PRON	165	ud
która	DET	DET	214	ud
które	DET	DET	403	ud
którego	DET	DET	115	ud
której	DET	DET	115	ud
któremu	DET	DET	18	ud
który	DET	DET	1901	ud
których	DET	DET	194	ud
którym	DET	DET	180	ud
którymi	DET	DET	20	ud
któryś	DET	DET	16	ud
którzy	DET	DET	209	ud
którą	DET	DET	86	ud
ku	ADP	ADP	38	ud
kłaść	VERB	LVERB	12	ud
lecz	CCONJ	CCONJ	94	ud
lecz także	CCONJ	MWE	94	ud
lub	CCONJ	CCONJ	385	ud
mało	ADV	ADV	125	ud
mego	DET	DET	7	ud
mi	PRON	PRON	325	ud
mianowicie	PART	PART	7	ud
mieć	VERB	LVERB	1616	ud
mimo	ADP	ADP	87	ud
mimo to	ADP	MWE	87	ud
mimo wszystko	ADP	MWE	87	ud
mimo że	ADP	MWE	87	ud
między	ADP	ADP	170	ud
między innymi	ADP	MWE	170	ud
mnie	PRON	PRON	429	ud
mniej	ADV	ADV	76	ud
mniej więcej	ADV	MWE	76	ud
mną	PRON	PRON	32	ud
moi	DET	DET	11	ud
moich	DET	DET	21	ud
moim	DET	DET	57	ud
moimi	DET	DET	7	ud
moja	DET	DET	50	ud
moje	DET	DET	48	ud
mojego	DET	DET	30	ud
mojej	DET	DET	47	ud
moją	DET	DET	25	ud
może	VERB	LVERB	566	ud
można	VERB	LVERB	276	ud
mu	PRON	PRON	304	ud
musieć	VERB	LVERB	471	ud
my	PRON	PRON	467	ud
móc	VERB	LVERB	1023	ud
mój	DET	DET	371	ud
mówić	VERB	LVERB	512	ud
na	ADP	ADP	6250	ud
na bazie	ADP	MWE	6250	ud
na co dzień	ADP	MWE	6250	ud
na cześć	ADP	MWE	6250	ud
na dodatek	ADP	MWE	6250	ud
na drodze	ADP	MWE	6250	ud
na miarę	ADP	MWE	6250	ud
na mocy	ADP	MWE	6250	ud
na ogół	ADP	MWE	6250	ud
na pewno	ADP	MWE	6250	ud
na podstawie	ADP	MWE	6250	ud
na potrzeby	ADP	MWE	6250	ud
na poziomie	ADP	MWE	6250	ud
na przełomie	ADP	MWE	6250	ud
na przykład	ADP	MWE	6250	ud
na rzecz	ADP	MWE	6250	ud
na skraju	ADP	MWE	6250	ud
na skutek	ADP	MWE	6250	ud
na szczęście	ADP	MWE	6250	ud
na temat	ADP	MWE	6250	ud
na tle	ADP	MWE	6250	ud
na widok	ADP	MWE	6250	ud
na wzór	ADP	MWE	6250	ud
na zasadzie	ADP	MWE	6250	ud
na łamach	ADP	MWE	6250	ud
nad	ADP	ADP	372	ud
nadal	ADV	ADV	64	ud
najbardziej	ADV	ADV	68	ud
najpierw	ADV	ADV	39	ud
najwięcej	DET	DET	14	ud
najwyraźniej	PART	PART	7	ud
najwyżej	PART	PART	11	ud
należy	VERB	LVERB	178	ud
nam	PRON	PRON	145	ud
nami	PRON	PRON	25	ud
naprawdę	PART	PART	86	ud
naprzeciw	ADP	ADP	5	ud
naprzeciwko	ADP	ADP	15	ud
nas	PRON	PRON	226	ud
nasi	DET	DET	25	ud
następnie	ADV	ADV	43	ud
nasz	DET	DET	425	ud
nasza	DET	DET	28	ud
nasze	DET	DET	68	ud
naszego	DET	DET	45	ud
naszej	DET	DET	57	ud
naszych	DET	DET	73	ud
naszym	DET	DET	58	ud
naszą	DET	DET	18	ud
natomiast	CCONJ	CCONJ	79	ud
nawet	PART	PART	313	ud
niby	PART	PART	32	ud
nic	PRON	PRON	195	ud
nich	PRON	PRON	230	ud
niczego	PRON	PRON	25	ud
niczym	SCONJ	SCONJ	46	ud
nie	PART	PART	4106	ud
niech	AUX	AUX	49	ud
niechaj	AUX	AUX	3	ud
niechby	AUX	AUX	1	ud
niechże	AUX	AUX	1	ud
nieco	ADV	ADV	35	ud
niedaleko	ADP	ADP	31	ud
niego	PRON	PRON	141	ud
niej	PRON	PRON	113	ud
niejako	PART	PART	7	ud
niektóre	DET	DET	35	ud
niektórych	DET	DET	37	ud
niektórzy	DET	DET	38	ud
niemal	PART	PART	35	ud
niemniej	PART	PART	8	ud
