# aligned companion of POSNoise_PatternList_Pt_v1.0.txt; evidence: UD_Portuguese-Bosque (18714 sentences)
# entry	upos	class	evidence_count
/	PUNCT	OTH	106
a	DET	DET	29352
a a medida que	DET	MWE	29352
a as vezes	DET	MWE	29352
a favor ou contra	DET	MWE	29352
a fim de	DET	MWE	29352
a fim de que	DET	MWE	29352
a não ser	DET	MWE	29352
a não ser que	DET	MWE	29352
a o	DET	MWE	29352
a o invés	DET	MWE	29352
a o invés de	DET	MWE	29352
a o passo que	DET	MWE	29352
a o ponto de	DET	MWE	29352
a par de	DET	MWE	29352
a partir de	DET	MWE	29352
a ponto de	DET	MWE	29352
a respeito de	DET	MWE	29352
abaixo	ADV	ADV	18
acabar	VERB	LVERB	176
acerca	ADV	ADV	12
acerca de	ADV	MWE	12
achar	VERB	LVERB	110
acima	ADV	ADV	28
aconselhar	VERB	LVERB	22
acreditar	VERB	LVERB	90
acrescentar	VERB	LVERB	82
actualmente	ADV	ADV	42
acusar	VERB	LVERB	96
adiantar	VERB	LVERB	44
admitir	VERB	LVERB	76
afinal	ADV	ADV	30
afirmar	VERB	LVERB	288
agora	ADV	ADV	324
agora que	ADV	MWE	324
ainda	ADV	ADV	604
ainda assim	ADV	MWE	604
ainda que	ADV	MWE	604
ajudar	VERB	LVERB	60
alegar	VERB	LVERB	30
algo	PRON	PRON	52
algum	DET	DET	408
alguém	PRON	PRON	34
ali	ADV	ADV	68
aliás	ADV	ADV	56
alto	ADJ	OTH	92
além	ADV	ADV	194
além de	ADV	MWE	194
amanhã	ADV	ADV	56
ambos	PRON	PRON	68
ameaçar	VERB	LVERB	42
andar	VERB	LVERB	64
anteontem	ADV	ADV	58
antes	ADV	ADV	272
antes de	ADV	MWE	272
anunciar	VERB	LVERB	122
ao	ADP	ADP	34
apenas	ADV	ADV	268
apesar	ADV	ADV	168
apesar de	ADV	MWE	168
apesar disso	ADV	MWE	168
apontar	VERB	LVERB	86
aprender	VERB	LVERB	26
após	ADP	ADP	168
aquele	DET	DET	220
aqui	ADV	ADV	116
aquilo	PRON	PRON	40
aquém	ADV	ADV	10
assim	ADV	ADV	200
assim como	ADV	MWE	200
através	ADV	ADV	130
atrás	ADV	ADV	42
até	ADP	ADP	518
avaliar	VERB	LVERB	30
aí	ADV	ADV	100
baixo	ADJ	OTH	66
bastante	ADV	ADV	58
bem	ADV	ADV	290
bem como	ADV	MWE	290
cada	DET	DET	218
cada vez mais	DET	MWE	218
cedo	ADV	ADV	18
cerca	ADV	ADV	198
cerca de	ADV	MWE	198
certo	DET	DET	102
certos	DET	DET	18
chamar	VERB	LVERB	124
claro	ADJ	OTH	106
classificar	VERB	LVERB	24
com	ADP	ADP	3154
com vista a	ADP	MWE	3154
começar	VERB	LVERB	256
como	ADP	ADP	1416
como que	ADP	MWE	1416
como se	ADP	MWE	1416
como também	ADP	MWE	1416
compreender	VERB	LVERB	32
comprometer	VERB	LVERB	24
comprovar	VERB	LVERB	24
concluir	VERB	LVERB	66
concordar	VERB	LVERB	24
confessar	VERB	LVERB	28
conforme	SCONJ	SCONJ	20
conseguir	VERB	LVERB	296
considerar	VERB	LVERB	244
consistir	VERB	LVERB	24
continuar	VERB	LVERB	242
contra	ADP	ADP	288
