# aligned companion of POSNoise_PatternList_Pt_v1.0.txt; evidence: UD_Portuguese-Bosque (18714 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
/	PUNCT	OTH	106	ud
a	DET	DET	29352	ud
a a medida que	DET	MWE	29352	ud
a as vezes	DET	MWE	29352	ud
a favor ou contra	DET	MWE	29352	ud
a fim de	DET	MWE	29352	ud
a fim de que	DET	MWE	29352	ud
a não ser	DET	MWE	29352	ud
a não ser que	DET	MWE	29352	ud
a o	DET	MWE	29352	ud
a o invés	DET	MWE	29352	ud
a o invés de	DET	MWE	29352	ud
a o passo que	DET	MWE	29352	ud
a o ponto de	DET	MWE	29352	ud
a par de	DET	MWE	29352	ud
a partir de	DET	MWE	29352	ud
a ponto de	DET	MWE	29352	ud
a respeito de	DET	MWE	29352	ud
abaixo	ADV	ADV	18	ud
acabar	VERB	LVERB	176	ud
acerca	ADV	ADV	12	ud
acerca de	ADV	MWE	12	ud
achar	VERB	LVERB	110	ud
acima	ADV	ADV	28	ud
aconselhar	VERB	LVERB	22	ud
acreditar	VERB	LVERB	90	ud
acrescentar	VERB	LVERB	82	ud
actualmente	ADV	ADV	42	ud
acusar	VERB	LVERB	96	ud
adiantar	VERB	LVERB	44	ud
admitir	VERB	LVERB	76	ud
afinal	ADV	ADV	30	ud
afirmar	VERB	LVERB	288	ud
agora	ADV	ADV	324	ud
agora que	ADV	MWE	324	ud
ainda	ADV	ADV	604	ud
ainda assim	ADV	MWE	604	ud
ainda que	ADV	MWE	604	ud
ajudar	VERB	LVERB	60	ud
alegar	VERB	LVERB	30	ud
algo	PRON	PRON	52	ud
algum	DET	DET	408	ud
alguém	PRON	PRON	34	ud
ali	ADV	ADV	68	ud
aliás	ADV	ADV	56	ud
alto	ADJ	OTH	92	ud
além	ADV	ADV	194	ud
além de	ADV	MWE	194	ud
amanhã	ADV	ADV	56	ud
ambos	PRON	PRON	68	ud
ameaçar	VERB	LVERB	42	ud
andar	VERB	LVERB	64	ud
anteontem	ADV	ADV	58	ud
antes	ADV	ADV	272	ud
antes de	ADV	MWE	272	ud
anunciar	VERB	LVERB	122	ud
