# aligned companion of POSNoise_PatternList_Ro_v1.0.txt; evidence: UD_Romanian-RRT (9524 sentences)
# entry	upos	class	evidence_count
-a	DET	DET	38
-lea	DET	DET	38
-ul	DET	DET	27
-ului	DET	DET	18
-uri	DET	DET	5
a	AUX	AUX	4777
abia	ADV	ADV	31
acasă	ADV	ADV	25
acel	DET	DET	91
acela	PRON	PRON	510
același	DET	DET	119
acest	DET	DET	688
acesta	PRON	PRON	515
acolo	ADV	ADV	38
acum	ADV	ADV	103
adesea	ADV	ADV	14
adică	ADV	ADV	19
adânc	ADJ	OTH	27
afara	ADV	ADV	24
afară	ADV	ADV	54
afară de	ADV	MWE	54
afirma	VERB	LVERB	19
aici	ADV	ADV	76
al	DET	DET	2856
ales	ADV	ADV	70
alt	DET	DET	268
altceva	PRON	PRON	9
altcineva	PRON	PRON	4
altfel	ADV	ADV	35
altul	PRON	PRON	88
alături	ADV	ADV	33
alături de	ADV	MWE	33
amenința	VERB	LVERB	10
angaja	VERB	LVERB	23
anterior	ADJ	OTH	39
anumit	DET	DET	114
anunța	VERB	LVERB	41
apoi	ADV	ADV	93
aproape	ADV	ADV	103
apuca	VERB	LVERB	28
arăta	VERB	LVERB	63
asemenea	ADJ	OTH	158
astfel	ADV	ADV	190
astfel că	ADV	MWE	190
astfel încât	ADV	MWE	190
astăzi	ADV	ADV	28
asupra	ADP	ADP	152
atunci	ADV	ADV	110
atunci când	ADV	MWE	110
atât	ADV	ADV	137
atâta timp cât	DET	MWE	14
avea	AUX	AUX	4542
azi	ADV	ADV	20
așa	ADV	ADV	156
așa cum	ADV	MWE	156
așa că	ADV	MWE	156
așa încât	ADV	MWE	156
așadar	ADV	ADV	9
bine	ADV	ADV	99
brusc	ADV	ADV	21
ca	ADP	ADP	738
ca atare	ADP	MWE	738
ca și	ADP	MWE	738
ca și cum	ADP	MWE	738
cam	ADV	ADV	24
care	PRON	PRON	2139
ce	PRON	PRON	774
cel	DET	DET	562
cel mult	DET	MWE	562
cel puțin	DET	MWE	562
cel târziu	DET	MWE	562
celălalt	DET	DET	91
cere	VERB	LVERB	45
ceva	PRON	PRON	55
chema	VERB	LVERB	24
chiar	ADV	ADV	146
chiar dacă	ADV	MWE	146
chiar și	ADV	MWE	146
ci	CCONJ	CCONJ	47
cine	PRON	PRON	45
cine știe ce	PRON	MWE	45
cineva	PRON	PRON	23
circa	ADV	ADV	18
clar	ADJ	OTH	33
conform	ADP	ADP	67
considera	VERB	LVERB	57
continua	VERB	LVERB	70
contra	ADP	ADP	4
conveni	VERB	LVERB	17
crede	VERB	LVERB	66
cu	ADP	ADP	2499
cu adevărat	ADP	MWE	2499
cu ajutorul	ADP	MWE	2499
cu atât mai puțin	ADP	MWE	2499
cu chiu cu vai	ADP	MWE	2499
cu excepția	ADP	MWE	2499
cu precădere	ADP	MWE	2499
cu privire la	ADP	MWE	2499
cu siguranță	ADP	MWE	2499
cu toate acestea	ADP	MWE	2499
cu toate astea	ADP	MWE	2499
cu toate că	ADP	MWE	2499
cu totul	ADP	MWE	2499
cum	ADV	ADV	236
cumva	ADV	ADV	10
curând	ADV	ADV	30
cutare	DET	DET	9
cuvânt cu cuvânt	NOUN	MWE	86
când	ADV	ADV	429
cât	ADV	ADV	170
cât și	ADV	MWE	170
câtva	DET	DET	107
că	SCONJ	SCONJ	1061
căci	CCONJ	CCONJ	12
către	ADP	ADP	167
da	VERB	LVERB	211
dacă	SCONJ	SCONJ	496
dar	CCONJ	CCONJ	363
datorită	ADP	ADP	35
de	ADP	ADP	9449
de aceea	ADP	MWE	9449
de altfel	ADP	MWE	9449
de asemenea	ADP	MWE	9449
de ce	ADP	MWE	9449
de curând	ADP	MWE	9449
de către	ADP	MWE	9449
de deasupra	ADP	MWE	9449
de exemplu	ADP	MWE	9449
de fapt	ADP	MWE	9449
de la	ADP	MWE	9449
de lângă	ADP	MWE	9449
de obicei	ADP	MWE	9449
de pe	ADP	MWE	9449
de pe urma	ADP	MWE	9449
de peste	ADP	MWE	9449
de pildă	ADP	MWE	9449
de regulă	ADP	MWE	9449
de sub	ADP	MWE	9449
de tot	ADP	MWE	9449
de unde până unde	ADP	MWE	9449
de îndată	ADP	MWE	9449
de îndată ce	ADP	MWE	9449
de- a dreptul	ADP	MWE	73
de- a lungul	ADP	MWE	73
de-a	ADP	ADP	11
de-a lungul	ADP	MWE	11
deasupra	ADP	ADP	28
deci	CCONJ	CCONJ	28
decide	VERB	LVERB	31
declara	VERB	LVERB	39
decât	ADV	ADV	174
degrabă	ADV	ADV	12
deja	ADV	ADV	42
demonstra	VERB	LVERB	21
denumi	VERB	LVERB	12
deoarece	SCONJ	SCONJ	82
deodată	ADV	ADV	20
des	ADV	ADV	15
despre	ADP	ADP	107
destul	ADV	ADV	39
deveni	VERB	LVERB	144
deși	SCONJ	SCONJ	66
din	ADP	ADP	2052
din cadrul	ADP	MWE	2052
din cauza	ADP	MWE	2052
din cauză că	ADP	MWE	2052
din ce în ce	ADP	MWE	2052
din când în când	ADP	MWE	2052
din fața	ADP	MWE	2052
din față	ADP	MWE	2052
din loc în loc	ADP	MWE	2052
din moment ce	ADP	MWE	2052
din nou	ADP	MWE	2052
din partea	ADP	MWE	2052
