# aligned companion of POSNoise_PatternList_Ro_v1.0.txt; evidence: UD_Romanian-RRT (9524 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
-a	DET	DET	38	ud
-lea	DET	DET	38	ud
-ul	DET	DET	27	ud
-ului	DET	DET	18	ud
-uri	DET	DET	5	ud
a	AUX	AUX	4777	ud
abia	ADV	ADV	31	ud
acasă	ADV	ADV	25	ud
acel	DET	DET	91	ud
acela	PRON	PRON	510	ud
același	DET	DET	119	ud
acest	DET	DET	688	ud
acesta	PRON	PRON	515	ud
acolo	ADV	ADV	38	ud
acum	ADV	ADV	103	ud
adesea	ADV	ADV	14	ud
adică	ADV	ADV	19	ud
adânc	ADJ	OTH	27	ud
afara	ADV	ADV	24	ud
afară	ADV	ADV	54	ud
afară de	ADV	MWE	54	ud
afirma	VERB	LVERB	19	ud
aici	ADV	ADV	76	ud
al	DET	DET	2856	ud
ales	ADV	ADV	70	ud
alt	DET	DET	268	ud
altceva	PRON	PRON	9	ud
altcineva	PRON	PRON	4	ud
altfel	ADV	ADV	35	ud
altul	PRON	PRON	88	ud
alături	ADV	ADV	33	ud
alături de	ADV	MWE	33	ud
amenința	VERB	LVERB	10	ud
angaja	VERB	LVERB	23	ud
anterior	ADJ	OTH	39	ud
anumit	DET	DET	114	ud
anunța	VERB	LVERB	41	ud
apoi	ADV	ADV	93	ud
aproape	ADV	ADV	103	ud
apuca	VERB	LVERB	28	ud
arăta	VERB	LVERB	63	ud
asemenea	ADJ	OTH	158	ud
astfel	ADV	ADV	190	ud
astfel că	ADV	MWE	190	ud
astfel încât	ADV	MWE	190	ud
astăzi	ADV	ADV	28	ud
asupra	ADP	ADP	152	ud
atunci	ADV	ADV	110	ud
atunci când	ADV	MWE	110	ud
atât	ADV	ADV	137	ud
atâta timp cât	DET	MWE	14	ud
avea	AUX	AUX	4542	ud
azi	ADV	ADV	20	ud
așa	ADV	ADV	156	ud
așa cum	ADV	MWE	156	ud
așa că	ADV	MWE	156	ud
așa încât	ADV	MWE	156	ud
așadar	ADV	ADV	9	ud
bine	ADV	ADV	99	ud
brusc	ADV	ADV	21	ud
ca	ADP	ADP	738	ud
ca atare	ADP	MWE	738	ud
ca și	ADP	MWE	738	ud
ca și cum	ADP	MWE	738	ud
cam	ADV	ADV	24	ud
care	PRON	PRON	2139	ud
ce	PRON	PRON	774	ud
cel	DET	DET	562	ud
cel mult	DET	MWE	562	ud
cel puțin	DET	MWE	562	ud
cel târziu	DET	MWE	562	ud
celălalt	DET	DET	91	ud
cere	VERB	LVERB	45	ud
ceva	PRON	PRON	55	ud
chema	VERB	LVERB	24	ud
chiar	ADV	ADV	146	ud
chiar dacă	ADV	MWE	146	ud
chiar și	ADV	MWE	146	ud
ci	CCONJ	CCONJ	47	ud
cine	PRON	PRON	45	ud
cine știe ce	PRON	MWE	45	ud
cineva	PRON	PRON	23	ud
circa	ADV	ADV	18	ud
clar	ADJ	OTH	33	ud
conform	ADP	ADP	67	ud
considera	VERB	LVERB	57	ud
continua	VERB	LVERB	70	ud
contra	ADP	ADP	4	ud
conveni	VERB	LVERB	17	ud
crede	VERB	LVERB	66	ud
cu	ADP	ADP	2499	ud
cu adevărat	ADP	MWE	2499	ud
cu ajutorul	ADP	MWE	2499	ud
cu atât mai puțin	ADP	MWE	2499	ud
cu chiu cu vai	ADP	MWE	2499	ud
cu excepția	ADP	MWE	2499	ud
cu precădere	ADP	MWE	2499	ud
cu privire la	ADP	MWE	2499	ud
cu siguranță	ADP	MWE	2499	ud
cu toate acestea	ADP	MWE	2499	ud
cu toate astea	ADP	MWE	2499	ud
cu toate că	ADP	MWE	2499	ud
cu totul	ADP	MWE	2499	ud
cum	ADV	ADV	236	ud
cumva	ADV	ADV	10	ud
curând	ADV	ADV	30	ud
cutare	DET	DET	9	ud
cuvânt cu cuvânt	NOUN	MWE	86	ud
când	ADV	ADV	429	ud
cât	ADV	ADV	170	ud
cât și	ADV	MWE	170	ud
câtva	DET	DET	107	ud
că	SCONJ	SCONJ	1061	ud
căci	CCONJ	CCONJ	12	ud
către	ADP	ADP	167	ud
da	VERB	LVERB	211	ud
dacă	SCONJ	SCONJ	496	ud
dar	CCONJ	CCONJ	363	ud
datorită	ADP	ADP	35	ud
de	ADP	ADP	9449	ud
de aceea	ADP	MWE	9449	ud
de altfel	ADP	MWE	9449	ud
de asemenea	ADP	MWE	9449	ud
de ce	ADP	MWE	9449	ud
de curând	ADP	MWE	9449	ud
de către	ADP	MWE	9449	ud
de deasupra	ADP	MWE	9449	ud
de exemplu	ADP	MWE	9449	ud
de fapt	ADP	MWE	9449	ud
de la	ADP	MWE	9449	ud
de lângă	ADP	MWE	9449	ud
de obicei	ADP	MWE	9449	ud
de pe	ADP	MWE	9449	ud
de pe urma	ADP	MWE	9449	ud
de peste	ADP	MWE	9449	ud
de pildă	ADP	MWE	9449	ud
de regulă	ADP	MWE	9449	ud
de sub	ADP	MWE	9449	ud
de tot	ADP	MWE	9449	ud
de unde până unde	ADP	MWE	9449	ud
de îndată	ADP	MWE	9449	ud
de îndată ce	ADP	MWE	9449	ud
de- a dreptul	ADP	MWE	73	ud
de- a lungul	ADP	MWE	73	ud
de-a	ADP	ADP	11	ud
de-a lungul	ADP	MWE	11	ud
deasupra	ADP	ADP	28	ud
deci	CCONJ	CCONJ	28	ud
decide	VERB	LVERB	31	ud
declara	VERB	LVERB	39	ud
decât	ADV	ADV	174	ud
degrabă	ADV	ADV	12	ud
deja	ADV	ADV	42	ud
demonstra	VERB	LVERB	21	ud
denumi	VERB	LVERB	12	ud
deoarece	SCONJ	SCONJ	82	ud
deodată	ADV	ADV	20	ud
des	ADV	ADV	15	ud
despre	ADP	ADP	107	ud
destul	ADV	ADV	39	ud
deveni	VERB	LVERB	144	ud
deși	SCONJ	SCONJ	66	ud
din	ADP	ADP	2052	ud
din cadrul	ADP	MWE	2052	ud
din cauza	ADP	MWE	2052	ud
din cauză că	ADP	MWE	2052	ud
din ce în ce	ADP	MWE	2052	ud
din când în când	ADP	MWE	2052	ud
din fața	ADP	MWE	2052	ud
din față	ADP	MWE	2052	ud
din loc în loc	ADP	MWE	2052	ud
din moment ce	ADP	MWE	2052	ud
din nou	ADP	MWE	2052	ud
din partea	ADP	MWE	2052	ud
din pricina	ADP	MWE	2052	ud
din punct de vedere	ADP	MWE	2052	ud
din spatele	ADP	MWE	2052	ud
din urmă	ADP	MWE	2052	ud
dinaintea	ADP	ADP	5	ud
dincolo	ADV	ADV	13	ud
dincolo de	ADV	MWE	13	ud
dinspre	ADP	ADP	7	ud
dintre	ADP	ADP	224	ud
dintru	ADP	ADP	73	ud
doar	ADV	ADV	88	ud
dori	VERB	LVERB	34	ud
dovedi	VERB	LVERB	35	ud
dumnealui	PRON	PRON	4	ud
dumneata	PRON	PRON	15	ud
dumneavoastră	PRON	PRON	107	ud
după	ADP	ADP	460	ud
după aceea	ADP	MWE	460	ud
după ce	ADP	MWE	460	ud
după cum	ADP	MWE	460	ud
el	PRON	PRON	2614	ud
estima	VERB	LVERB	16	ud
etcetera	ADV	ADV	13	ud
eu	PRON	PRON	633	ud
executa	VERB	LVERB	20	ud
extrem	ADV	ADV	13	ud
față de	NOUN	MWE	204	ud
față în față	NOUN	MWE	204	ud
față în față cu	NOUN	MWE	204	ud
fi	AUX	AUX	4511	ud
fie	AUX	AUX	242	ud
