# aligned companion of POSNoise_PatternList_Sl_v1.0.txt; evidence: UD_Slovenian-SSJ (13435 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
a	CCONJ	CCONJ	260	ud
ali	CCONJ	CCONJ	865	ud
ampak	CCONJ	CCONJ	110	ud
ampak tudi	CCONJ	MWE	110	ud
bati	VERB	LVERB	39	ud
biti	AUX	AUX	18912	ud
blizu	ADV	ADV	30	ud
bodisi	CCONJ	CCONJ	13	ud
bolj	ADV	ADV	265	ud
brez	ADP	ADP	176	ud
bržkone	PART	PART	8	ud
bržčas	PART	PART	4	ud
celo	PART	PART	137	ud
da	SCONJ	SCONJ	3012	ud
daleč	ADV	ADV	32	ud
dalje	ADV	ADV	18	ud
danes	ADV	ADV	132	ud
dejati	VERB	LVERB	64	ud
do	ADP	ADP	714	ud
dobro	ADV	ADV	202	ud
dodati	VERB	LVERB	52	ud
dogovoriti	VERB	LVERB	13	ud
dokaj	ADV	ADV	18	ud
dokazati	VERB	LVERB	22	ud
dokler	SCONJ	SCONJ	37	ud
določati	VERB	LVERB	30	ud
doma	ADV	ADV	48	ud
domala	PART	PART	4	ud
domnevati	VERB	LVERB	15	ud
domov	ADV	ADV	20	ud
doslej	ADV	ADV	51	ud
dosti	DET	DET	15	ud
dovoliti	VERB	LVERB	30	ud
dovolj	DET	DET	96	ud
drugače	ADV	ADV	40	ud
drugič	ADV	ADV	15	ud
drugje	ADV	ADV	16	ud
dvakrat	ADV	ADV	21	ud
edino	ADJ	OTH	12	ud
enak	DET	DET	66	ud
enkrat	ADV	ADV	42	ud
glede	ADV	ADV	107	ud
glede na	ADV	MWE	107	ud
hitro	ADV	ADV	98	ud
hkrati	ADV	ADV	71	ud
hoteti	VERB	LVERB	140	ud
in	CCONJ	CCONJ	6132	ud
in sicer	CCONJ	MWE	6132	ud
in to	CCONJ	MWE	6132	ud
isti	DET	DET	79	ud
iz	ADP	ADP	823	ud
izmed	ADP	ADP	57	ud
izpod	ADP	ADP	6	ud
izpred	ADP	ADP	4	ud
izvedeti	VERB	LVERB	32	ud
izven	ADP	ADP	5	ud
ja	PART	PART	17	ud
jaz	PRON	PRON	786	ud
jeseni	ADV	ADV	23	ud
jest	PRON	PRON	6	ud
jutri	ADV	ADV	15	ud
k	ADP	ADP	223	ud
kadar	SCONJ	SCONJ	42	ud
kaj	PRON	PRON	324	ud
kaj šele	PRON	MWE	324	ud
kajpak	PART	PART	4	ud
kajti	CCONJ	CCONJ	46	ud
kak	DET	DET	55	ud
kako	ADV	ADV	239	ud
kakor	SCONJ	SCONJ	95	ud
kakor da	SCONJ	MWE	95	ud
kakršen	DET	DET	36	ud
kakršenkoli	DET	DET	8	ud
kakšen	DET	DET	148	ud
kam	ADV	ADV	20	ud
kamor	SCONJ	SCONJ	20	ud
kar	PRON	PRON	532	ud
kar se da	PRON	MWE	532	ud
karkoli	PRON	PRON	9	ud
kateri	DET	DET	546	ud
kateri koli	DET	MWE	546	ud
katerikoli	DET	DET	6	ud
katero koli	DET	MWE	61	ud
kazati	VERB	LVERB	73	ud
kdaj	ADV	ADV	46	ud
kdo	PRON	PRON	126	ud
kdor	PRON	PRON	10	ud
kdorkoli	PRON	PRON	8	ud
ker	SCONJ	SCONJ	323	ud
ki	SCONJ	SCONJ	2514	ud
kje	ADV	ADV	36	ud
kjer	SCONJ	SCONJ	185	ud
kljub	ADP	ADP	118	ud
kljub temu da	ADP	MWE	118	ud
kmalu	ADV	ADV	56	ud
ko	SCONJ	SCONJ	687	ud
koder	SCONJ	SCONJ	8	ud
koli	PART	PART	22	ud
koliko	DET	DET	26	ud
kolikor	SCONJ	SCONJ	23	ud
komaj	ADV	ADV	26	ud
kot	SCONJ	SCONJ	1200	ud
kot da	SCONJ	MWE	1200	ud
kot pa da	SCONJ	MWE	1200	ud
kot če	SCONJ	MWE	1200	ud
kvečjemu	PART	PART	5	ud
lahko	ADV	ADV	883	ud
lani	ADV	ADV	63	ud
le	PART	PART	437	ud
le da	PART	MWE	437	ud
letos	ADV	ADV	61	ud
malce	ADV	ADV	31	ud
malo	DET	DET	103	ud
manj	DET	DET	118	ud
manj kot	DET	MWE	118	ud
marsikaj	PRON	PRON	15	ud
marsikateri	DET	DET	8	ud
marsikdo	PRON	PRON	5	ud
marveč	CCONJ	CCONJ	5	ud
med	ADP	ADP	608	ud
medtem	ADV	ADV	67	ud
medtem ko	ADV	MWE	67	ud
menda	PART	PART	25	ud
meniti	VERB	LVERB	62	ud
mimo	ADP	ADP	23	ud
misliti	VERB	LVERB	106	ud
mnog	DET	DET	62	ud
mnogo	DET	DET	16	ud
mogoče	ADJ	OTH	138	ud
moj	DET	DET	134	ud
morati	VERB	LVERB	464	ud
morda	PART	PART	107	ud
moči	VERB	LVERB	228	ud
na	ADP	ADP	3557	ud
na primer	ADP	MWE	3557	ud
nad	ADP	ADP	119	ud
nadvse	ADV	ADV	13	ud
naj	PART	PART	401	ud
najbolj	ADV	ADV	144	ud
najbrž	PART	PART	28	ud
najin	DET	DET	11	ud
najmanj	ADV	ADV	21	ud
najprej	ADV	ADV	60	ud
največ	DET	DET	41	ud
največkrat	ADV	ADV	15	ud
name	PRON	PRON	38	ud
nameravati	VERB	LVERB	17	ud
namesto	ADP	ADP	27	ud
namesto da	ADP	MWE	27	ud
namreč	CCONJ	CCONJ	152	ud
naprej	ADV	ADV	70	ud
narobe	ADV	ADV	19	ud
naročiti	VERB	LVERB	13	ud
nase	PRON	PRON	11	ud
nato	ADV	ADV	117	ud
navkljub	ADP	ADP	5	ud
navzdol	ADV	ADV	14	ud
navzgor	ADV	ADV	15	ud
nazadnje	ADV	ADV	23	ud
nazaj	ADV	ADV	38	ud
naš	DET	DET	230	ud
ne	PART	PART	1433	ud
ne da	PART	MWE	1433	ud
ne glede na	PART	MWE	1433	ud
ne le	PART	MWE	1433	ud
ne pa	PART	MWE	1433	ud
ne samo	PART	MWE	1433	ud
nek	DET	DET	108	ud
nekaj	DET	DET	405	ud
nekakšen	DET	DET	37	ud
nekateri	DET	DET	173	ud
nekdo	PRON	PRON	39	ud
neki	DET	DET	29	ud
nekoč	ADV	ADV	29	ud
nemara	PART	PART	10	ud
nenadoma	ADV	ADV	17	ud
nihče	PRON	PRON	49	ud
nikakor	ADV	ADV	30	ud
nikakršen	DET	DET	9	ud
nikar	PART	PART	9	ud
nikoli	ADV	ADV	66	ud
niti	PART	PART	112	ud
nič	PRON	PRON	140	ud
njegov	DET	DET	448	ud
njen	DET	DET	251	ud
njihov	DET	DET	235	ud
njun	DET	DET	38	ud
no	PART	PART	31	ud
noben	DET	DET	82	ud
o	ADP	ADP	792	ud
ob	ADP	ADP	411	ud
oba	DET	DET	114	ud
obenem	ADV	ADV	15	ud
oboj	DET	DET	11	ud
oceniti	VERB	LVERB	22	ud
ocenjevati	VERB	LVERB	23	ud
od	ADP	ADP	779	ud
odgovoriti	VERB	LVERB	46	ud
odkar	SCONJ	SCONJ	18	ud
odločiti	VERB	LVERB	97	ud
