# aligned companion of POSNoise_PatternList_Sr_v1.0.txt; evidence: UD_Serbian-SET (4384 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
a	CCONJ	CCONJ	237	ud
a nakon što	CCONJ	MWE	237	ud
ako	SCONJ	SCONJ	102	ud
ali	CCONJ	CCONJ	164	ud
ali i	CCONJ	MWE	164	ud
bar	ADV	ADV	10	ud
bez	ADP	ADP	54	ud
bez obzira na	ADP	MWE	54	ud
bez obzira što	ADP	MWE	54	ud
bilo	AUX	AUX	113	ud
biti	AUX	AUX	5645	ud
budući	ADJ	OTH	19	ud
budući da	ADJ	MWE	19	ud
da	SCONJ	SCONJ	2557	ud
da li	SCONJ	MWE	2557	ud
dakle	CCONJ	CCONJ	6	ud
daleko	ADV	ADV	51	ud
danas	ADV	ADV	46	ud
do	ADP	ADP	208	ud
do sada	ADP	MWE	208	ud
dobro	ADV	ADV	50	ud
dodati	VERB	LVERB	51	ud
dok	SCONJ	SCONJ	80	ud
dozvoliti	VERB	LVERB	20	ud
duž	ADP	ADP	5	ud
evo	PART	PART	4	ud
gde	ADV	ADV	44	ud
god	PART	PART	6	ud
godišnje	ADV	ADV	12	ud
hteti	AUX	AUX	571	ud
i	CCONJ	CCONJ	2715	ud
i dalje	CCONJ	MWE	2715	ud
i ne samo	CCONJ	MWE	2715	ud
i te kako	CCONJ	MWE	2715	ud
i to	CCONJ	MWE	2715	ud
iako	SCONJ	SCONJ	25	ud
ikada	ADV	ADV	7	ud
ikakav	DET	DET	5	ud
ili	CCONJ	CCONJ	142	ud
ipak	ADV	ADV	18	ud
ispod	ADP	ADP	4	ud
ispred	ADP	ADP	13	ud
istaći	VERB	LVERB	19	ud
isticati	VERB	LVERB	16	ud
iz	ADP	ADP	320	ud
iza	ADP	ADP	20	ud
izjaviti	VERB	LVERB	117	ud
između	ADP	ADP	89	ud
iznad	ADP	ADP	4	ud
izvestiti	VERB	LVERB	21	ud
ja	PRON	PRON	31	ud
jer	SCONJ	SCONJ	65	ud
još	ADV	ADV	118	ud
još uvek	ADV	MWE	118	ud
k	ADP	ADP	6	ud
ka	ADP	ADP	37	ud
kad	ADV	ADV	7	ud
kada	ADV	ADV	143	ud
kakav	DET	DET	33	ud
kako	SCONJ	SCONJ	137	ud
kao	SCONJ	SCONJ	304	ud
kao da	SCONJ	MWE	304	ud
kao i	SCONJ	MWE	304	ud
kao i da	SCONJ	MWE	304	ud
kao ni	SCONJ	MWE	304	ud
kao što	SCONJ	MWE	304	ud
kasno	ADV	ADV	30	ud
kazati	VERB	LVERB	175	ud
ko	PRON	PRON	38	ud
kod	ADP	ADP	24	ud
koji	DET	DET	1175	ud
koliki	DET	DET	3	ud
koliko	ADV	ADV	35	ud
koliko god	ADV	MWE	35	ud
krajem	ADP	ADP	10	ud
kroz	ADP	ADP	23	ud
li	PART	PART	82	ud
mada	SCONJ	SCONJ	27	ud
malo	ADV	ADV	58	ud
među	ADP	ADP	57	ud
međutim	ADV	ADV	128	ud
mi	PRON	PRON	78	ud
misliti	VERB	LVERB	31	ud
mnogo	ADV	ADV	157	ud
moj	DET	DET	17	ud
morati	VERB	LVERB	131	ud
moći	VERB	LVERB	240	ud
možda	ADV	ADV	22	ud
na	ADP	ADP	1225	ud
nad	ADP	ADP	23	ud
nadati	VERB	LVERB	36	ud
naglasiti	VERB	LVERB	12	ud
naime	PART	PART	4	ud
najaviti	VERB	LVERB	14	ud
nakon	ADP	ADP	76	ud
nakon što	ADP	MWE	76	ud
nameravati	VERB	LVERB	11	ud
napred	ADV	ADV	7	ud
nastaviti	VERB	LVERB	43	ud
navesti	VERB	LVERB	17	ud
naš	DET	DET	64	ud
ne	PART	PART	339	ud
nego	CCONJ	CCONJ	66	ud
nego i	CCONJ	MWE	66	ud
nego što	CCONJ	MWE	66	ud
neka	DET	DET	10	ud
nekada	ADV	ADV	8	ud
nekakav	DET	DET	3	ud
neki	DET	DET	127	ud
neko	PRON	PRON	18	ud
nekoliko	DET	DET	75	ud
