# aligned companion of POSNoise_PatternList_Sv_v1.0.txt; evidence: UD_Swedish-Talbanken (12064 sentences)
# entry	upos	class	evidence_count
a	ADP	ADP	8
all	DET	DET	487
alls	ADV	ADV	28
allt	ADV	ADV	198
allt fortfarande	ADV	MWE	198
allt mer	ADV	MWE	198
alltefter	ADP	ADP	4
allteftersom	SCONJ	SCONJ	4
alltför	ADV	ADV	36
alltid	ADV	ADV	56
allting	PRON	PRON	8
alltså	ADV	ADV	142
and	CCONJ	CCONJ	6
ange	VERB	LVERB	52
annan	ADJ	OTH	623
annars	ADV	ADV	30
anse	VERB	LVERB	102
antingen	CCONJ	CCONJ	24
att	PART	PART	4198
av	ADP	ADP	2720
av allt att döma	ADP	MWE	2720
avgöra	VERB	LVERB	16
bakom	ADP	ADP	44
bara	ADV	ADV	264
bedöma	VERB	LVERB	16
behöva	VERB	LVERB	234
beroende på	ADJ	MWE	68
beräkna	VERB	LVERB	58
berätta	VERB	LVERB	18
besluta	VERB	LVERB	22
beteckna	VERB	LVERB	12
betrakta	VERB	LVERB	36
beträffande	ADP	ADP	8
betyda	VERB	LVERB	60
bl a	-	MWE	0
bl.a.	ADV	ADV	72
bland	ADP	ADP	76
bland annat	ADP	MWE	76
bli	VERB	LVERB	726
bortsett från	ADJ	MWE	6
bra	ADJ	OTH	274
bruka	VERB	LVERB	52
bägge	DET	DET	14
båda	ADJ	OTH	72
bådadera	PRON	PRON	4
både	CCONJ	CCONJ	142
böra	AUX	AUX	188
börja	VERB	LVERB	142
ca	ADV	ADV	106
circa	ADV	ADV	54
cirka	ADV	ADV	48
de	DET	DET	2468
de här	DET	MWE	2468
dels	CCONJ	CCONJ	36
den	PRON	PRON	4855
den här	PRON	MWE	4855
denna	DET	DET	1014
densamma	PRON	PRON	26
dessutom	ADV	ADV	82
det	PRON	PRON	2970
det här	PRON	MWE	2970
det vill säga	PRON	MWE	2970
det_vill_säga	ADV	ADV	29
dock	ADV	ADV	126
du	PRON	PRON	612
