# aligned companion of POSNoise_PatternList_Sv_v1.0.txt; evidence: UD_Swedish-Talbanken (12064 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
a	ADP	ADP	8	ud
all	DET	DET	487	ud
alls	ADV	ADV	28	ud
allt	ADV	ADV	198	ud
allt fortfarande	ADV	MWE	198	ud
allt mer	ADV	MWE	198	ud
alltefter	ADP	ADP	4	ud
allteftersom	SCONJ	SCONJ	4	ud
alltför	ADV	ADV	36	ud
alltid	ADV	ADV	56	ud
allting	PRON	PRON	8	ud
alltså	ADV	ADV	142	ud
and	CCONJ	CCONJ	6	ud
ange	VERB	LVERB	52	ud
annan	ADJ	OTH	623	ud
annars	ADV	ADV	30	ud
anse	VERB	LVERB	102	ud
antingen	CCONJ	CCONJ	24	ud
att	PART	PART	4198	ud
av	ADP	ADP	2720	ud
av allt att döma	ADP	MWE	2720	ud
avgöra	VERB	LVERB	16	ud
bakom	ADP	ADP	44	ud
bara	ADV	ADV	264	ud
bedöma	VERB	LVERB	16	ud
behöva	VERB	LVERB	234	ud
beroende på	ADJ	MWE	68	ud
beräkna	VERB	LVERB	58	ud
berätta	VERB	LVERB	18	ud
besluta	VERB	LVERB	22	ud
beteckna	VERB	LVERB	12	ud
betrakta	VERB	LVERB	36	ud
beträffande	ADP	ADP	8	ud
betyda	VERB	LVERB	60	ud
bl a	-	MWE	0	ud
bl.a.	ADV	ADV	72	ud
bland	ADP	ADP	76	ud
bland annat	ADP	MWE	76	ud
bli	VERB	LVERB	726	ud
bortsett från	ADJ	MWE	6	ud
bra	ADJ	OTH	274	ud
bruka	VERB	LVERB	52	ud
bägge	DET	DET	14	ud
båda	ADJ	OTH	72	ud
bådadera	PRON	PRON	4	ud
både	CCONJ	CCONJ	142	ud
böra	AUX	AUX	188	ud
börja	VERB	LVERB	142	ud
ca	ADV	ADV	106	ud
circa	ADV	ADV	54	ud
cirka	ADV	ADV	48	ud
de	DET	DET	2468	ud
de här	DET	MWE	2468	ud
dels	CCONJ	CCONJ	36	ud
den	PRON	PRON	4855	ud
den här	PRON	MWE	4855	ud
denna	DET	DET	1014	ud
densamma	PRON	PRON	26	ud
dessutom	ADV	ADV	82	ud
det	PRON	PRON	2970	ud
det här	PRON	MWE	2970	ud
det vill säga	PRON	MWE	2970	ud
det_vill_säga	ADV	ADV	29	ud
dock	ADV	ADV	126	ud
du	PRON	PRON	612	ud
där	ADV	ADV	320	ud
därför	ADV	ADV	198	ud
därför att	ADV	MWE	198	ud
därigenom	ADV	ADV	24	ud
därmed	ADV	ADV	60	ud
då	ADV	ADV	284	ud
då och då	ADV	MWE	284	ud
efter	ADP	ADP	298	ud
efter det att	ADP	MWE	298	ud
eftersom	SCONJ	SCONJ	87	ud
ej	PART	PART	26	ud
el	CCONJ	CCONJ	8	ud
eller	CCONJ	CCONJ	934	ud
emellan	ADP	ADP	14	ud
emellertid	ADV	ADV	66	ud
emot	ADV	ADV	28	ud
en	DET	DET	6362	ud
en halv	DET	MWE	6362	ud
ena	ADJ	OTH	48	ud
enligt	ADP	ADP	150	ud
ens	ADV	ADV	30	ud
erkänna	VERB	LVERB	12	ud
et_cetera	ADV	ADV	31	ud
etc	ADV	ADV	58	ud
exempelvis	ADV	ADV	32	ud
fast	ADJ	OTH	56	ud
fastställa	VERB	LVERB	23	ud
fastän	SCONJ	SCONJ	6	ud
finna	VERB	LVERB	88	ud
flera	ADJ	OTH	142	ud
fortfarande	ADV	ADV	82	ud
fortsätta	VERB	LVERB	44	ud
fram	ADV	ADV	138	ud
fram och tillbaka	ADV	MWE	138	ud
