# aligned companion of POSNoise_PatternList_Uk_v1.0.txt; evidence: UD_Ukrainian-IU (7092 sentences)
# entry	upos	class	evidence_count
а	CCONJ	CCONJ	739
а й	CCONJ	MWE	739
а отже	CCONJ	MWE	739
а саме	CCONJ	MWE	739
а також	CCONJ	MWE	739
а то й	CCONJ	MWE	739
аби	SCONJ	SCONJ	13
або	CCONJ	CCONJ	216
адже	SCONJ	SCONJ	26
аж	PART	PART	55
айбо	CCONJ	CCONJ	3
але	CCONJ	CCONJ	318
але й	CCONJ	MWE	318
ані	CCONJ	CCONJ	18
аніж	SCONJ	SCONJ	6
б	AUX	AUX	97
ба	PART	PART	5
багато	DET	DET	109
без	ADP	ADP	93
би	AUX	AUX	47
близько	ADP	ADP	37
бо	SCONJ	SCONJ	129
бодай	PART	PART	7
боятися	VERB	LVERB	26
бувати	VERB	LVERB	26
будь-який	DET	DET	38
бути	AUX	AUX	1254
більш	ADV	ADV	31
більш ніж	ADV	MWE	31
більш як	ADV	MWE	31
більше	ADV	ADV	87
більше ніж	ADV	MWE	87
біля	ADP	ADP	34
в	ADP	ADP	1495
в тому числі	ADP	MWE	1495
ваш	DET	DET	51
ввесь	DET	DET	4
вдатися	VERB	LVERB	11
вдома	ADV	ADV	17
весь	DET	DET	282
вже	ADV	ADV	170
взагалі	ADV	ADV	24
вздовж	ADP	ADP	4
ви	PRON	PRON	224
визнати	VERB	LVERB	11
вирішити	VERB	LVERB	14
вище	ADV	ADV	14
виявитися	VERB	LVERB	33
власне	PART	PART	14
внаслідок	ADP	ADP	10
вночі	ADV	ADV	18
водночас	ADV	ADV	14
вона	PRON	PRON	473
вони	PRON	PRON	477
воно	PRON	PRON	94
впродовж	ADP	ADP	10
все	PRON	PRON	160
все одно	PRON	MWE	160
все-таки	PART	PART	3
встановити	VERB	LVERB	15
всього	PRON	PRON	19
всякий	DET	DET	11
всілякий	DET	DET	4
від	ADP	ADP	374
відносно	ADP	ADP	7
відразу	ADV	ADV	15
він	PRON	PRON	818
геть	ADV	ADV	15
далі	ADV	ADV	65
де	ADV	ADV	116
декілька	DET	DET	15
десь	ADV	ADV	30
дехто	PRON	PRON	4
деякий	DET	DET	40
для	ADP	ADP	392
до	ADP	ADP	919
до того ж	ADP	MWE	919
