# aligned companion of POSNoise_PatternList_Uk_v1.0.txt; evidence: UD_Ukrainian-IU (7092 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
а	CCONJ	CCONJ	739	ud
а й	CCONJ	MWE	739	ud
а отже	CCONJ	MWE	739	ud
а саме	CCONJ	MWE	739	ud
а також	CCONJ	MWE	739	ud
а то й	CCONJ	MWE	739	ud
аби	SCONJ	SCONJ	13	ud
або	CCONJ	CCONJ	216	ud
адже	SCONJ	SCONJ	26	ud
аж	PART	PART	55	ud
айбо	CCONJ	CCONJ	3	ud
але	CCONJ	CCONJ	318	ud
але й	CCONJ	MWE	318	ud
ані	CCONJ	CCONJ	18	ud
аніж	SCONJ	SCONJ	6	ud
б	AUX	AUX	97	ud
ба	PART	PART	5	ud
багато	DET	DET	109	ud
без	ADP	ADP	93	ud
би	AUX	AUX	47	ud
близько	ADP	ADP	37	ud
бо	SCONJ	SCONJ	129	ud
бодай	PART	PART	7	ud
боятися	VERB	LVERB	26	ud
бувати	VERB	LVERB	26	ud
будь-який	DET	DET	38	ud
бути	AUX	AUX	1254	ud
більш	ADV	ADV	31	ud
більш ніж	ADV	MWE	31	ud
більш як	ADV	MWE	31	ud
більше	ADV	ADV	87	ud
більше ніж	ADV	MWE	87	ud
біля	ADP	ADP	34	ud
в	ADP	ADP	1495	ud
в тому числі	ADP	MWE	1495	ud
ваш	DET	DET	51	ud
ввесь	DET	DET	4	ud
вдатися	VERB	LVERB	11	ud
вдома	ADV	ADV	17	ud
весь	DET	DET	282	ud
вже	ADV	ADV	170	ud
взагалі	ADV	ADV	24	ud
вздовж	ADP	ADP	4	ud
ви	PRON	PRON	224	ud
визнати	VERB	LVERB	11	ud
вирішити	VERB	LVERB	14	ud
вище	ADV	ADV	14	ud
виявитися	VERB	LVERB	33	ud
власне	PART	PART	14	ud
внаслідок	ADP	ADP	10	ud
вночі	ADV	ADV	18	ud
водночас	ADV	ADV	14	ud
вона	PRON	PRON	473	ud
вони	PRON	PRON	477	ud
воно	PRON	PRON	94	ud
впродовж	ADP	ADP	10	ud
все	PRON	PRON	160	ud
все одно	PRON	MWE	160	ud
все-таки	PART	PART	3	ud
встановити	VERB	LVERB	15	ud
всього	PRON	PRON	19	ud
всякий	DET	DET	11	ud
всілякий	DET	DET	4	ud
від	ADP	ADP	374	ud
відносно	ADP	ADP	7	ud
відразу	ADV	ADV	15	ud
він	PRON	PRON	818	ud
геть	ADV	ADV	15	ud
далі	ADV	ADV	65	ud
де	ADV	ADV	116	ud
декілька	DET	DET	15	ud
десь	ADV	ADV	30	ud
дехто	PRON	PRON	4	ud
деякий	DET	DET	40	ud
для	ADP	ADP	392	ud
до	ADP	ADP	919	ud
до того ж	ADP	MWE	919	ud
добре	ADV	ADV	65	ud
довестися	VERB	LVERB	15	ud
довкола	ADV	ADV	9	ud
додому	ADV	ADV	24	ud
дозволити	VERB	LVERB	19	ud
дозволяти	VERB	LVERB	15	ud
допомагати	VERB	LVERB	13	ud
допомогти	VERB	LVERB	14	ud
досить	ADV	ADV	24	ud
досі	ADV	ADV	26	ud
другий	ADJ	OTH	82	ud
дуже	ADV	ADV	143	ud
думати	VERB	LVERB	57	ud
дізнатися	VERB	LVERB	12	ud
ж	PART	PART	182	ud
же	PART	PART	41	ud
жодний	DET	DET	41	ud
з	ADP	ADP	1457	ud
з-за	ADP	ADP	4	ud
з-під	ADP	ADP	9	ud
за	ADP	ADP	631	ud
заборонити	VERB	LVERB	13	ud
забувати	VERB	LVERB	10	ud
завдяки	ADP	ADP	21	ud
завжди	ADV	ADV	46	ud
загалом	ADV	ADV	17	ud
задля	ADP	ADP	4	ud
зазначити	VERB	LVERB	19	ud
заки	SCONJ	SCONJ	4	ud
замість	ADP	ADP	26	ud
запропонувати	VERB	LVERB	19	ud
заради	ADP	ADP	4	ud
зараз	ADV	ADV	37	ud
зате	CCONJ	CCONJ	10	ud
заявити	VERB	LVERB	14	ud
збиратися	VERB	LVERB	11	ud
згадати	VERB	LVERB	14	ud
згодом	ADV	ADV	11	ud
згідно	ADV	ADV	18	ud
змогти	VERB	LVERB	20	ud
знати	VERB	LVERB	114	ud
знов	ADV	ADV	20	ud
знову	ADV	ADV	28	ud
зовсім	ADV	ADV	52	ud
зокрема	ADV	ADV	32	ud
зрозуміти	VERB	LVERB	20	ud
зі	ADP	ADP	86	ud
