id	label	known_author	q_author
0	1	bruno wille	bruno wille
1	0	karl may	conrad ferdinand meyer
2	1	hermann kurz	hermann kurz
3	1	johanna spyri	johanna spyri
4	0	arthur schnitzler	johanna spyri
5	1	ganghofer ludwig	ganghofer ludwig
6	0	gustav meyrink	aston louise
7	0	boyed ida	fanny lewald
8	0	friedrich spielhagen	freytag gustav
9	0	arthur schnitzler	aston louise
10	0	auerbach berthold	gustav meyrink
11	0	hermann kurz	jakob wassermann
12	0	ganghofer ludwig	carl spitteler
13	1	conrad ferdinand meyer	conrad ferdinand meyer
14	1	jakob wassermann	jakob wassermann
15	0	hermann kurz	otto ruppius
16	0	arthur schnitzler	ferdinand kürnberger
17	1	aston louise	aston louise
18	1	ferdinand kürnberger	ferdinand kürnberger
19	1	carl spitteler	carl spitteler
20	0	freiin malwida meysenbug von	adele schopenhauer
21	1	fanny lewald	fanny lewald
22	1	kretzer max	kretzer max
23	1	freytag gustav	freytag gustav
24	1	friedrich spielhagen	friedrich spielhagen
25	1	boyed ida	boyed ida
26	0	conradi hermann	auerbach berthold
27	0	aston louise	ferdinand kürnberger
28	0	ferdinand kürnberger	fanny lewald
29	0	braun lily	adalbert stifter
30	0	kretzer max	ferdinand kürnberger
31	1	freiin malwida meysenbug von	freiin malwida meysenbug von
32	0	kretzer max	ganghofer ludwig
33	1	friedrich spielhagen	friedrich spielhagen
34	0	adalbert stifter	fanny lewald
35	0	conrad ferdinand meyer	auerbach berthold
36	1	fanny lewald	fanny lewald
37	0	gustav meyrink	karl may
38	0	bahr hermann	otto ruppius
39	0	boyed ida	bahr hermann
40	0	otto ruppius	hermann kurz
41	1	georg weerth	georg weerth
42	1	freiin malwida meysenbug von	freiin malwida meysenbug von
43	0	gustav meyrink	conrad ferdinand meyer
44	0	aston louise	otto ruppius
45	1	karl may	karl may
46	1	auerbach berthold	auerbach berthold
47	1	friedrich spielhagen	friedrich spielhagen
48	0	ganghofer ludwig	otto ruppius
49	0	fanny lewald	arthur schnitzler
50	1	bahr hermann	bahr hermann
51	1	ganghofer ludwig	ganghofer ludwig
52	0	otto ruppius	kretzer max
53	0	gräfin hahnhahn ida von	johanna spyri
54	1	carl spitteler	carl spitteler
55	0	hermann kurz	kretzer max
56	1	fanny lewald	fanny lewald
57	0	otto ruppius	gustav meyrink
58	0	arthur schnitzler	friedrich spielhagen
59	0	karl may	fanny lewald
60	0	friedrich spielhagen	freiin malwida meysenbug von
61	1	freiin malwida meysenbug von	freiin malwida meysenbug von
62	1	arthur schnitzler	arthur schnitzler
63	1	kretzer max	kretzer max
64	1	otto ruppius	otto ruppius
65	0	ganghofer ludwig	conrad ferdinand meyer
66	0	gräfin hahnhahn ida von	hermann kurz
67	0	georg weerth	boyed ida
68	0	gräfin hahnhahn ida von	kretzer max
69	1	otto ruppius	otto ruppius
70	1	braun lily	braun lily
71	1	kretzer max	kretzer max
72	0	georg weerth	jakob wassermann
73	0	carl spitteler	conrad ferdinand meyer
74	1	braun lily	braun lily
75	1	hermann kurz	hermann kurz
76	1	otto ruppius	otto ruppius
77	1	gustav meyrink	gustav meyrink
78	1	braun lily	braun lily
79	1	georg weerth	georg weerth
80	0	gräfin hahnhahn ida von	carl spitteler
81	1	otto ruppius	otto ruppius
82	0	freytag gustav	adele schopenhauer
83	0	kretzer max	auerbach berthold
84	1	friedrich spielhagen	friedrich spielhagen
85	1	arthur schnitzler	arthur schnitzler
86	0	maria rainer rilke	georg weerth
87	1	gustav meyrink	gustav meyrink
88	0	conrad ferdinand meyer	gräfin hahnhahn ida von
89	1	boyed ida	boyed ida
90	1	karl may	karl may
91	1	aston louise	aston louise
92	0	conrad ferdinand meyer	adele schopenhauer
93	1	hermann kurz	hermann kurz
94	0	gräfin hahnhahn ida von	arthur schnitzler
95	1	conradi hermann	conradi hermann
96	0	maria rainer rilke	boyed ida
97	1	gustav meyrink	gustav meyrink
98	0	conradi hermann	auerbach berthold
99	1	ganghofer ludwig	ganghofer ludwig
100	1	freytag gustav	freytag gustav
101	1	gustav meyrink	gustav meyrink
102	1	carl spitteler	carl spitteler
103	0	freiin malwida meysenbug von	bahr hermann
104	0	maria rainer rilke	adalbert stifter
105	0	adalbert stifter	bahr hermann
106	1	boyed ida	boyed ida
107	1	maria rainer rilke	maria rainer rilke
108	1	aston louise	aston louise
109	1	conradi hermann	conradi hermann
110	1	adele schopenhauer	adele schopenhauer
111	0	freytag gustav	bruno wille
112	1	friedrich spielhagen	friedrich spielhagen
113	1	jakob wassermann	jakob wassermann
114	1	bruno wille	bruno wille
115	0	adalbert stifter	johanna spyri
116	0	georg weerth	gräfin hahnhahn ida von
117	0	conradi hermann	maria rainer rilke
118	1	gustav meyrink	gustav meyrink
119	0	bahr hermann	maria rainer rilke
120	1	fanny lewald	fanny lewald
121	1	bahr hermann	bahr hermann
122	1	conrad ferdinand meyer	conrad ferdinand meyer
123	1	braun lily	braun lily
124	0	kretzer max	johanna spyri
125	0	freiin malwida meysenbug von	jakob wassermann
126	0	conrad ferdinand meyer	auerbach berthold
127	1	freytag gustav	freytag gustav
128	1	freytag gustav	freytag gustav
129	1	otto ruppius	otto ruppius
130	0	johanna spyri	auerbach berthold
131	0	karl may	ganghofer ludwig
132	1	conrad ferdinand meyer	conrad ferdinand meyer
133	1	gustav meyrink	gustav meyrink
134	1	ganghofer ludwig	ganghofer ludwig
135	1	friedrich spielhagen	friedrich spielhagen
136	0	carl spitteler	freytag gustav
137	1	bruno wille	bruno wille
138	0	gräfin hahnhahn ida von	fanny lewald
139	1	johanna spyri	johanna spyri
140	0	kretzer max	freiin malwida meysenbug von
141	0	bahr hermann	carl spitteler
142	0	freytag gustav	georg weerth
143	1	jakob wassermann	jakob wassermann
144	0	conrad ferdinand meyer	freiin malwida meysenbug von
145	1	gräfin hahnhahn ida von	gräfin hahnhahn ida von
146	0	arthur schnitzler	otto ruppius
147	1	bruno wille	bruno wille
148	0	carl spitteler	ferdinand kürnberger
149	1	carl spitteler	carl spitteler
150	1	bruno wille	bruno wille
151	1	adele schopenhauer	adele schopenhauer
152	0	bahr hermann	gustav meyrink
153	0	aston louise	boyed ida
154	1	maria rainer rilke	maria rainer rilke
155	1	otto ruppius	otto ruppius
156	0	ganghofer ludwig	braun lily
157	1	freytag gustav	freytag gustav
158	1	braun lily	braun lily
159	1	freytag gustav	freytag gustav
160	1	braun lily	braun lily
161	0	johanna spyri	fanny lewald
162	1	freiin malwida meysenbug von	freiin malwida meysenbug von
163	1	gräfin hahnhahn ida von	gräfin hahnhahn ida von
164	0	ferdinand kürnberger	adele schopenhauer
165	1	otto ruppius	otto ruppius
166	0	conradi hermann	karl may
167	1	otto ruppius	otto ruppius
168	0	auerbach berthold	karl may
169	0	boyed ida	ferdinand kürnberger
170	0	maria rainer rilke	bahr hermann
171	1	arthur schnitzler	arthur schnitzler
172	1	aston louise	aston louise
173	1	jakob wassermann	jakob wassermann
174	0	freiin malwida meysenbug von	friedrich spielhagen
175	1	bruno wille	bruno wille
176	1	adalbert stifter	adalbert stifter
177	0	aston louise	bruno wille
178	0	maria rainer rilke	aston louise
179	0	adalbert stifter	ferdinand kürnberger
180	0	carl spitteler	adalbert stifter
181	0	gustav meyrink	carl spitteler
182	1	kretzer max	kretzer max
183	1	freytag gustav	freytag gustav
184	0	gustav meyrink	georg weerth
185	0	auerbach berthold	johanna spyri
186	1	freytag gustav	freytag gustav
187	0	bahr hermann	arthur schnitzler
188	0	freiin malwida meysenbug von	gustav meyrink
189	1	boyed ida	boyed ida
190	0	johanna spyri	ganghofer ludwig
191	1	bruno wille	bruno wille
192	0	otto ruppius	aston louise
193	1	otto ruppius	otto ruppius
194	1	conrad ferdinand meyer	conrad ferdinand meyer
195	0	gräfin hahnhahn ida von	boyed ida
196	0	hermann kurz	auerbach berthold
197	0	adele schopenhauer	ganghofer ludwig
198	1	georg weerth	georg weerth
199	0	conrad ferdinand meyer	boyed ida
200	1	bahr hermann	bahr hermann
201	1	bruno wille	bruno wille
202	1	arthur schnitzler	arthur schnitzler
203	0	gustav meyrink	braun lily
204	0	johanna spyri	conrad ferdinand meyer
205	1	auerbach berthold	auerbach berthold
206	0	bahr hermann	bruno wille
207	0	otto ruppius	freiin malwida meysenbug von
208	0	conradi hermann	fanny lewald
209	0	boyed ida	maria rainer rilke
210	0	gräfin hahnhahn ida von	fanny lewald
211	1	ganghofer ludwig	ganghofer ludwig
212	1	karl may	karl may
213	0	jakob wassermann	bahr hermann
214	0	conradi hermann	freytag gustav
215	0	adele schopenhauer	fanny lewald
216	0	otto ruppius	georg weerth
217	0	adalbert stifter	kretzer max
218	1	otto ruppius	otto ruppius
219	1	freytag gustav	freytag gustav
220	0	aston louise	ferdinand kürnberger
221	0	gustav meyrink	georg weerth
222	1	gustav meyrink	gustav meyrink
223	0	maria rainer rilke	kretzer max
224	1	friedrich spielhagen	friedrich spielhagen
225	1	braun lily	braun lily
226	0	aston louise	bahr hermann
227	1	ferdinand kürnberger	ferdinand kürnberger
228	0	conrad ferdinand meyer	friedrich spielhagen
229	1	arthur schnitzler	arthur schnitzler
230	1	carl spitteler	carl spitteler
231	0	ferdinand kürnberger	carl spitteler
232	0	gustav meyrink	hermann kurz
233	1	carl spitteler	carl spitteler
234	0	freytag gustav	conradi hermann
235	0	auerbach berthold	braun lily
236	1	braun lily	braun lily
237	1	johanna spyri	johanna spyri
238	1	karl may	karl may
239	0	arthur schnitzler	friedrich spielhagen
240	0	maria rainer rilke	conradi hermann
241	0	bruno wille	boyed ida
242	1	arthur schnitzler	arthur schnitzler
243	0	friedrich spielhagen	adele schopenhauer
244	0	bahr hermann	jakob wassermann
245	0	bruno wille	bahr hermann
246	1	freytag gustav	freytag gustav
247	1	braun lily	braun lily
248	0	jakob wassermann	ganghofer ludwig
249	0	conradi hermann	hermann kurz
250	1	friedrich spielhagen	friedrich spielhagen
251	0	conrad ferdinand meyer	ganghofer ludwig
252	1	bruno wille	bruno wille
253	1	georg weerth	georg weerth
254	1	braun lily	braun lily
