idx	author	file	sents	tokens
0	ada christen	00_ada_christen.tsv	2633	47449
1	adolf ernst willkomm	01_adolf_ernst_willkomm.tsv	8923	162311
2	arnim bettina von	02_arnim_bettina_von.tsv	4948	177940
3	balduin möllhausen	03_balduin_m_llhausen.tsv	5622	160556
4	ball hugo	04_ball_hugo.tsv	5402	57304
5	bleibtreu karl	05_bleibtreu_karl.tsv	11494	161411
6	christ lena	06_christ_lena.tsv	7021	121555
7	dahn felix	07_dahn_felix.tsv	11391	175177
8	dohm hedwig	08_dohm_hedwig.tsv	11354	169381
9	ebnereschenbach marie von	09_ebnereschenbach_marie_von.tsv	11152	169565
10	eduard keyserling von	10_eduard_keyserling_von.tsv	6688	92624
11	elisabeth heyking von	11_elisabeth_heyking_von.tsv	2487	56155
12	essig hermann	12_essig_hermann.tsv	9395	118713
13	eugenie marlitt	13_eugenie_marlitt.tsv	8512	166031
14	fontane theodor	14_fontane_theodor.tsv	8533	165116
15	franziska gräfin reventlow zu	15_franziska_gr_fin_reventlow_zu.tsv	7304	138848
16	françois louise von	16_fran_ois_louise_von.tsv	7605	162070
17	friedrich gerstäcker	17_friedrich_gerst_cker.tsv	9368	176900
18	friedrich theodor vischer	18_friedrich_theodor_vischer.tsv	8016	169406
19	gottfried keller	19_gottfried_keller.tsv	4285	157307
20	gustav sack	20_gustav_sack.tsv	741	22860
21	gutzkow karl	21_gutzkow_karl.tsv	8124	158743
22	hermann sudermann	22_hermann_sudermann.tsv	3203	48550
23	janitschek maria	23_janitschek_maria.tsv	6418	78461
24	louise otto	24_louise_otto.tsv	2209	56454
25	ludwig tieck	25_ludwig_tieck.tsv	5322	122947
26	polenz von wilhelm	26_polenz_von_wilhelm.tsv	9959	140414
27	raabe wilhelm	27_raabe_wilhelm.tsv	7596	168541
